k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |26656.1334557436784962|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.7145086050033569, 0.6009514033794403]                                       | 65.3923110961914062|      2.00000000|[7, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       2|[-0.7145086050033569, 0.6009514033794403]                                       | 65.3923110961914062|      1.00000000|[13, 0, 1, 5]                                                              |  | used quadratic model with 7 points | iterate failure | actual_k=0
       3|[-0.2696116089820861, 0.1014152467250824]                                       |  0.0038525562267751|      2.00000000|[20, 0, 1, 7]                                                              | | GPS sucess | actual_k=0
       4|[0.6704606294631958, 1.0053617060184479]                                        |  0.0000031320610105|      4.00000000|[26, 0, 1, 9]                                                              | | GPS sucess | actual_k=0
       5|[0.6704606294631958, 1.0053617060184479]                                        |  0.0000031320610105|      2.00000000|[32, 0, 2, 12]                                                             |  | used quadratic model with 7 points | iterate failure | actual_k=0
       6|[0.6704606294631958, 1.0053617060184479]                                        |  0.0000031320610105|      1.00000000|[39, 0, 2, 14]                                                             |  | used quadratic model with 7 points | actual_k=0
       7|[0.6704606294631958, 1.0053617060184479]                                        |  0.0000031320610105|      0.50000000|[45, 0, 2, 16]                                                             |  | used quadratic model with 7 points | actual_k=0
       8|[0.6704606294631958, 1.0053617060184479]                                        |  0.0000031320610105|      0.25000000|[51, 0, 2, 18]                                                             |  | used quadratic model with 7 points | actual_k=0
       9|[0.6704606294631958, 1.0053617060184479]                                        |  0.0000031320610105|      0.12500000|[57, 0, 2, 20]                                                             |  | used quadratic model with 7 points | actual_k=0
