k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[4.286498125361176, 0.3585297358036041, 0.1402778556511021, -0.1449813205003739, 1.4693617281935256, -0.1810734379291535, 0.9843734166213027, -0.1847142088413239, 0.1003173011675644, -0.1588247376680374, 0.1735006325340652, -0.1106108087301254, -0.0193644836881943, -0.0495511102676392, 0.2163069150722218, 0.0143013065494597, 1.4222659813026832, 0.0716812317073345, 1.2481389967813752, 0.1151265692710877, 0.2001579036847496, 0.1396486726403236, 0.2532690362793731, 0.1430705827474594, 0.4208873320377922, 0.1260560718178749, 0.1956275877681732, 0.0918621835112572, 0.1679262503087044, 0.0458559845387936, 0.5558503546471644, -0.0051560993492603, -0.0424309057191525, -0.0537312361598015, -0.0057658556702347, -0.0926647815108299, -0.0163793065783691, -0.1158709037303925, -0.1002952122216949, -0.1191997039318085, -0.0344639603370209, -0.1011183965206146, 0.1801595016478348, -0.0631817239522934, 0.3636491650193214, -0.0102160046994686, 0.1617760713800923, 0.0498596974462271, 0.1313549613410702, 0.1066506919264793, 0.4242972157681084, 0.1484162849187851, 0.2802737002200699, 0.1637837183475494, 0.4250819530453491, 0.1441148561239242, 0.1628052014972572, 0.0865899515151978, 0.1774060771185589, 0.0390496779978275, 0.12070763961977, -0.1002250346541405, -0.0096974634662628, -0.1671276646852493, 0.2017817467276383, -0.1350657451152802]|29414.8828125000000000|      2.00000000|[16, 1, 0, 1]                                                              | | GPS sucess | actual_k=1
       2|[4.419297974275322, 0.7238475573062897, 0.3792854925558186, 0.4940366190671921, 0.762777274610762, -0.5640462446212768, 1.7921372315474502, -0.2093217442929745, 0.2076566386357117, 0.4390125316381455, 0.8340241663551712, -0.2213177490234375, 0.5550784989854507, -0.1571774888038635, 0.5999519727504444, -0.3630772466026246, 1.5441920058588432, 0.125492364615202, 1.4740121243610642, 0.1849811342358589, 0.4723337819711113, 0.0278986808657646, 0.8549705939156341, -0.0951804029941559, 0.4575747769332981, 1.2714155879616738, 0.2932655167904854, 1.2935663279891014, -0.496817351967144, -0.1683772648870945, 0.1498856224770594, 0.5030937199294567, -0.3607591074899349, 0.8397554424405098, 0.3727247711417465, -0.3109725150465965, -0.0374885001418304, -0.9148672926425934, 0.4772298670286407, -0.1232204493321478, 0.2747438665157776, -0.1407393771409988, 0.6812271400450516, 0.3452158313989639, 0.5508030557482719, 0.6741253067553044, 0.0385374854907528, -0.5302466801553964, 0.1599547376686802, 0.2477606800198555, 0.9402144573414422, -0.9421493965387344, 0.2103453298039055, 0.5322800767421723, 0.5380009856190491, 0.6372945946455002, 0.4924177248145943, 1.0301469159126282, -0.5204660251420308, -0.2411820064485073, 0.2756564106196785, 0.7945881453156471, 0.1285480148061752, -0.6094738501310348, -0.4830669790681076, -0.1434668102487922]|10089.6035156250000000|      4.00000000|[31, 2, 0, 2]                                                              | | GPS sucess | actual_k=1
       3|[5.4300095249879075, 1.3771681678295136, 1.027407922403536, 0.1373807829618454, 4.418117469312911, -0.9195337998867035, 1.4531613847800247, -0.5239912639558315, -0.0771130454405975, 0.1876328331232071, 0.6176121883488083, -0.4028433221578598, 0.4069885089656524, -0.2743476885557175, 0.5104228905713749, -0.4287204975448549, 1.4984628343741344, 0.0957159683853388, 1.4564265990718863, 0.1761726862564683, 0.4693447110154474, 0.0282958327839151, 0.8568768102930265, -0.0930882531870157, 0.459052767465592, 1.2719473312422633, 0.2929131866338834, 1.2926994052063674, -0.4976167671345651, -0.1684115763568843, 0.1513349183787528, 0.5066785006597638, -0.3545301110491667, 0.8489320366457105, 0.352940911069253, -0.296019743680954, -0.0202684966114473, -0.8961598104983568, 0.4964061043137779, -0.1047832798399031, 0.2797176254591565, -0.1278212419897318, 0.6893597942872691, 0.3473575522471219, 0.5459711777455389, 0.6616460033506155, 0.018121601979448, -0.5584432031214237, 0.1246185784990063, 0.2064257790148258, 0.8945072203660107, -0.9901640112698078, 0.1624451485402203, 0.4871555683016777, 0.4984004531171131, 0.6058686454594135, 0.471507076185525, 1.0215501910820604, -0.5157340678070057, -0.2231280519813299, 0.3057883299291754, 0.8341440413892269, 0.1733608468338489, -0.5650865319371223, -0.4461679488595199, -0.1221838896349073]|6657.4921875000000000|      8.00000000|[46, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
       4|[5.4300095249879075, 1.3771681678295136, 1.027407922403536, 0.1373807829618454, 4.418117469312911, -0.9195337998867035, 1.4531613847800247, -0.5239912639558315, -0.0771130454405975, 0.1876328331232071, 0.6176121883488083, -0.4028433221578598, 0.4069885089656524, -0.2743476885557175, 0.5104228905713749, -0.4287204975448549, 1.4984628343741344, 0.0957159683853388, 1.4564265990718863, 0.1761726862564683, 0.4693447110154474, 0.0282958327839151, 0.8568768102930265, -0.0930882531870157, 0.459052767465592, 1.2719473312422633, 0.2929131866338834, 1.2926994052063674, -0.4976167671345651, -0.1684115763568843, 0.1513349183787528, 0.5066785006597638, -0.3545301110491667, 0.8489320366457105, 0.352940911069253, -0.296019743680954, -0.0202684966114473, -0.8961598104983568, 0.4964061043137779, -0.1047832798399031, 0.2797176254591565, -0.1278212419897318, 0.6893597942872691, 0.3473575522471219, 0.5459711777455389, 0.6616460033506155, 0.018121601979448, -0.5584432031214237, 0.1246185784990063, 0.2064257790148258, 0.8945072203660107, -0.9901640112698078, 0.1624451485402203, 0.4871555683016777, 0.4984004531171131, 0.6058686454594135, 0.471507076185525, 1.0215501910820604, -0.5157340678070057, -0.2231280519813299, 0.3057883299291754, 0.8341440413892269, 0.1733608468338489, -0.5650865319371223, -0.4461679488595199, -0.1221838896349073]|6657.4921875000000000|      4.00000000|[130, 9, 0, 9]                                                             |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 44 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 58 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 71 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[5.8730858673321915, 1.0379068446159363, 0.8134792974159337, 0.1541138146817684, 4.418669730444726, -0.9350087107345462, 1.4238936024346105, -0.5631786952912807, -0.1212300453945828, 0.2229343955218792, 0.5803454123831177, -0.4287454686313867, 0.3967305710202269, -0.2658711211010814, 0.5393055430925083, -0.3793088169954717, 1.5669455909888195, 0.1840216279774904, 1.552734018312361, 0.278687281049788, 0.5716432985761011, 0.1233692496130243, 0.9374678556130606, -0.0341361488867551, 0.4896542242269522, 1.2682565720565617, 0.2500519447866068, 1.2071020465623588, -0.6280075304173409, -0.3440104510450328, -0.0681768736849603, 0.246256032474339, -0.6512276680216703, 0.522085586078465, 0.0033546328691034, -0.6599200177192688, 3.7558144959422637, -1.2609596974402666, 0.1453341803426018, -0.4331119489111006, -0.0176663386025805, -0.3872414580732584, 0.4734078747316051, 0.178584974007681, 0.4260853903777182, 0.5902242013067007, -0.0074196625843509, -0.5427719648182392, 0.1749389467591514, 0.2832417343556881, 0.988493850805769, -0.8889787043631077, 0.2608248126632786, 0.5733753260970116, 0.5644744295742321, 0.6458918195962906, 0.4823091151307826, 1.0032252813503146, -0.5595002124701012, -0.2850278443843126, 0.2363078511655951, 0.7699700672924519, 0.1281218974753857, -0.579463015794754, -0.4229375917639208, -0.0645208847895265]|5412.0429687500000000|      8.00000000|[158, 11, 0, 11]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
       6|[6.310342620776863, 0.865400020480156, 0.7807113422021486, 0.1384283178299666, 4.397072451209006, -0.9602888901904225, 1.3976679796912423, -0.5874387803673744, -0.1407547351583672, 0.2105023008584976, 0.5767373162249857, -0.4225698844715953, 0.4128023972397856, -0.2406437606737017, 0.5721525154388142, -0.3410591157339513, 1.6078604021827625, 0.2245375872403383, 1.5896766865715048, 0.3089960175380111, 0.5925910566844785, 0.1327656489843503, 0.9338342833587306, -0.0514291848707944, 0.4590128155897862, 1.2255578720755875, 0.1975503482761964, 1.147940722508356, -0.6899284116887032, -0.404219762589928, -0.121867474825221, 0.2039510882273317, -0.6775279325441036, 0.5158336828276515, 0.0202857103345184, -0.6179054859280586, 3.8232783111545134, -1.169474718645215, 0.2574170119041672, -0.3059764038957655, 0.116818444212399, -0.2552012703567743, 0.5913035524173427, 0.2690397833753377, 0.4746470863408625, 0.5818566814810038, 0.1789475511416928, -0.708829775005579, -0.0891059937124977, -0.0881099845468998, 0.5043613821053601, -1.4865143145620823, -0.44495026944808, -0.2288986626267433, -0.315420840296526, 8.200994167923927, -0.4669636962820287, 0.0756551767513156, -1.4209151218328941, -1.0335857696086168, -0.3540815793573237, 0.3766627390682697, 0.1013147941693306, -0.5225330139696598, -0.1667774219240618, 0.3171248542889953]|3931.7397460937500000|     16.00000000|[200, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
       7|[6.646503638194771, 2.683347527384758, 0.1162429941758729, -0.3272654540091753, 3.1850193906773896, 0.6143269459530711, 1.5101311484911195, -0.5423247735202312, 0.1375271621480751, -1.0657661813497543, 1.4901980477313335, -1.7905788556858897, -0.7372471699828096, -0.545409610979259, 0.2005030117309284, 0.5509521690942347, 1.0857741394798206, -0.3382423161715269, 1.6966431150301955, 0.9017831045016647, 1.6904137228526914, 0.9107962233060971, 1.9098006177016873, -0.3148829664755612, 0.0798623951624638, 1.4361015641875565, -1.0942581377086058, 1.4164679024647922, -1.1878078870438515, -0.8258206706309283, 0.5041790039231006, -1.5212780558690429, 0.280638666729578, 1.392315633110702, 0.4751734282967834, -0.6848688530921936, 2.238390687367587, -0.6554665542393923, 0.8972740656608811, 0.591942952927202, -0.4505295591750522, -1.754182865396142, 0.1821120631976771, 1.1580631469655782, 0.3943651879615366, 1.5945581928640604, 0.7818462084636227, 0.3045800779759884, 0.4720105228776207, 0.1411678944528103, -1.1989802211737537, 0.8883700524270535, -1.7954395282142543, 0.1949511584639549, 0.6074942011501598, 6.5513351303339, 0.1916077258180385, 0.2159660602733493, -1.279209459820794, -0.7646521157771349, 0.7098478592336798, 3.0385906775295735, -1.2312224992648124, 0.9716985677182675, -0.0725733388390016, 1.082993279658258]|2545.2768554687500000|     32.00000000|[228, 16, 0, 16]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
       8|[7.92497010128376, 3.648403350710869, 1.7717167032823182, -0.738197845891118, 2.8431730736245484, 0.3746415297314525, 1.3942872861959688, -0.524730169698596, 0.2862207386031914, -0.7994371312856674, 1.850896568868571, -1.366888804845512, -0.2881211052054353, -0.1125133247300982, 0.573497047213335, 0.8204213110543788, 1.2100841188589977, -0.3969748108834028, 1.422275216327574, 0.3857579189166427, 0.9142767880954588, -0.1356436627870425, 0.5915196824142117, -1.8978061403799802, -1.7519790736485714, -0.6209005033783614, -3.345377989774646, -0.9914188410807401, -3.709976284947294, -3.4159834246897662, 31.172519686906497, -4.100690754614771, -2.219940690417639, -0.9829833437874913, -1.7321625206473084, -2.686705391407013, 0.4732091459247161, -1.2107199407368898, -0.3316567652946243, -0.3544496428407728, -1.116797848264255, -2.1517946026474237, 0.0329909873290706, 1.2292546590138227, 0.6506939197368204, 1.9951832727342844, 1.2818879913196102, 0.8570071314275265, 1.029740422760891, 0.659320369809866, -0.7607530743098163, 1.2131719146668911, -1.6085230874889278, 0.2305040103197098, 0.4907332319881725, 6.294822071194648, -0.1783492443968053, -0.2281052624061704, -2.753963912526177, -1.1979202158004045, 0.3718585587442541, 2.8521486599743366, -1.2239149432726562, 1.188594028800726, 0.3279295217071104, 1.5802598106488586]|2426.6679687500000000|     64.00000000|[256, 18, 0, 18]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
       9|[7.92497010128376, 3.648403350710869, 1.7717167032823182, -0.738197845891118, 2.8431730736245484, 0.3746415297314525, 1.3942872861959688, -0.524730169698596, 0.2862207386031914, -0.7994371312856674, 1.850896568868571, -1.366888804845512, -0.2881211052054353, -0.1125133247300982, 0.573497047213335, 0.8204213110543788, 1.2100841188589977, -0.3969748108834028, 1.422275216327574, 0.3857579189166427, 0.9142767880954588, -0.1356436627870425, 0.5915196824142117, -1.8978061403799802, -1.7519790736485714, -0.6209005033783614, -3.345377989774646, -0.9914188410807401, -3.709976284947294, -3.4159834246897662, 31.172519686906497, -4.100690754614771, -2.219940690417639, -0.9829833437874913, -1.7321625206473084, -2.686705391407013, 0.4732091459247161, -1.2107199407368898, -0.3316567652946243, -0.3544496428407728, -1.116797848264255, -2.1517946026474237, 0.0329909873290706, 1.2292546590138227, 0.6506939197368204, 1.9951832727342844, 1.2818879913196102, 0.8570071314275265, 1.029740422760891, 0.659320369809866, -0.7607530743098163, 1.2131719146668911, -1.6085230874889278, 0.2305040103197098, 0.4907332319881725, 6.294822071194648, -0.1783492443968053, -0.2281052624061704, -2.753963912526177, -1.1979202158004045, 0.3718585587442541, 2.8521486599743366, -1.2239149432726562, 1.188594028800726, 0.3279295217071104, 1.5802598106488586]|2426.6679687500000000|     32.00000000|[339, 24, 0, 24]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 70 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[7.92497010128376, 3.648403350710869, 1.7717167032823182, -0.738197845891118, 2.8431730736245484, 0.3746415297314525, 1.3942872861959688, -0.524730169698596, 0.2862207386031914, -0.7994371312856674, 1.850896568868571, -1.366888804845512, -0.2881211052054353, -0.1125133247300982, 0.573497047213335, 0.8204213110543788, 1.2100841188589977, -0.3969748108834028, 1.422275216327574, 0.3857579189166427, 0.9142767880954588, -0.1356436627870425, 0.5915196824142117, -1.8978061403799802, -1.7519790736485714, -0.6209005033783614, -3.345377989774646, -0.9914188410807401, -3.709976284947294, -3.4159834246897662, 31.172519686906497, -4.100690754614771, -2.219940690417639, -0.9829833437874913, -1.7321625206473084, -2.686705391407013, 0.4732091459247161, -1.2107199407368898, -0.3316567652946243, -0.3544496428407728, -1.116797848264255, -2.1517946026474237, 0.0329909873290706, 1.2292546590138227, 0.6506939197368204, 1.9951832727342844, 1.2818879913196102, 0.8570071314275265, 1.029740422760891, 0.659320369809866, -0.7607530743098163, 1.2131719146668911, -1.6085230874889278, 0.2305040103197098, 0.4907332319881725, 6.294822071194648, -0.1783492443968053, -0.2281052624061704, -2.753963912526177, -1.1979202158004045, 0.3718585587442541, 2.8521486599743366, -1.2239149432726562, 1.188594028800726, 0.3279295217071104, 1.5802598106488586]|2426.6679687500000000|     16.00000000|[419, 30, 0, 30]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[6.88029773132679, 4.812875930666923, 2.800457705365143, -0.8972759223729372, 2.739099929129061, 0.3330851080641151, 1.414675379041647, -0.4499234571307897, 0.4024936649337578, -0.6583475279808044, 1.9982303249577815, -1.2321115271374583, -0.1834071139210649, -0.0527941496297717, 0.5768625040384573, 0.7603366067446768, 1.0840917611281322, -0.5866212635487318, 1.1757282028063796, 0.0931006329879165, 0.5896594916381681, -0.4755571800237521, 0.2545186865398068, -2.2131822731066495, -2.027579685812115, -0.8401777660660446, -3.494358905321063, -1.059567200737074, -3.690908451747197, -3.3080075543189014, 31.36606455156104, -3.830069037638605, -1.8857837897733365, -0.6035512914136052, -1.3298818919661255, -2.2874104487895965, 0.8412200840922881, -0.9036555267125368, -0.1153447740798721, -0.257539583388716, -1.1654498899677177, -2.368364503160119, -0.3688041615204167, 0.6310930212307722, -0.1478728388958395, 0.9999763206392527, 0.102025134454681, -0.4872232820093632, -0.4505492748862037, -0.9213815774023533, -2.3999762922739887, 16.286200479120016, -3.2220958042018797, -1.2955292719602585, -0.8998073678348255, 4.734734390377998, -0.3540908573080296, -0.9874054943397641, -3.263139868775414, -1.46101014085114, 0.3338502153158808, 3.0008022119104862, -0.9434774439879119, 1.532270238250494, 0.657746637967639, 1.8185624289140105]|2334.4736328125000000|     32.00000000|[447, 32, 0, 32]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
      12|[8.629324745105476, 4.122848634123802, 2.6693858845100022, -0.9600179097801447, 2.6527108121861787, 0.2319643902406097, 1.3097728880681745, -0.5469637974351644, 0.3243949058786201, -0.7080759066343307, 1.9837979403252537, -1.2074091904982924, -0.11911980904283, 0.0481152920797467, 0.7082503934236807, 0.9133354117907584, 1.2477510059039043, -0.4245574264973402, 1.323498875842955, 0.2143355789408088, 0.6734505240716779, -0.4379715825384483, 0.2399843975224871, -2.2823544170428067, -2.150145320360779, -1.0109725659899413, -3.7043652913627043, -1.296212496953085, -3.938591976832646, -3.548844800498482, 31.151302146999996, -3.9992888146266345, -1.9909848478630696, -0.6285589044168591, -1.2621575821044655, -2.119352321624756, 1.1110753449412871, -0.5377156115323305, 0.3329865521663895, 0.2510025966726244, -1.023897858927526, -1.8402037522941828, 0.1027785492225337, 0.992912258701399, 0.0463739449567377, 0.4799169138818979, -0.2188449371948704, -1.1514545227587223, -1.5067290367728003, -2.406788453012705, -4.336506167075624, 13.896058038324117, -6.045196132647314, -4.504625226855278, -4.419388447317858, 34.95514378368854, -4.151182102959274, -4.697685912735761, -6.708799506226586, -4.455241841748357, -2.027707506775794, 1.4275728990137577, -1.6248467486448943, 1.759990245550871, 1.6823873173270751, 3.3451453852280975]|1628.4022216796875000|     64.00000000|[488, 35, 0, 35]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
      13|[8.629324745105476, 4.122848634123802, 2.6693858845100022, -0.9600179097801447, 2.6527108121861787, 0.2319643902406097, 1.3097728880681745, -0.5469637974351644, 0.3243949058786201, -0.7080759066343307, 1.9837979403252537, -1.2074091904982924, -0.11911980904283, 0.0481152920797467, 0.7082503934236807, 0.9133354117907584, 1.2477510059039043, -0.4245574264973402, 1.323498875842955, 0.2143355789408088, 0.6734505240716779, -0.4379715825384483, 0.2399843975224871, -2.2823544170428067, -2.150145320360779, -1.0109725659899413, -3.7043652913627043, -1.296212496953085, -3.938591976832646, -3.548844800498482, 31.151302146999996, -3.9992888146266345, -1.9909848478630696, -0.6285589044168591, -1.2621575821044655, -2.119352321624756, 1.1110753449412871, -0.5377156115323305, 0.3329865521663895, 0.2510025966726244, -1.023897858927526, -1.8402037522941828, 0.1027785492225337, 0.992912258701399, 0.0463739449567377, 0.4799169138818979, -0.2188449371948704, -1.1514545227587223, -1.5067290367728003, -2.406788453012705, -4.336506167075624, 13.896058038324117, -6.045196132647314, -4.504625226855278, -4.419388447317858, 34.95514378368854, -4.151182102959274, -4.697685912735761, -6.708799506226586, -4.455241841748357, -2.027707506775794, 1.4275728990137577, -1.6248467486448943, 1.759990245550871, 1.6823873173270751, 3.3451453852280975]|1628.4022216796875000|     32.00000000|[571, 41, 0, 41]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 70 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
