k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.50000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       2|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.25000000|[11, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       3|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.12500000|[16, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       4|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.06250000|[22, 8, 1, 9]                                                              |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=1
       5|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.03125000|[28, 10, 2, 12]                                                            |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=1
       6|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.01562500|[33, 12, 2, 14]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       7|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00781250|[38, 14, 2, 16]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00390625|[43, 16, 2, 18]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00195312|[48, 18, 2, 20]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00097656|[53, 20, 2, 22]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00048828|[58, 22, 2, 24]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00024414|[63, 24, 2, 26]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      13|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00012207|[68, 26, 2, 28]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      14|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00006104|[74, 28, 3, 31]                                                            |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=1
      15|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00003052|[79, 30, 3, 33]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      16|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00001526|[84, 32, 3, 35]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      17|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00000763|[89, 34, 3, 37]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      18|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00000381|[94, 36, 3, 39]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      19|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00000191|[99, 38, 3, 41]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
