k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-500.0, -700.0]                                                                |  6.5525197919342713|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-499.50154462456703, -699.1537374258041]                                       |  6.5513019561767578|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[-498.3234275877476, -698.1976883411407]                                        |  6.5500535964965820|      4.00000000|[7, 2, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[-497.62366542220116, -695.0673537254333]                                       |  6.5455164909362793|      8.00000000|[10, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
       4|[-502.31610545516014, -689.8491067886353]                                       |  6.5381116867065430|     16.00000000|[13, 4, 0, 4]                                                              | | GPS sucess | actual_k=1
       5|[-501.73461934924126, -678.8920831680298]                                       |  6.5219373703002930|     32.00000000|[16, 5, 0, 5]                                                              | | GPS sucess | actual_k=1
       6|[-483.9922086894512, -655.8574209213257]                                        |  6.4875431060791016|     64.00000000|[19, 6, 0, 6]                                                              | | GPS sucess | actual_k=1
       7|[-489.88849183917046, -598.4570569992065]                                       |  6.3960309028625488|    128.00000000|[22, 7, 0, 7]                                                              | | GPS sucess | actual_k=1
       8|[-512.7630874812603, -506.647479057312]                                         |  6.2541122436523438|    256.00000000|[25, 8, 0, 8]                                                              | | GPS sucess | actual_k=1
       9|[-421.119944781065, -413.04975414276123]                                        |  6.0643405914306641|    512.00000000|[28, 9, 0, 9]                                                              | | GPS sucess | actual_k=1
      10|[-421.119944781065, -413.04975414276123]                                        |  6.0643405914306641|    256.00000000|[31, 10, 0, 10]                                                            |  | used linear model with 5 points | actual_k=1
      11|[-421.119944781065, -413.04975414276123]                                        |  6.0643405914306641|    128.00000000|[34, 11, 0, 11]                                                            |  | used linear model with 5 points | actual_k=1
      12|[-421.119944781065, -413.04975414276123]                                        |  6.0643405914306641|     64.00000000|[37, 12, 0, 12]                                                            |  | used linear model with 5 points | actual_k=1
      13|[-372.1844284236431, -398.1923666000366]                                        |  5.9896931648254395|    128.00000000|[40, 13, 0, 13]                                                            | | GPS sucess | actual_k=1
      14|[-309.88274309039116, -299.7410955429077]                                       |  5.7723073959350586|    256.00000000|[43, 14, 0, 14]                                                            | | GPS sucess | actual_k=1
      15|[-234.67871019244194, -233.96916103363037]                                      |  5.4655365943908691|    512.00000000|[46, 15, 0, 15]                                                            | | GPS sucess | actual_k=1
      16|[-234.67871019244194, -233.96916103363037]                                      |  5.4655365943908691|    256.00000000|[49, 16, 0, 16]                                                            |  | used linear model with 5 points | actual_k=1
      17|[-122.83270189166069, -153.21681118011475]                                      |  5.0385046005249023|    512.00000000|[52, 17, 0, 17]                                                            | | GPS sucess | actual_k=1
      18|[-122.83270189166069, -153.21681118011475]                                      |  5.0385046005249023|    256.00000000|[55, 18, 0, 18]                                                            |  | used linear model with 5 points | actual_k=1
      19|[-74.35997697710991, -73.78326320648193]                                        |  4.3302679061889648|    512.00000000|[58, 19, 0, 19]                                                            | | GPS sucess | actual_k=1
      20|[-74.35997697710991, -73.78326320648193]                                        |  4.3302679061889648|    256.00000000|[61, 20, 0, 20]                                                            |  | used linear model with 5 points | actual_k=1
