k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 5.0]                                                                      |16002.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.570768803358078, 4.4566845297813416]                                         |7924.3383789062500000|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[0.6750658005475998, 3.3293550610542297]                                        |1383.3511962890625000|      4.00000000|[9, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[0.2280691415071487, 2.668354868888855]                                         |378.9534301757812500|      8.00000000|[13, 0, 0, 3]                                                              | | GPS sucess | actual_k=0
       4|[0.2280691415071487, 2.668354868888855]                                         |378.9534301757812500|      4.00000000|[17, 0, 1, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[3.1013499051332474, 0.9802682399749756]                                        |100.3886260986328125|      8.00000000|[22, 0, 1, 6]                                                              | | GPS sucess | actual_k=0
       6|[2.974388152360916, -1.6929988861083984]                                        | 18.4105663299560547|     16.00000000|[26, 0, 1, 7]                                                              | | GPS sucess | actual_k=0
       7|[2.974388152360916, -1.6929988861083984]                                        | 18.4105663299560547|      8.00000000|[30, 0, 2, 9]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[2.974388152360916, -1.6929988861083984]                                        | 18.4105663299560547|      4.00000000|[35, 0, 3, 11]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[2.974388152360916, -1.6929988861083984]                                        | 18.4105663299560547|      2.00000000|[40, 0, 4, 13]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[2.974388152360916, -1.6929988861083984]                                        | 18.4105663299560547|      1.00000000|[45, 0, 5, 15]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[2.974388152360916, -1.6929988861083984]                                        | 18.4105663299560547|      0.50000000|[50, 0, 6, 17]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[3.2018449753522873, -1.9514218866825104]                                       |  6.2037382125854492|      1.00000000|[55, 0, 6, 18]                                                             | | GPS sucess | actual_k=0
      13|[3.2018449753522873, -1.9514218866825104]                                       |  6.2037382125854492|      0.50000000|[59, 0, 7, 20]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
