k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0]                                                                      |  1.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.8206274509429932, 0.5714635252952576]                                        |  0.0191096663475037|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[0.8206274509429932, 0.5714635252952576]                                        |  0.0191096663475037|      1.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[0.8206274509429932, 0.5714635252952576]                                        |  0.0191096663475037|      0.50000000|[14, 0, 2, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[0.3452989459037781, 0.7265852689743042]                                        |  0.0108277071267366|      1.00000000|[19, 0, 2, 6]                                                              | | GPS sucess | actual_k=0
       5|[0.3452989459037781, 0.7265852689743042]                                        |  0.0108277071267366|      0.50000000|[23, 0, 3, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[0.3452989459037781, 0.7265852689743042]                                        |  0.0108277071267366|      0.25000000|[28, 0, 4, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[0.5806794613599777, 0.6423474624752998]                                        |  0.0018265143735334|      0.50000000|[33, 0, 4, 11]                                                             | | GPS sucess | actual_k=0
       8|[0.5806794613599777, 0.6423474624752998]                                        |  0.0018265143735334|      0.25000000|[37, 0, 4, 12]                                                             |  | used linear model with 5 points | actual_k=0
       9|[0.6244852766394615, 0.8884796425700188]                                        |  0.0006254824693315|      0.50000000|[41, 0, 4, 13]                                                             | | GPS sucess | actual_k=0
      10|[0.6244852766394615, 0.8884796425700188]                                        |  0.0006254824693315|      0.25000000|[45, 0, 5, 15]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[0.6244852766394615, 0.8884796425700188]                                        |  0.0006254824693315|      0.12500000|[50, 0, 6, 17]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[0.7195103392004967, 0.8072685748338699]                                        |  0.0000024282990125|      0.25000000|[55, 0, 6, 18]                                                             | | GPS sucess | actual_k=0
      13|[0.7195103392004967, 0.8072685748338699]                                        |  0.0000024282990125|      0.12500000|[59, 0, 6, 19]                                                             |  | used linear model with 5 points | actual_k=0
      14|[0.7195103392004967, 0.8072685748338699]                                        |  0.0000024282990125|      0.06250000|[63, 0, 6, 20]                                                             |  | used linear model with 5 points | actual_k=0
