k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1391096264123917, 0.4339664280414581, 0.3098037242889404, 0.4546111524105072, -0.0647620037198067, -0.1636053472757339, -0.9628055691719055, -0.1070451140403748, -0.0144130829721689, 0.3945242464542389, 0.4608737230300903, 0.8190156817436218, 0.0984359160065651, -0.3190086483955383, -0.2356286346912384, -0.1567978709936142, -0.2359891086816788, -0.7853260636329651, -0.4828654527664185, -0.406943291425705, -0.1566790193319321, 0.4403509199619293]| 13.9511518478393555|      2.00000000|[61, 4, 0, 1]                                                              | | GPS sucess | actual_k=4
       2|[0.8577622920274734, 0.3478600457310677, 1.019810974597931, 1.6877478063106537, -0.4830111935734749, -0.68573297560215, -0.4334850311279297, -0.4065165519714355, -0.2624281737953424, 0.5154495164752007, 0.3017954230308533, 0.9597801864147186, 0.0607008375227451, -0.5831749439239502, -0.5429867208003998, 0.0276865214109421, -0.5419241338968277, -1.0536756813526154, -0.4354651533067226, -0.5523472726345062, -0.4631145745515823, 0.6138714253902435]| 12.2468118667602539|      4.00000000|[121, 8, 0, 2]                                                             | | GPS sucess | actual_k=4
       3|[0.8541533132083714, 0.7755557671189308, 1.4230800867080688, 2.188836008310318, -0.6900184974074364, -0.3913011699914932, -0.6410738080739975, -2.2816059589385986, -0.278167637065053, 0.0602880045771599, -1.3357693552970886, 2.233666628599167, -0.1218577288091183, 0.0538362264633179, -0.4642089903354645, -0.1628741472959518, 0.5942327827215195, -0.4680192768573761, 0.5297806896269321, 0.2474105656147003, -0.6704708635807037, 2.477508634328842]| 12.1433582305908203|      8.00000000|[181, 12, 0, 3]                                                            | | GPS sucess | actual_k=4
       4|[0.8541533132083714, 0.7755557671189308, 1.4230800867080688, 2.188836008310318, -0.6900184974074364, -0.3913011699914932, -0.6410738080739975, -2.2816059589385986, -0.278167637065053, 0.0602880045771599, -1.3357693552970886, 2.233666628599167, -0.1218577288091183, 0.0538362264633179, -0.4642089903354645, -0.1628741472959518, 0.5942327827215195, -0.4680192768573761, 0.5297806896269321, 0.2474105656147003, -0.6704708635807037, 2.477508634328842]| 12.1433582305908203|      4.00000000|[245, 16, 0, 5]                                                            |  | used linear model with 65 points | actual_k=4
       5|[0.8325150520540774, 0.4956275299191475, 2.218224585056305, 2.0962767004966736, -0.6128720864653587, 0.0914474278688431, -0.427205353975296, -2.694130629301071, 0.0075881462544203, -0.228313185274601, -1.0982240289449692, 3.0449876487255096, -0.5405607484281063, 1.0927788019180298, -0.6849676072597504, -0.1800587829202414, 0.8884236365556717, -0.7570066452026367, 0.9404870308935642, -0.2560471594333649, -0.8261371850967407, 2.6376103162765503]| 12.1429824829101562|      8.00000000|[305, 20, 0, 6]                                                            | | GPS sucess | actual_k=4
       6|[0.8325150520540774, 0.4956275299191475, 2.218224585056305, 2.0962767004966736, -0.6128720864653587, 0.0914474278688431, -0.427205353975296, -2.694130629301071, 0.0075881462544203, -0.228313185274601, -1.0982240289449692, 3.0449876487255096, -0.5405607484281063, 1.0927788019180298, -0.6849676072597504, -0.1800587829202414, 0.8884236365556717, -0.7570066452026367, 0.9404870308935642, -0.2560471594333649, -0.8261371850967407, 2.6376103162765503]| 12.1429824829101562|      4.00000000|[369, 24, 0, 8]                                                            |  | used linear model with 65 points | actual_k=4
       7|[0.8249934753403068, 0.3261694088578224, 2.349720150232315, 2.063621051609516, -0.5355994254350662, 0.1963516473770142, -0.3259313404560089, -2.4984002262353897, 0.0117494803853333, 0.0041142478585243, -1.6908720582723618, 3.1981552839279175, 1.4650957323610783, 1.0043282434344292, -0.3137451708316803, 1.4355583731085062, 0.1661562472581863, -0.0599713325500488, 2.4762034453451633, -2.5421437323093414, -0.5658293068408966, 2.4956979006528854]| 12.1429672241210938|      8.00000000|[429, 28, 0, 9]                                                            | | GPS sucess | actual_k=4
       8|[0.8249934753403068, 0.3261694088578224, 2.349720150232315, 2.063621051609516, -0.5355994254350662, 0.1963516473770142, -0.3259313404560089, -2.4984002262353897, 0.0117494803853333, 0.0041142478585243, -1.6908720582723618, 3.1981552839279175, 1.4650957323610783, 1.0043282434344292, -0.3137451708316803, 1.4355583731085062, 0.1661562472581863, -0.0599713325500488, 2.4762034453451633, -2.5421437323093414, -0.5658293068408966, 2.4956979006528854]| 12.1429672241210938|      4.00000000|[492, 33, 0, 11]                                                           |  | used linear model with 65 points | actual_k=4
       9|[0.7717077238485217, -0.8281402215361595, 3.0093636214733124, 2.061097274068743, 0.1866364926099777, 0.3784383237361908, 0.5117504298686981, -1.4558221250772476, 0.6589484554715455, 1.0587955489754677, -0.9491606205701828, 3.3238987624645233, 1.2084020711481571, 1.8649807497859001, -0.5965786278247833, 1.3199118096381426, -0.3145697563886642, 1.429826259613037, 0.6411711014807224, -3.382547050714493, -2.0388170778751373, 2.0540242046117783]| 12.1420307159423828|      8.00000000|[552, 37, 0, 12]                                                           | | GPS sucess | actual_k=4
      10|[0.7717077238485217, -0.8281402215361595, 3.0093636214733124, 2.061097274068743, 0.1866364926099777, 0.3784383237361908, 0.5117504298686981, -1.4558221250772476, 0.6589484554715455, 1.0587955489754677, -0.9491606205701828, 3.3238987624645233, 1.2084020711481571, 1.8649807497859001, -0.5965786278247833, 1.3199118096381426, -0.3145697563886642, 1.429826259613037, 0.6411711014807224, -3.382547050714493, -2.0388170778751373, 2.0540242046117783]| 12.1420307159423828|      4.00000000|[616, 41, 0, 14]                                                           |  | used linear model with 65 points | actual_k=4
      11|[0.7184219723567367, -1.0502057000994682, 3.6690070927143097, 2.05857349652797, 0.9088724106550217, 0.2075288891792297, 1.3494322001934052, -0.4132440239191055, 1.3061474305577576, 2.113476850092411, -0.2074491828680038, 4.463604420423508, 0.951708409935236, 2.725633256137371, -0.8794120848178864, 1.188307674601674, -0.7952957600355148, 2.919623851776123, -1.1938612423837185, -4.222950369119644, -3.511804848909378, 1.612350508570671]| 12.1415700912475586|      8.00000000|[676, 45, 0, 15]                                                           | | GPS sucess | actual_k=4
