k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-506.0, -506.2]                                                                |25614.3346824171749176|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-505.179372549057, -505.62853647470473]                                        |25543.3222656250000000|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[-505.16195797920227, -503.6286124110222]                                       |25441.5234375000000000|      4.00000000|[7, 2, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[-503.3996456861496, -500.0377551436424]                                        |25172.8515625000000000|      8.00000000|[10, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
       4|[-500.91769778728485, -492.43249810934066]                                      |24670.4179687500000000|     16.00000000|[13, 4, 0, 4]                                                              | | GPS sucess | actual_k=1
       5|[-488.780277132988, -502.8576127409935]                                         |24589.0585937500000000|     32.00000000|[16, 5, 0, 5]                                                              | | GPS sucess | actual_k=1
       6|[-478.4808739423752, -472.56038106679915]                                       |22612.9589843750000000|     64.00000000|[19, 6, 0, 6]                                                              | | GPS sucess | actual_k=1
       7|[-456.91600120067596, -412.30296911001204]                                      |18938.3984375000000000|    128.00000000|[22, 7, 0, 7]                                                              | | GPS sucess | actual_k=1
       8|[-331.9380806684494, -384.65296758413314]                                       |12907.1630859375000000|    256.00000000|[25, 8, 0, 8]                                                              | | GPS sucess | actual_k=1
       9|[-287.080925822258, -132.61361516714095]                                        |5000.5151367187500000|    512.00000000|[28, 9, 0, 9]                                                              | | GPS sucess | actual_k=1
      10|[-287.080925822258, -132.61361516714095]                                        |5000.5151367187500000|    256.00000000|[31, 10, 0, 10]                                                            |  | used linear model with 5 points | actual_k=1
      11|[-81.70575797557831, 20.216493475437176]                                        |354.3687744140625000|    512.00000000|[34, 11, 0, 11]                                                            | | GPS sucess | actual_k=1
      12|[-81.70575797557831, 20.216493475437176]                                        |354.3687744140625000|    256.00000000|[37, 12, 0, 12]                                                            |  | used linear model with 5 points | actual_k=1
      13|[-81.70575797557831, 20.216493475437176]                                        |354.3687744140625000|    128.00000000|[40, 13, 0, 13]                                                            |  | used linear model with 5 points | actual_k=1
      14|[45.06540596485138, 37.91030107736589]                                          |173.4854583740234375|    256.00000000|[43, 14, 0, 14]                                                            | | GPS sucess | actual_k=1
      15|[45.06540596485138, 37.91030107736589]                                          |173.4854583740234375|    128.00000000|[46, 15, 0, 15]                                                            |  | used linear model with 5 points | actual_k=1
      16|[45.06540596485138, 37.91030107736589]                                          |173.4854583740234375|     64.00000000|[49, 16, 0, 16]                                                            |  | used linear model with 5 points | actual_k=1
      17|[45.06540596485138, 37.91030107736589]                                          |173.4854583740234375|     32.00000000|[52, 17, 0, 17]                                                            |  | used linear model with 5 points | actual_k=1
      18|[45.06540596485138, 37.91030107736589]                                          |173.4854583740234375|     16.00000000|[55, 18, 0, 18]                                                            |  | used linear model with 5 points | actual_k=1
      19|[32.342103123664856, 28.208880293369305]                                        | 92.1833419799804688|     32.00000000|[58, 19, 0, 19]                                                            | | GPS sucess | actual_k=1
      20|[32.342103123664856, 28.208880293369305]                                        | 92.1833419799804688|     16.00000000|[61, 20, 0, 20]                                                            |  | used linear model with 5 points | actual_k=1
