k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3823688924312592, -0.0497824251651764, -0.1420545727014542, 0.1532222926616669, 0.2454042285680771, 0.0836205631494522, -0.3411653935909271, -0.1315423846244812, -0.0376622639596462, 0.0679064393043518, -0.0369983427226543, 0.0588920824229717, 0.0792818889021873, 0.0169150549918413, -0.4636098742485046, 0.1777410060167313, -0.249755471944809, 0.0317587666213512, -0.2147050499916077, 0.0346951186656952, 0.1924824416637421, -0.2044362872838974]| 14.2843809127807617|      2.00000000|[61, 4, 0, 1]                                                              | | GPS sucess | actual_k=4
       2|[1.091283231973648, -0.4517726600170135, -0.4194128066301346, 0.5739329159259796, 0.1896010003983974, 0.204848051071167, -0.2565995678305626, -0.1786588095128536, -0.4529776237905025, 0.3747280538082123, 0.2681625373661518, 0.5933686010539532, -0.0634004399180412, 0.3788876552134752, -0.2576895356178284, 0.2474106177687645, -0.7838644683361053, 0.6610015444457531, 0.4317007064819336, -0.2798514366149902, -0.440628319978714, 0.3695545345544815]| 13.1075658798217773|      4.00000000|[121, 8, 0, 2]                                                             | | GPS sucess | actual_k=4
       3|[1.7982454597949982, 0.8515476286411285, -0.1345865875482559, 1.7218344509601593, -1.1299772895872593, 1.4204515218734741, 0.3753965273499489, -0.9313655756413937, 0.2891587354242802, 0.8827073872089386, 0.5722261853516102, 1.151209007948637, -0.3575524613261223, 0.9371184129267931, -0.5108065605163574, 1.391513668000698, -1.9955208003520966, 1.497223000973463, 1.31595116853714, -0.1328122466802597, -0.7157045304775238, -0.3400286287069321]| 12.1459150314331055|      8.00000000|[181, 12, 0, 3]                                                            | | GPS sucess | actual_k=4
       4|[0.3559778034687042, 1.6463535726070404, 0.1015902161598206, 2.714550405740738, 0.4847195707261562, 0.2646383047103882, 3.5065625086426735, -0.2077046297490597, 0.5336886830627918, 0.6144312620162964, 1.817416924983263, 2.862236749380827, -4.138277940452099, 0.6585109550505877, -1.0809811353683472, 3.7104566916823387, -2.272876054048538, 1.173025082796812, -0.9189233183860779, 0.0327457636594772, -0.0500059425830841, 0.5662212520837784]| 12.1434469223022461|     16.00000000|[241, 16, 0, 4]                                                            | | GPS sucess | actual_k=4
       5|[0.3559778034687042, 1.6463535726070404, 0.1015902161598206, 2.714550405740738, 0.4847195707261562, 0.2646383047103882, 3.5065625086426735, -0.2077046297490597, 0.5336886830627918, 0.6144312620162964, 1.817416924983263, 2.862236749380827, -4.138277940452099, 0.6585109550505877, -1.0809811353683472, 3.7104566916823387, -2.272876054048538, 1.173025082796812, -0.9189233183860779, 0.0327457636594772, -0.0500059425830841, 0.5662212520837784]| 12.1434469223022461|      8.00000000|[301, 20, 0, 5]                                                            |  | used linear model with 65 points | actual_k=4
       6|[-3.1238143146038055, 1.3802136778831482, -0.0122408643364906, 5.543957859277725, -0.1248894371092319, 1.639803409576416, 2.841795302927494, -1.4995342157781124, -1.8304267935454845, -0.4880110025405884, 0.710384625941515, 5.079489003866911, -4.548345230519772, -2.2012772243469954, -1.1658531948924065, 4.89538761228323, -2.63847279548645, 0.5277225486934185, 0.6741877198219299, -0.1404775679111481, -1.0999518930912018, -2.706789955496788]| 12.1346235275268555|     16.00000000|[361, 24, 0, 6]                                                            | | GPS sucess | actual_k=4
       7|[-5.856655806303024, 5.869113862514496, 2.7140889391303062, 6.908589392900467, -1.5835084356367588, -0.9372110366821289, 2.6174881234765053, -8.40263470634818, 1.0016936250030994, 1.2134565114974976, 4.727180738002062, 7.642275344580412, -2.202774904668331, -3.673833815380931, -2.504657916724682, 5.260547511279583, -1.630818486213684, -1.7053549773991108, 0.8203670978546143, 5.805386155843735, 5.914435237646103, -4.9348113387823105]| 12.1307821273803711|     32.00000000|[421, 28, 0, 7]                                                            | | GPS sucess | actual_k=4
       8|[-5.856655806303024, 5.869113862514496, 2.7140889391303062, 6.908589392900467, -1.5835084356367588, -0.9372110366821289, 2.6174881234765053, -8.40263470634818, 1.0016936250030994, 1.2134565114974976, 4.727180738002062, 7.642275344580412, -2.202774904668331, -3.673833815380931, -2.504657916724682, 5.260547511279583, -1.630818486213684, -1.7053549773991108, 0.8203670978546143, 5.805386155843735, 5.914435237646103, -4.9348113387823105]| 12.1307821273803711|     16.00000000|[481, 32, 0, 8]                                                            |  | used linear model with 65 points | actual_k=4
       9|[-5.856655806303024, 5.869113862514496, 2.7140889391303062, 6.908589392900467, -1.5835084356367588, -0.9372110366821289, 2.6174881234765053, -8.40263470634818, 1.0016936250030994, 1.2134565114974976, 4.727180738002062, 7.642275344580412, -2.202774904668331, -3.673833815380931, -2.504657916724682, 5.260547511279583, -1.630818486213684, -1.7053549773991108, 0.8203670978546143, 5.805386155843735, 5.914435237646103, -4.9348113387823105]| 12.1307821273803711|      8.00000000|[541, 36, 0, 9]                                                            |  | used linear model with 65 points | actual_k=4
      10|[-5.856655806303024, 5.869113862514496, 2.7140889391303062, 6.908589392900467, -1.5835084356367588, -0.9372110366821289, 2.6174881234765053, -8.40263470634818, 1.0016936250030994, 1.2134565114974976, 4.727180738002062, 7.642275344580412, -2.202774904668331, -3.673833815380931, -2.504657916724682, 5.260547511279583, -1.630818486213684, -1.7053549773991108, 0.8203670978546143, 5.805386155843735, 5.914435237646103, -4.9348113387823105]| 12.1307821273803711|      4.00000000|[601, 40, 0, 10]                                                           |  | used linear model with 65 points | actual_k=4
      11|[-6.182901173830032, 6.338566839694977, 2.615287460386753, 7.166093558073044, -2.1151467598974705, 0.4757130146026611, 3.864586092531681, -7.7521719597280025, 1.3927541263401508, 1.122389279305935, 4.180831808596849, 7.2588181011378765, -2.3224299252033234, -4.196960119530559, -0.7608538195490837, 4.596111170947552, -1.98521089553833, -2.457259703427553, -0.9741916656494141, 4.774619668722153, 6.235558569431305, -5.004794962704182]| 12.1306324005126953|      8.00000000|[661, 44, 0, 11]                                                           | | GPS sucess | actual_k=4
