k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.721861839294434, 1.5313697457313538, 2.0582194067537785, 1.6774395406246185, 0.5897005021572113]|5798.6899414062500000|      2.00000000|[17, 0, 0, 1]                                                              | | GPS sucess | actual_k=0
       2|[19.89513248205185, 2.5104073882102966, 3.4271163679659367, 2.3727371394634247, 0.6158998448401689]|3676.1386718750000000|      4.00000000|[33, 0, 0, 2]                                                              | | GPS sucess | actual_k=0
       3|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      8.00000000|[49, 0, 0, 3]                                                              | | GPS sucess | actual_k=0
       4|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      4.00000000|[79, 0, 0, 5]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      2.00000000|[109, 0, 0, 7]                                                             |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      1.00000000|[139, 0, 0, 9]                                                             |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.50000000|[168, 0, 0, 11]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
       8|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.25000000|[197, 0, 0, 13]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
       9|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.12500000|[226, 0, 0, 15]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      10|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.06250000|[255, 0, 0, 17]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      11|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.03125000|[284, 0, 0, 19]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      12|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.01562500|[313, 0, 0, 21]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      13|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00781250|[342, 0, 0, 23]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      14|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00390625|[371, 0, 0, 25]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      15|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00195312|[400, 0, 0, 27]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      16|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00097656|[429, 0, 0, 29]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      17|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00048828|[458, 0, 0, 31]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
