k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[3.0, 1.0]                                                                      |217.3621226801203932|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.179372549057007, 0.4285364747047424]                                         |121.1358108520507812|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[0.1794484853744507, 0.4459512215107679]                                        | 46.5034523010253906|      4.00000000|[9, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[0.1794484853744507, 0.4459512215107679]                                        | 46.5034523010253906|      2.00000000|[13, 0, 1, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[0.1794484853744507, 0.4459512215107679]                                        | 46.5034523010253906|      1.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[0.1794484853744507, 0.4459512215107679]                                        | 46.5034523010253906|      0.50000000|[23, 0, 3, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[0.0185203105211258, -0.0274430233985186]                                       |  2.4465146064758301|      1.00000000|[28, 0, 3, 9]                                                              | | GPS sucess | actual_k=0
       7|[0.0185203105211258, -0.0274430233985186]                                       |  2.4465146064758301|      0.50000000|[32, 0, 4, 11]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[0.0185203105211258, -0.0274430233985186]                                       |  2.4465146064758301|      0.25000000|[37, 0, 5, 13]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[0.0185203105211258, -0.0274430233985186]                                       |  2.4465146064758301|      0.12500000|[42, 0, 6, 15]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[-0.0117954853922129, 0.0938250776380301]                                       |  1.7415602207183838|      0.25000000|[47, 0, 6, 16]                                                             | | GPS sucess | actual_k=0
      11|[-0.0117954853922129, 0.0938250776380301]                                       |  1.7415602207183838|      0.12500000|[51, 0, 7, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[-0.0117954853922129, 0.0938250776380301]                                       |  1.7415602207183838|      0.06250000|[56, 0, 8, 20]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
