k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[15.0, 6.0]                                                                     |-2641.3632314451997445|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[15.0, 6.0]                                                                     |-2641.3632314451997445|      0.50000000|[5, 1, 1, 3]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[15.050695896148682, 5.50257670879364]                                          |-2940.4982910156250000|      1.00000000|[9, 2, 1, 4]                                                               | | GPS sucess | actual_k=1
       3|[15.050695896148682, 5.50257670879364]                                          |-2940.4982910156250000|      0.50000000|[13, 3, 2, 7]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[15.050695896148682, 5.50257670879364]                                          |-2940.4982910156250000|      0.25000000|[18, 4, 3, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[15.050695896148682, 5.50257670879364]                                          |-2940.4982910156250000|      0.12500000|[23, 5, 4, 13]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[15.00235602259636, 5.38730201125145]                                           |-3017.2192382812500000|      0.25000000|[27, 6, 4, 14]                                                             | | GPS sucess | actual_k=1
       7|[15.00235602259636, 5.38730201125145]                                           |-3017.2192382812500000|      0.12500000|[31, 7, 5, 17]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[15.112152509391308, 5.162702947854996]                                         |-3154.6579589843750000|      0.25000000|[35, 8, 5, 18]                                                             | | GPS sucess | actual_k=1
       9|[15.112152509391308, 5.162702947854996]                                         |-3154.6579589843750000|      0.12500000|[39, 9, 6, 21]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
