k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0381407849490643, 0.0799828469753265, 0.343980461359024, 0.3301783502101898, 0.1022952795028687, -0.1390520185232162, 0.0276686679571867, 0.0983205437660217, 0.0690724030137062, -0.1683494597673416, 0.0577969960868359, 0.0096356617286801, -0.0221875850111246, -0.1127479001879692, -0.1804066300392151, -0.0322092995047569, 0.042254813015461, -0.0478741191327572, -0.0965867191553116, 0.5625779032707214, -0.2172268033027649, 0.0050752516835928]| 14.2830896377563477|      2.00000000|[49, 16, 0, 1]                                                             | | GPS sucess | actual_k=16
       2|[0.7185785882174969, 0.5597911179065704, 0.8706583082675934, 0.8682494461536407, -0.7920337915420532, -0.1064820773899555, -0.0918704587966204, 0.0930948737077415, 0.0710627473890781, -0.0126423686742783, 0.5345212928950787, 0.2389797167852521, 0.4485286828130484, -0.6025599762797356, -0.2904052808880806, 0.3216869309544563, 0.0965936742722988, -0.4376593492925167, 0.4725774377584457, -0.0529399514198303, -0.586773008108139, 0.1536474730819464]| 12.8231678009033203|      4.00000000|[97, 32, 0, 2]                                                             | | GPS sucess | actual_k=16
       3|[0.9953908436000347, 0.9629267156124115, 1.171089231967926, 2.1511272490024567, 0.2947001457214355, -0.3396776206791401, -1.0524937827140093, -0.3122325954027474, -1.4729234538972378, -0.3333023339509964, 0.5751345045864582, 1.286706824786961, -0.8725684527307749, -0.5187832042574883, -0.3659189119935036, 1.7707367613911629, -0.2678857780992985, -1.9531556032598019, -0.684174194931984, 0.1212319880723953, -0.0579393208026886, 0.1375852972269058]| 12.1442413330078125|      8.00000000|[145, 48, 0, 3]                                                            | | GPS sucess | actual_k=16
       4|[-0.4644024856388569, 0.8556394502520561, 0.6209174990653992, 3.3388167917728424, -0.6562005281448364, 0.3239866010844707, -2.3951034266501665, 1.5545619907788932, 1.2804032005369663, 1.3507588356733322, -2.3695788495242596, 0.8925025658681989, -3.3722289446741343, 0.435466893017292, -2.349606789648533, -0.898163728415966, 0.4682277105748653, -2.845192100852728, -1.6271815448999405, -1.641266867518425, -0.5062334835529327, -1.826714739203453]| 12.1405019760131836|     16.00000000|[193, 64, 0, 4]                                                            | | GPS sucess | actual_k=16
       5|[-0.4644024856388569, 0.8556394502520561, 0.6209174990653992, 3.3388167917728424, -0.6562005281448364, 0.3239866010844707, -2.3951034266501665, 1.5545619907788932, 1.2804032005369663, 1.3507588356733322, -2.3695788495242596, 0.8925025658681989, -3.3722289446741343, 0.435466893017292, -2.349606789648533, -0.898163728415966, 0.4682277105748653, -2.845192100852728, -1.6271815448999405, -1.641266867518425, -0.5062334835529327, -1.826714739203453]| 12.1405019760131836|      8.00000000|[241, 80, 0, 5]                                                            |  | used linear model with 65 points | actual_k=16
       6|[-0.4644024856388569, 0.8556394502520561, 0.6209174990653992, 3.3388167917728424, -0.6562005281448364, 0.3239866010844707, -2.3951034266501665, 1.5545619907788932, 1.2804032005369663, 1.3507588356733322, -2.3695788495242596, 0.8925025658681989, -3.3722289446741343, 0.435466893017292, -2.349606789648533, -0.898163728415966, 0.4682277105748653, -2.845192100852728, -1.6271815448999405, -1.641266867518425, -0.5062334835529327, -1.826714739203453]| 12.1405019760131836|      4.00000000|[289, 96, 0, 6]                                                            |  | used linear model with 65 points | actual_k=16
       7|[-1.442659605294466, 0.9546842575073242, 0.9127086400985718, 4.1303389966487885, -1.5284808278083801, -0.501754630357027, -2.1275102216750383, 0.2354090395383537, 0.5022311247885227, 2.7501749247312546, -1.2524069659411907, 1.450187404640019, -3.8313134852796793, -0.2111971899867058, -2.5796584114432335, -0.974973089993, 0.0736649595201015, -3.6816219352185726, -2.2373412400484085, -1.7266264036297798, 0.3064015805721283, -0.7686049789190292]| 12.1390771865844727|      8.00000000|[337, 112, 0, 7]                                                           | | GPS sucess | actual_k=16
       8|[-3.3361529000103474, -0.0904535055160522, 3.845795512199402, 5.0082113444805145, -3.111208975315094, 0.5528609864413738, -0.2809979040175676, -2.173393946606666, 0.4802365265786648, 5.943671867251396, -3.2559810988605022, 0.7262169318273664, -3.164853984490037, -0.3272816315293312, -1.3394227251410484, -1.798968382179737, 0.1759096644818783, -1.0905362628400326, -0.2752825766801834, -2.5357682183384895, 1.0563797056674957, 1.8605861812829971]| 12.1355466842651367|     16.00000000|[385, 128, 0, 8]                                                           | | GPS sucess | actual_k=16
       9|[-6.785256493836641, -1.6505521535873413, 2.6697481870651245, 8.311113566160202, -6.403259098529816, -2.731113899499178, -3.4398275930434465, -4.533763152081519, -3.696549419313669, 12.089674159884453, 0.111340869218111, 3.1225940184667706, -3.3187715355306864, 5.812716327607632, -3.7036643251776695, -3.664942689239979, -4.8330219723284245, -3.0162962935864925, 5.259060189127922, -2.1627602949738503, 0.5756564736366272, 4.359888568520546]| 12.1329765319824219|     32.00000000|[433, 144, 0, 9]                                                           | | GPS sucess | actual_k=16
      10|[-6.785256493836641, -1.6505521535873413, 2.6697481870651245, 8.311113566160202, -6.403259098529816, -2.731113899499178, -3.4398275930434465, -4.533763152081519, -3.696549419313669, 12.089674159884453, 0.111340869218111, 3.1225940184667706, -3.3187715355306864, 5.812716327607632, -3.7036643251776695, -3.664942689239979, -4.8330219723284245, -3.0162962935864925, 5.259060189127922, -2.1627602949738503, 0.5756564736366272, 4.359888568520546]| 12.1329765319824219|     16.00000000|[481, 160, 0, 10]                                                          |  | used linear model with 65 points | actual_k=16
      11|[-4.5880054123699665, -2.8130277395248413, 1.8359383344650269, 6.63048180937767, -0.3737662434577942, -6.814074981957674, -4.902399213984609, 2.0736272516660392, -2.155135277658701, 14.392623111605644, 3.290960419923067, 9.348900933749974, -3.5349964443594217, 5.6231957748532295, -2.0927170738577843, -6.740333028137684, -8.052783105522394, -2.215894427150488, 9.635675713419914, -2.0527849420905113, -5.592200696468353, 1.8028311878442764]| 12.1276988983154297|     32.00000000|[529, 176, 0, 11]                                                          | | GPS sucess | actual_k=16
