k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.0022846446372569, -0.0034269669558853, -0.0045692892745137, 0.997191846370697, -0.0068539339117706, -0.0079962564632297, -0.0091385785490274, -0.0102809006348252, 0.0052437679842114, -0.0125655457377434, -0.0137078678235412, -0.0148501889780164, -0.0159925129264593, -0.0171348340809345, -0.0182771570980549, -0.0194194782525301, -0.0229299068450928, -0.0217041224241257, -0.022846445441246, -0.0239887665957212, -0.0251310914754868, -0.026273412629962]| 13.4846315383911133|      2.00000000|[33, 0, 0, 2]                                                              | | GPS sucess | actual_k=0
       2|[1.9968178286217153, -0.0061618685722351, -0.0082158248405904, 1.0124426633119583, -0.0123237371444702, -0.0143776936456561, -0.0164316496811807, -0.0184856057167053, -0.0038725715130568, -0.0225935187190771, -0.0246474742889404, -0.0267014298588037, -0.0287553872913122, -0.0308093428611755, -0.0173050200100988, -0.0349172549322248, -0.039339317008853, -0.039025167003274, -0.0410791244357824, -0.0431330781430006, -0.0451870374381542, -0.0472409930080175]| 12.2443723678588867|      4.00000000|[65, 0, 0, 4]                                                              | | GPS sucess | actual_k=0
       3|[1.9895146070048213, 0.0741733983159065, 3.984598954441026, 0.9941846095025539, -0.0342334024608135, -0.0399389686062932, -0.0456445361487567, -0.0513501018285751, -0.0403886791318655, -0.0627612378448248, -0.068466804921627, -0.0741723719984293, -0.0798779372125864, -0.0855835042893887, -0.0757307929452509, -0.0969946393743157, -0.1050683092325926, -0.1084057781845331, -0.1141113396733999, -0.119816904887557, -0.0342309214174747, -0.1312280427664518]| 12.1473455429077148|      8.00000000|[97, 0, 0, 6]                                                              | | GPS sucess | actual_k=0
       4|[1.7374875424429774, -0.3721219226717949, 3.3544470865745097, 1.198416631668806, -0.4427021853625774, -0.6270058574154973, 0.2477308069355786, 1.791721597313881, -0.8471644874662161, -0.4823736157268286, 0.5994019880890846, -0.6434481684118509, 1.6598697062581778, 1.5942702926695347, 0.6840030627790838, -0.0508139813318849, 0.3389515746384859, -0.2320698518306017, -0.2142361234873533, -0.4844871517270803, 1.6753642819821835, -0.1596463285386562]| 12.1449584960937500|     16.00000000|[129, 0, 0, 8]                                                             | | GPS sucess | actual_k=0
       5|[1.7374875424429774, -0.3721219226717949, 3.3544470865745097, 1.198416631668806, -0.4427021853625774, -0.6270058574154973, 0.2477308069355786, 1.791721597313881, -0.8471644874662161, -0.4823736157268286, 0.5994019880890846, -0.6434481684118509, 1.6598697062581778, 1.5942702926695347, 0.6840030627790838, -0.0508139813318849, 0.3389515746384859, -0.2320698518306017, -0.2142361234873533, -0.4844871517270803, 1.6753642819821835, -0.1596463285386562]| 12.1449584960937500|      8.00000000|[161, 0, 0, 10]                                                            |  | used linear model with 33 points | actual_k=0
       6|[1.6145633636042476, -0.7864355966448784, 3.7513790030498058, 1.2451226636767387, -0.4306220514699817, -0.4474805565550923, 2.2560854707844555, 2.150887295603752, 0.594859266653657, 0.6537445578724146, 0.2393998578190804, 0.0585298594087362, 1.5674697887152433, 2.1145308054983616, 1.2957099752966315, -0.6783112967386842, 0.070118235424161, 0.3342825751751661, -0.0759891401976347, 1.1753411535173655, -0.1277372576296329, -0.183552635833621]| 12.1445512771606445|     16.00000000|[193, 0, 0, 12]                                                            | | GPS sucess | actual_k=0
       7|[-0.3213085951283574, 1.0562821701169014, 5.4713572163600475, 2.49392818659544, -1.2154379589483142, 1.5750519065186381, 0.6533282552845776, 2.6180284172296524, -0.6907360311597586, 2.0835040602833033, 0.6349215880036354, 3.78210330568254, 2.053914053365588, 0.92004669085145, 1.0316048043314368, -0.3121992433443666, 0.5448507238179445, -0.3013100642710924, -1.4802707564085722, -1.0961034055799246, -3.076907131820917, 2.7831445802003145]| 12.1429624557495117|     32.00000000|[225, 0, 0, 14]                                                            | | GPS sucess | actual_k=0
       8|[-0.3213085951283574, 1.0562821701169014, 5.4713572163600475, 2.49392818659544, -1.2154379589483142, 1.5750519065186381, 0.6533282552845776, 2.6180284172296524, -0.6907360311597586, 2.0835040602833033, 0.6349215880036354, 3.78210330568254, 2.053914053365588, 0.92004669085145, 1.0316048043314368, -0.3121992433443666, 0.5448507238179445, -0.3013100642710924, -1.4802707564085722, -1.0961034055799246, -3.076907131820917, 2.7831445802003145]| 12.1429624557495117|     16.00000000|[257, 0, 0, 16]                                                            |  | used linear model with 33 points | actual_k=0
       9|[-0.3652299949899316, 1.1604181379079819, 5.436536119552329, 2.384124681353569, 14.719821860082448, 1.421327012591064, 0.4776426558382809, 2.420382112264633, -0.9103430416435003, 1.8419363591820002, 0.3713931813836098, 3.496614223346114, 1.7464642655104399, 0.5906361974775791, 0.6802336054388434, -0.6855311477556825, 0.1495581138879061, -0.7185633797198534, -1.9194847773760557, -1.5572781320661306, -3.5600425340235233, 2.2780484426766634]| 12.1406059265136719|     32.00000000|[289, 0, 0, 18]                                                            | | GPS sucess | actual_k=0
      10|[-0.3652299949899316, 1.1604181379079819, 5.436536119552329, 2.384124681353569, 14.719821860082448, 1.421327012591064, 0.4776426558382809, 2.420382112264633, -0.9103430416435003, 1.8419363591820002, 0.3713931813836098, 3.496614223346114, 1.7464642655104399, 0.5906361974775791, 0.6802336054388434, -0.6855311477556825, 0.1495581138879061, -0.7185633797198534, -1.9194847773760557, -1.5572781320661306, -3.5600425340235233, 2.2780484426766634]| 12.1406059265136719|     16.00000000|[321, 0, 0, 20]                                                            |  | used linear model with 33 points | actual_k=0
      11|[-3.725805670954287, -7.600156202912331, 12.1647303563077, 4.562017127871513, 19.870396067388356, 8.089047807268798, -11.868589758407325, -7.803383260965347, 8.818513998761773, 2.2066498193889856, 4.797210671007633, 7.0618898924440145, -4.58479212410748, -1.671514566987753, 14.42772162728943, -2.9445009315386415, 2.973034428432584, -9.86318332143128, -8.610330266878009, -3.205851888284087, -7.117741260677576, 8.593551563099027]| 12.1267070770263672|     32.00000000|[353, 0, 0, 22]                                                            | | GPS sucess | actual_k=0
      12|[-5.0660306522622705, -4.3629616647958755, 12.013314158888534, 5.32151834666729, 19.29697780776769, 14.103894132189453, -13.35078215552494, 1.280273050069809, 6.527517924085259, 1.5828231368213892, 1.0421318784356117, 5.680425291880965, -3.363841639831662, -3.620196994394064, 16.303591378265992, -6.085801132954657, 1.9639246929436922, -5.4356797356158495, -14.439440412446856, -6.592616176232696, -4.301803980022669, 11.347966121509671]| 12.1239843368530273|     64.00000000|[385, 0, 0, 24]                                                            | | GPS sucess | actual_k=0
