k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.137301459908485, 2.700209856033325, 2.1946364045143127, 1.9614563211798668, 0.5878375887870788]|4053.8640136718750000|      2.00000000|[13, 4, 0, 1]                                                              | | GPS sucess | actual_k=4
       2|[20.68605048954487, 2.0531941056251526, 1.808171808719635, 2.0887156799435616, 0.6051711857318878]|3959.4177246093750000|      4.00000000|[25, 8, 0, 2]                                                              | | GPS sucess | actual_k=4
       3|[21.13554935157299, -0.6795420050621033, 3.5220057368278503, 3.8147108629345894, 2.131448727846146]|-100000002004087734272.0000000000000000|      8.00000000|[37, 12, 0, 3]                                                             | | GPS sucess | actual_k=4
       4|[21.13554935157299, -0.6795420050621033, 3.5220057368278503, 3.8147108629345894, 2.131448727846146]|-100000002004087734272.0000000000000000|      4.00000000|[60, 20, 0, 5]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       5|[21.13554935157299, -0.6795420050621033, 3.5220057368278503, 3.8147108629345894, 2.131448727846146]|-100000002004087734272.0000000000000000|      2.00000000|[82, 28, 0, 7]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[21.13554935157299, -0.6795420050621033, 3.5220057368278503, 3.8147108629345894, 2.131448727846146]|-100000002004087734272.0000000000000000|      1.00000000|[105, 36, 0, 9]                                                            |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       7|[21.13554935157299, -0.6795420050621033, 3.5220057368278503, 3.8147108629345894, 2.131448727846146]|-100000002004087734272.0000000000000000|      0.50000000|[129, 44, 1, 12]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=4
       8|[21.13554935157299, -0.6795420050621033, 3.5220057368278503, 3.8147108629345894, 2.131448727846146]|-100000002004087734272.0000000000000000|      0.25000000|[151, 52, 1, 14]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
       9|[21.13554935157299, -0.6795420050621033, 3.5220057368278503, 3.8147108629345894, 2.131448727846146]|-100000002004087734272.0000000000000000|      0.12500000|[173, 60, 1, 16]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      10|[21.13554935157299, -0.6795420050621033, 3.5220057368278503, 3.8147108629345894, 2.131448727846146]|-100000002004087734272.0000000000000000|      0.06250000|[195, 68, 1, 18]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      11|[21.13554935157299, -0.6795420050621033, 3.5220057368278503, 3.8147108629345894, 2.131448727846146]|-100000002004087734272.0000000000000000|      0.03125000|[218, 76, 1, 20]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      12|[21.13554935157299, -0.6795420050621033, 3.5220057368278503, 3.8147108629345894, 2.131448727846146]|-100000002004087734272.0000000000000000|      0.01562500|[239, 84, 1, 22]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      13|[21.13554935157299, -0.6795420050621033, 3.5220057368278503, 3.8147108629345894, 2.131448727846146]|-100000002004087734272.0000000000000000|      0.00781250|[260, 92, 1, 24]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      14|[21.13554935157299, -0.6795420050621033, 3.5220057368278503, 3.8147108629345894, 2.131448727846146]|-100000002004087734272.0000000000000000|      0.00390625|[281, 100, 1, 26]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      15|[21.13554935157299, -0.6795420050621033, 3.5220057368278503, 3.8147108629345894, 2.131448727846146]|-100000002004087734272.0000000000000000|      0.00195312|[302, 108, 1, 28]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      16|[21.13554935157299, -0.6795420050621033, 3.5220057368278503, 3.8147108629345894, 2.131448727846146]|-100000002004087734272.0000000000000000|      0.00097656|[324, 116, 1, 30]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      17|[21.13554935157299, -0.6795420050621033, 3.5220057368278503, 3.8147108629345894, 2.131448727846146]|-100000002004087734272.0000000000000000|      0.00048828|[346, 124, 1, 32]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      18|[21.13554935157299, -0.6795420050621033, 3.5220057368278503, 3.8147108629345894, 2.131448727846146]|-100000002004087734272.0000000000000000|      0.00024414|[369, 132, 1, 34]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      19|[21.13554935157299, -0.6795420050621033, 3.5220057368278503, 3.8147108629345894, 2.131448727846146]|-100000002004087734272.0000000000000000|      0.00012207|[390, 140, 1, 36]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      20|[21.13554935157299, -0.6795420050621033, 3.5220057368278503, 3.8147108629345894, 2.131448727846146]|-100000002004087734272.0000000000000000|      0.00006104|[413, 148, 1, 38]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      21|[21.13554935157299, -0.6795420050621033, 3.5220057368278503, 3.8147108629345894, 2.131448727846146]|-100000002004087734272.0000000000000000|      0.00003052|[434, 156, 1, 40]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      22|[21.13554935157299, -0.6795420050621033, 3.5220057368278503, 3.8147108629345894, 2.131448727846146]|-100000002004087734272.0000000000000000|      0.00001526|[455, 164, 1, 42]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      23|[21.13554935157299, -0.6795420050621033, 3.5220057368278503, 3.8147108629345894, 2.131448727846146]|-100000002004087734272.0000000000000000|      0.00000763|[476, 172, 1, 44]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
