k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.5, 0.5]                                                                      |  0.4598493014643029|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5, 0.5]                                                                      |  0.4598493014643029|      0.50000000|[5, 1, 1, 3]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[0.5506958961486816, 0.0025767087936401]                                        |  0.3488065898418427|      1.00000000|[9, 2, 1, 4]                                                               | | GPS sucess | actual_k=1
       3|[0.5506958961486816, 0.0025767087936401]                                        |  0.3488065898418427|      0.50000000|[13, 3, 2, 7]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.2548232078552246, 0.4056392014026642]                                        |  0.3221074342727661|      1.00000000|[17, 4, 2, 8]                                                              | | GPS sucess | actual_k=1
       5|[0.2548232078552246, 0.4056392014026642]                                        |  0.3221074342727661|      0.50000000|[21, 5, 3, 11]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[-0.0710951089859009, 0.0264595150947571]                                       |  0.0127666639164090|      1.00000000|[25, 6, 3, 12]                                                             | | GPS sucess | actual_k=1
       7|[-0.0710951089859009, 0.0264595150947571]                                       |  0.0127666639164090|      0.50000000|[29, 7, 4, 15]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[-0.0710951089859009, 0.0264595150947571]                                       |  0.0127666639164090|      0.25000000|[34, 8, 4, 17]                                                             |  | used linear model with 5 points | actual_k=1
       9|[-0.0710951089859009, 0.0264595150947571]                                       |  0.0127666639164090|      0.12500000|[38, 9, 5, 20]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
