k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6915145814418793, 0.5043851137161255, 1.064932182431221, 0.7730677425861359, 0.7454006373882294, 1.0332652106881142, 1.0789015665650368, 1.0642359554767609, 0.7841343730688095, 0.9350236058235168, 1.0675368681550026, 0.7264489829540253, 0.6619115173816681, 1.1282798051834106, 0.9743808396160603, 1.08290346711874, 0.6961093842983246, 1.0529971942305565, 1.1021450459957123, 0.7912150323390961, 0.9932141173630953, 0.699140727519989]|  1.3720177412033081|      2.00000000|[292, 0, 0, 5]                                                             | | GPS sucess | actual_k=0
       2|[0.6770614292472601, 0.7192416340112686, 0.7820223718881607, 0.7816643407568336, 0.3764437735080719, 0.2636459842324257, 0.3091378584504128, 0.3445437252521515, 0.3816937059164047, 0.3059227466583252, 1.0913389194756746, 0.5758068263530731, 0.7061635181307793, 1.7120682001113892, 0.8501391671597958, 1.2346258088946342, 0.3042300343513489, 1.1319262757897377, 1.135742872953415, 1.4390976130962372, 1.364699738100171, 1.1406477987766266]|  1.1142706871032715|      4.00000000|[583, 0, 0, 10]                                                            | | GPS sucess | actual_k=0
       3|[-0.7283488605171442, 0.0329911261796951, -0.5163789838552475, -0.0561840841546655, -1.244428962469101, -0.503053568303585, 0.2586802914738655, -0.3079735338687897, 0.7879787534475327, 0.3906907364726067, 1.3490279186517, -0.2179793417453766, 1.10614924877882, 1.8932527154684067, 0.9849260710179806, -0.1870168522000313, -0.2830785512924194, 1.759680725634098, -0.327214390039444, 1.8207387924194336, 2.069849567487836, 1.2678242027759552]|  0.7450615763664246|      8.00000000|[874, 0, 0, 15]                                                            | | GPS sucess | actual_k=0
       4|[-3.1576453540474176, -1.1518497914075851, -2.0481575578451157, -0.218393505550921, -1.9320707023143768, -0.1769086346030235, -0.3782588765025139, -0.238863579928875, -2.1440137773752213, 1.4843670651316643, 0.0776187647134066, -3.187369257211685, -0.6709547713398933, 3.4664509147405624, 0.8197426907718182, 1.3924409076571465, 1.0780137777328491, 1.983899049460888, -0.9478472173213959, 1.1466623544692993, 2.2466258127242327, -0.0146438777446747]|  0.5663148760795593|     16.00000000|[1165, 0, 0, 20]                                                           | | GPS sucess | actual_k=0
       5|[-3.1576453540474176, -1.1518497914075851, -2.0481575578451157, -0.218393505550921, -1.9320707023143768, -0.1769086346030235, -0.3782588765025139, -0.238863579928875, -2.1440137773752213, 1.4843670651316643, 0.0776187647134066, -3.187369257211685, -0.6709547713398933, 3.4664509147405624, 0.8197426907718182, 1.3924409076571465, 1.0780137777328491, 1.983899049460888, -0.9478472173213959, 1.1466623544692993, 2.2466258127242327, -0.0146438777446747]|  0.5663148760795593|      8.00000000|[1456, 0, 0, 25]                                                           |  | used quadratic model with 292 points | actual_k=0
       6|[-1.3727250192314386, -1.3870690912008286, 0.0094958692789078, 0.6913582673296332, -2.0165247842669487, -1.7300411686301231, -1.368488185107708, -1.2923264428973198, 0.9272526353597641, -0.3589486554265022, -0.5574483405798674, -2.708364576101303, 0.6214199587702751, -0.0472488552331924, 0.2808732502162457, 3.5759664699435234, -0.1594301462173462, 1.4790112897753716, -3.463301032781601, 1.4302584528923035, 3.8898763973265886, 2.02399018406868]|  0.5448923707008362|     16.00000000|[1747, 0, 0, 30]                                                           | | GPS sucess | actual_k=0
       7|[-1.3727250192314386, -1.3870690912008286, 0.0094958692789078, 0.6913582673296332, -2.0165247842669487, -1.7300411686301231, -1.368488185107708, -1.2923264428973198, 0.9272526353597641, -0.3589486554265022, -0.5574483405798674, -2.708364576101303, 0.6214199587702751, -0.0472488552331924, 0.2808732502162457, 3.5759664699435234, -0.1594301462173462, 1.4790112897753716, -3.463301032781601, 1.4302584528923035, 3.8898763973265886, 2.02399018406868]|  0.5448923707008362|      8.00000000|[2038, 0, 0, 35]                                                           |  | used quadratic model with 292 points | actual_k=0
       8|[-0.0737207029014826, 0.2453555017709732, 0.3054914325475693, -0.2771998653188348, -0.901566855609417, -1.2149691805243492, -2.7737418338656425, -1.2144624516367912, -1.1325749307870865, -1.2507976964116096, -0.5398783888667822, -5.529854625463486, 2.3220150992274284, -2.1840481907129288, 1.2638775818049908, 3.913591168820858, -1.8883734941482544, -1.882470853626728, -3.898307114839554, -1.4781559109687805, 6.084075482562184, 0.5890395939350128]|  0.4836751222610474|     16.00000000|[2329, 0, 0, 40]                                                           | | GPS sucess | actual_k=0
       9|[-0.0737207029014826, 0.2453555017709732, 0.3054914325475693, -0.2771998653188348, -0.901566855609417, -1.2149691805243492, -2.7737418338656425, -1.2144624516367912, -1.1325749307870865, -1.2507976964116096, -0.5398783888667822, -5.529854625463486, 2.3220150992274284, -2.1840481907129288, 1.2638775818049908, 3.913591168820858, -1.8883734941482544, -1.882470853626728, -3.898307114839554, -1.4781559109687805, 6.084075482562184, 0.5890395939350128]|  0.4836751222610474|      8.00000000|[2620, 0, 0, 45]                                                           |  | used quadratic model with 292 points | actual_k=0
      10|[-3.8629286382347345, -1.7892969697713852, -1.2269520908594131, -1.308308602310717, -2.619082324206829, -0.6613746508955956, -1.5687693282961845, -1.8904983326792717, -0.299366369843483, 1.0451670214533806, 0.330224672332406, -5.351730108261108, 2.1068883165717125, -1.7182066887617111, 0.2159380428493023, -0.0574939027428627, -3.2051061391830444, -2.889498956501484, -4.919061452150345, -1.6666913479566574, 5.5908190328627825, 1.5599000751972198]|  0.4814032316207886|     16.00000000|[2911, 0, 0, 50]                                                           | | GPS sucess | actual_k=0
