k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1363480687141418, 0.1117783337831497, 0.1913161873817444, 0.4717665016651154, -0.1721496880054474, 0.0377937778830528, -0.0111665083095431, -0.2103527337312698, 0.3367251455783844, -0.2200507521629333, -0.0262378565967083, 0.1852113902568817, 0.3466993570327759, 0.1785417944192886, 0.0288093592971563, -0.263455867767334, 0.082264170050621, -0.3113385736942291, 0.0768379420042038, -0.0060641472227871, -0.1377974152565002, 0.0641388073563576]| 13.9902400970458984|      2.00000000|[222, 70, 0, 5]                                                            | | GPS sucess | actual_k=16
       2|[0.498406320810318, 0.6785148531198502, 1.138366460800171, 1.266954630613327, 0.1027940511703491, -0.0795212611556053, 0.1720964955165982, -0.2070706093218178, 0.5116556286811829, -0.5673260986804962, -0.5822596661746502, 0.5183586478233337, 0.6017599105834961, 0.2245503589510918, 0.1863627936691046, -0.0908102691173553, -0.6111915856599808, -0.3170104138553143, -0.3643590062856674, 0.5902637536637485, 0.1412816643714905, 0.1432946994900703]| 12.5976848602294922|      4.00000000|[439, 144, 0, 10]                                                          | | GPS sucess | actual_k=16
       3|[0.1395764648914337, -0.0230209082365036, 1.6859939098358154, 2.745436042547226, -0.0067039802670479, -0.0463274046778679, 0.5970667647197843, 0.5811713731382042, 0.0993832051753998, -1.0453753471374512, -1.1133011691272259, 0.5592493526637554, 1.43581622838974, -0.2301056161522865, -0.8143062088638544, 0.7207336127758026, -1.8892901688814163, 0.6941720135509968, 1.1837557703256607, 1.5109829003922641, 1.7283408045768738, 0.7134731486439705]| 12.1411056518554688|      8.00000000|[656, 218, 0, 15]                                                          | | GPS sucess | actual_k=16
       4|[-1.5463286340236664, -1.6514404267072678, 3.7155823707580566, 3.7891988456249237, -0.7069844081997871, -2.973306231200695, 2.899784450419247, -1.1999989950563759, 0.7342253625392914, 1.29998779296875, -1.3894319646060467, 0.0987945012748241, 2.8914265036582947, -0.9231019988656044, -0.9693693164736032, 1.5490155518054962, -2.3638950139284134, 0.2151020653545856, 2.1753361374139786, 0.7994123990647495, 0.0917757153511047, 0.6373510435223579]| 12.1362495422363281|     16.00000000|[874, 291, 0, 20]                                                          | | GPS sucess | actual_k=16
       5|[-4.834622234106064, -2.052210822701454, 7.395860195159912, 5.7458469569683075, 0.4022869989275932, -2.913078848272562, -0.6014226628467441, -2.682171126594767, -4.466425329446793, -4.0488362312316895, -0.9286556653678417, -7.612456280738115, 7.999081075191498, -0.3810011520981789, -3.7152849677950144, 4.049602061510086, -0.2973202019929886, 3.7026229985058308, 3.9279844909906387, 1.0281406785361469, 1.4723759293556213, -1.2962511703372002]| 12.1277599334716797|     32.00000000|[1093, 363, 0, 25]                                                         | | GPS sucess | actual_k=16
       6|[-14.133646816015244, 4.048629745841026, 6.007537841796875, 13.021477431058884, 5.635095588862896, -17.66837364807725, 0.0494049238041043, 1.2509739196393639, -13.36738720536232, -5.433720946311951, 2.2737376280128956, -4.215875107795, 1.1813220381736755, 2.975370727479458, -6.3280593398958445, 15.220372706651688, -9.763998821377754, -0.0605110041797161, 6.540144219994545, 4.848528280388564, -5.0867666602134705, -3.798194997012615]| 12.1119327545166016|     64.00000000|[1312, 435, 0, 30]                                                         | | GPS sucess | actual_k=16
       7|[-17.58386382460594, 3.1067232936620712, 12.478171825408936, 14.473225086927414, -5.125828750431538, 5.854098733514547, 26.956555192358792, -0.0901328527834266, -10.535299211740494, -5.5311600267887115, 0.9141497202217579, -10.474893528968096, -22.563770353794098, -15.695312179625034, -4.33799328841269, -8.477558583021164, -4.96680910885334, -5.054282080382109, 1.1899917274713516, 33.699732198845595, 2.5958386063575745, -4.456771902740002]| 12.1015558242797852|    128.00000000|[1529, 509, 0, 35]                                                         | | GPS sucess | actual_k=16
       8|[-17.58386382460594, 3.1067232936620712, 12.478171825408936, 14.473225086927414, -5.125828750431538, 5.854098733514547, 26.956555192358792, -0.0901328527834266, -10.535299211740494, -5.5311600267887115, 0.9141497202217579, -10.474893528968096, -22.563770353794098, -15.695312179625034, -4.33799328841269, -8.477558583021164, -4.96680910885334, -5.054282080382109, 1.1899917274713516, 33.699732198845595, 2.5958386063575745, -4.456771902740002]| 12.1015558242797852|     64.00000000|[1748, 581, 0, 40]                                                         |  | used quadratic model with 292 points | actual_k=16
       9|[-17.58386382460594, 3.1067232936620712, 12.478171825408936, 14.473225086927414, -5.125828750431538, 5.854098733514547, 26.956555192358792, -0.0901328527834266, -10.535299211740494, -5.5311600267887115, 0.9141497202217579, -10.474893528968096, -22.563770353794098, -15.695312179625034, -4.33799328841269, -8.477558583021164, -4.96680910885334, -5.054282080382109, 1.1899917274713516, 33.699732198845595, 2.5958386063575745, -4.456771902740002]| 12.1015558242797852|     32.00000000|[1966, 654, 0, 45]                                                         |  | used quadratic model with 292 points | actual_k=16
      10|[-24.63386830687523, -0.3588209301233292, 19.309686183929443, 19.31870648264885, -0.4198732450604439, 11.367276605218649, 17.122755830176175, -11.423280855407938, -14.349154144525528, -0.807011753320694, 2.7563579864799976, -17.4062466211617, -14.928361475467682, -20.30697027593851, -1.650265360251069, -7.627485126256943, -12.126518562436104, -12.710140120238066, -12.783158525824547, 34.78889562143013, -3.2354130148887634, 0.4139046147465706]| 12.0885982513427734|     64.00000000|[2187, 724, 0, 50]                                                         | | GPS sucess | actual_k=16
      11|[-33.4078274667263, -25.386773124337196, 27.33175039291382, 26.636888951063156, 26.937111847102642, 0.4434704147279263, 19.745149438269436, -30.490505357971415, -14.531008139252663, -8.470111519098282, -12.444744270294905, -19.6447982378304, -13.080478966236115, -21.758242405951023, 0.6368528362363577, -8.67052349448204, -26.75640995800495, -8.187115084379911, -26.455700144171715, 62.76187802804634, -3.7603379487991333, -8.433827929198742]| 12.0729312896728516|    128.00000000|[2404, 798, 0, 55]                                                         | | GPS sucess | actual_k=16
