k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  7.9524924420125593|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.4429958437762871, 0.1694902950901118]                                        |  0.4477658988136477|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[0.4429958437762871, 0.1694902950901118]                                        |  0.4477658988136477|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[0.4429958437762871, 0.1694902950901118]                                        |  0.4477658988136477|      0.50000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.2878741000972405, -0.305838269553748]                                        |  0.0766196325421333|      1.00000000|[16, 4, 3, 7]                                                              | | GPS sucess | actual_k=1
       5|[0.2878741000972405, -0.305838269553748]                                        |  0.0766196325421333|      0.50000000|[19, 5, 4, 9]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[0.2878741000972405, -0.305838269553748]                                        |  0.0766196325421333|      0.25000000|[23, 6, 5, 11]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.0524935846410408, -0.2216004630547437]                                       |  0.0681120827794075|      0.50000000|[27, 7, 5, 12]                                                             | | GPS sucess | actual_k=1
       8|[0.0524935846410408, -0.2216004630547437]                                       |  0.0681120827794075|      0.25000000|[30, 8, 6, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[0.0962993999205246, 0.0245317170399753]                                        |  0.0153029402717948|      0.50000000|[34, 9, 6, 15]                                                             | | GPS sucess | actual_k=1
      10|[0.0962993999205246, 0.0245317170399753]                                        |  0.0153029402717948|      0.25000000|[37, 10, 7, 17]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.0962993999205246, 0.0245317170399753]                                        |  0.0153029402717948|      0.12500000|[41, 11, 8, 19]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[0.0150883396349564, -0.0704933455210599]                                       |  0.0077027548104525|      0.25000000|[45, 12, 8, 20]                                                            | | GPS sucess | actual_k=1
