k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.1, 0.1]                                                                      |48401.1000000000858563|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.8356114864349364, -0.4033963322639466]                                      |19327.0722656250000000|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[-0.8356114864349364, -0.4033963322639466]                                      |19327.0722656250000000|      1.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[-0.8356114864349364, -0.4033963322639466]                                      |19327.0722656250000000|      0.50000000|[14, 0, 2, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[-0.8356114864349364, -0.4033963322639466]                                      |19327.0722656250000000|      0.25000000|[19, 0, 3, 7]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[-0.9907595455646514, -0.207362973690033]                                       |604.3601684570312500|      0.50000000|[24, 0, 3, 8]                                                              | | GPS sucess | actual_k=0
       6|[-0.9907595455646514, -0.207362973690033]                                       |604.3601684570312500|      0.25000000|[28, 0, 4, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[-0.9907595455646514, -0.207362973690033]                                       |604.3601684570312500|      0.12500000|[33, 0, 5, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[-0.9416551753878593, -0.3223141074180603]                                      | 87.4023056030273438|      0.25000000|[38, 0, 5, 13]                                                             | | GPS sucess | actual_k=0
       9|[-0.9416551753878593, -0.3223141074180603]                                      | 87.4023056030273438|      0.12500000|[42, 0, 6, 15]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[-0.9416551753878593, -0.3223141074180603]                                      | 87.4023056030273438|      0.06250000|[47, 0, 7, 17]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[-0.9416551753878593, -0.3223141074180603]                                      | 87.4023056030273438|      0.03125000|[52, 0, 8, 19]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[-0.9416551753878593, -0.3223141074180603]                                      | 87.4023056030273438|      0.01562500|[57, 0, 9, 21]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
