k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.229074120521545, 150.483962059021, -99.89619857817888, 0.6536049246788025, 2.2017170786857605]|85415.9140625000000000|      2.00000000|[13, 4, 0, 1]                                                              | | GPS sucess | actual_k=4
       2|[47.586955547332764, 151.2242021560669, -100.36949486285448, 0.3319215178489685, 2.855935275554657]|80662.5000000000000000|      4.00000000|[25, 8, 0, 2]                                                              | | GPS sucess | actual_k=4
       3|[45.108906507492065, 152.11992013454437, -97.95907277613878, 1.903848946094513, 3.7367714047431946]|73013.3125000000000000|      8.00000000|[37, 12, 0, 3]                                                             | | GPS sucess | actual_k=4
       4|[39.79974341392517, 146.46266639232635, -98.65874809771776, 0.511396586894989, 2.562121331691742]|56709.2812500000000000|     16.00000000|[49, 16, 0, 4]                                                             | | GPS sucess | actual_k=4
       5|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|     32.00000000|[61, 20, 0, 5]                                                             | | GPS sucess | actual_k=4
       6|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|     16.00000000|[84, 28, 0, 7]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       7|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|      8.00000000|[107, 36, 0, 9]                                                            |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       8|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|      4.00000000|[130, 44, 0, 11]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|      2.00000000|[153, 52, 0, 13]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      10|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|      1.00000000|[174, 60, 0, 15]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      11|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|      0.50000000|[195, 68, 0, 17]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      12|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|      0.25000000|[216, 76, 0, 19]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      13|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|      0.12500000|[237, 84, 0, 21]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      14|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|      0.06250000|[258, 92, 0, 23]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      15|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|      0.03125000|[280, 100, 0, 25]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      16|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|      0.01562500|[301, 108, 0, 27]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      17|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|      0.00781250|[322, 116, 0, 29]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      18|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|      0.00390625|[344, 124, 0, 31]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      19|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|      0.00195312|[365, 132, 0, 33]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      20|[46.689170598983765, 140.36475694179535, -104.373887963593, -3.793472111225128, -8.399474203586578]|-100000002004087734272.0000000000000000|      0.00097656|[386, 140, 0, 35]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
