k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]                              | 51.0855557048649089|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.0241949158992425, 0.4072694895688849, 0.1447893155707024, -0.2369065730786322, 0.0044121755038798, 0.9335842788366386, 0.9853224663623816, 0.9872793702517775, 0.930532534615737, 0.8061594178505891]| 32.7590789794921875|      2.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[-0.2079793064103436, 0.306129742962313, -0.0885304919961457, -0.8936371980656161, 0.3485300646868138, 0.2434672624460361, 1.586537942223442, 1.993376554365009, 1.0152428923594505, 2.0287446901690185]| 26.4699878692626953|      4.00000000|[13, 5, 0, 5]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | iterate success | actual_k=1
       3|[-0.2079793064103436, 0.306129742962313, -0.0885304919961457, -0.8936371980656161, 0.3485300646868138, 0.2434672624460361, 1.586537942223442, 1.993376554365009, 1.0152428923594505, 2.0287446901690185]| 26.4699878692626953|      2.00000000|[25, 11, 0, 11]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[-0.2079793064103436, 0.306129742962313, -0.0885304919961457, -0.8936371980656161, 0.3485300646868138, 0.2434672624460361, 1.586537942223442, 1.993376554365009, 1.0152428923594505, 2.0287446901690185]| 26.4699878692626953|      1.00000000|[37, 17, 0, 17]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-0.2079793064103436, 0.306129742962313, -0.0885304919961457, -0.8936371980656161, 0.3485300646868138, 0.2434672624460361, 1.586537942223442, 1.993376554365009, 1.0152428923594505, 2.0287446901690185]| 26.4699878692626953|      0.50000000|[49, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[-0.2740744723186803, 0.7912246478619102, -0.1503417677763467, -0.8397420002568736, 0.3065632240620045, 0.2141278949222467, 1.5713026942016606, 1.992358221116215, 1.0276379026892335, 2.0528331064175784]| 24.4209518432617188|      1.00000000|[56, 27, 0, 27]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
       7|[-0.2740744723186803, 0.7912246478619102, -0.1503417677763467, -0.8397420002568736, 0.3065632240620045, 0.2141278949222467, 1.5713026942016606, 1.992358221116215, 1.0276379026892335, 2.0528331064175784]| 24.4209518432617188|      0.50000000|[69, 33, 0, 33]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-0.2645049382180881, 0.8001494292067411, -0.2593787498358254, -0.8438572576690688, 0.2877366890904097, 0.1735852476797006, 1.500881110251141, 1.9800971880580485, 1.454421196174875, 1.8322177641581714]| 16.3627929687500000|      1.00000000|[76, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
       9|[-0.2645049382180881, 0.8001494292067411, -0.2593787498358254, -0.8438572576690688, 0.2877366890904097, 0.1735852476797006, 1.500881110251141, 1.9800971880580485, 1.454421196174875, 1.8322177641581714]| 16.3627929687500000|      0.50000000|[89, 42, 0, 42]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.2568834910303004, 0.8350820575136751, -0.238688385325459, -0.8340283861460134, 0.2397817579528298, 0.1897597723704511, 1.041642340438448, 2.069919456504202, 1.6175095730768054, 1.8405562391727357]| 13.4839916229248047|      1.00000000|[94, 44, 0, 44]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
