k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3884521722793579, -0.0916980132460594, 0.2115094810724258, 0.3925108313560486, -0.0338832922279835, 0.1860804110765457, 0.0557534508407116, 0.1438819915056229, -0.1641737073659897, -0.216731533408165, -0.4169529676437378, -0.0169373005628586, 0.0469180569052696, 0.0654593855142593, -0.1593602001667023, -0.0240150317549706, 0.1982870697975159, 0.2306367158889771, 0.1162393465638161, -0.1635778397321701, 0.3865021467208862, 0.007694230414927]| 13.8368406295776367|      2.00000000|[243, 35, 0, 18]                                                           | | GPS sucess | actual_k=2
       2|[0.9812633991241455, -0.0246634632349014, 0.2443928383290768, 1.4196613430976868, -0.2263968624174595, 0.4991570860147476, 0.1899630539119244, 0.8674416691064835, -0.1586364433169365, -0.8158641904592514, -0.2827479541301727, 0.4909361749887466, -0.0812883153557777, -0.2625489979982376, 0.3036617338657379, -0.6321929916739464, 0.1234422847628593, 0.017123743891716, 0.5277775004506111, -0.4695594161748886, 0.1088607609272003, 0.1372743705287576]| 12.3921957015991211|      4.00000000|[485, 70, 0, 36]                                                           | | GPS sucess | actual_k=2
       3|[0.871860682964325, -0.3850046247243881, 0.5890334509313107, 2.3887137174606323, -0.5204787589609623, -0.1097085326910019, -0.6545581109821796, 1.5367189198732376, 0.7451953962445259, 0.229604497551918, -0.942562609910965, 2.102141037583351, -0.3694548681378365, -0.3005397394299507, 0.0663546770811081, -1.6151697859168053, 0.7773835584521294, -0.1866702139377594, 0.7990503385663033, 1.4985727220773697, 0.7133797109127045, -1.0327327391132712]| 12.1427583694458008|      8.00000000|[728, 104, 0, 54]                                                          | | GPS sucess | actual_k=2
       4|[-1.8096845746040344, -2.537564381957054, 2.157520856708288, 4.412307620048523, -1.1632096506655216, 2.0768067985773087, 3.731587003916502, 2.836072400212288, 2.5090189054608345, -1.8345126956701279, -2.661253958940506, 1.883434236049652, 0.0286285802721977, -0.5579103007912636, -0.3812061101198196, -2.4092864021658897, 1.305920772254467, 0.0158088207244873, 2.3977053239941597, 2.4360417872667313, 1.4086932241916656, -0.4647140046581626]| 12.1348810195922852|     16.00000000|[971, 138, 0, 72]                                                          | | GPS sucess | actual_k=2
       5|[-3.991720974445343, -4.662163123488426, 0.864514198154211, 6.502820611000061, 1.2831859849393368, 7.400078549981117, 2.905944239348173, 3.1472522765398026, 5.474628932774067, -6.355718120932579, -6.555252581834793, 6.454645574092865, -1.0722351148724556, 3.3731953129172325, -3.928176239132881, -7.990616224706173, 6.674976997077465, -2.959144353866577, 0.9559235647320747, 4.084890797734261, 2.684898406267166, -0.514081890694797]| 12.1287059783935547|     32.00000000|[1214, 172, 0, 90]                                                         | | GPS sucess | actual_k=2
       6|[-13.77234536409378, 3.786354675889015, 2.4258867166936398, 13.161768555641174, -0.5254273153841496, 6.647832825779915, 0.6206575743854046, 1.9231820851564407, 5.354089014232159, -9.251420006155968, -1.513597995042801, 2.3193153738975525, -5.001987226307392, 1.552226446568966, -11.184815242886543, -8.405699454247952, 14.375014953315258, -1.291477918624878, -7.654183857142925, -3.531006380915642, -3.109521836042404, -18.46232598554343]| 12.1140727996826172|     64.00000000|[1455, 208, 0, 108]                                                        | | GPS sucess | actual_k=2
       7|[-21.12202388048172, 25.301767960190773, 3.9413705728948116, 17.44757854938507, -27.306105110794306, 12.956989720463753, 16.731852184981108, 12.111163690686226, 1.2914640828967094, 9.47000028192997, 2.039957731962204, -21.111074030399323, -0.3574812486767769, 11.712611578404903, -8.337459161877632, -28.363056860864162, 2.3432938382029533, -9.474793195724487, -5.557871334254742, -11.67344431579113, 2.977949172258377, -37.87337296735495]| 12.1116218566894531|    128.00000000|[1698, 242, 0, 126]                                                        | | GPS sucess | actual_k=2
       8|[-68.8714936375618, 36.680516853928566, 27.33736666664481, 50.3127099275589, -56.8782772757113, -1.2871251553297043, -3.8765672333538532, 58.08536870777607, -4.379931695759296, 25.713406577706337, -13.839841157197952, -24.153824150562286, -13.039170511066914, 9.847337625920773, 2.27304308116436, -28.556096471846104, -19.989706344902515, 1.309363603591919, 16.491382129490376, -5.775992438197136, -61.629793137311935, -61.69380563031882]| 12.0445232391357422|    256.00000000|[1940, 277, 0, 144]                                                        | | GPS sucess | actual_k=2
       9|[-68.8714936375618, 36.680516853928566, 27.33736666664481, 50.3127099275589, -56.8782772757113, -1.2871251553297043, -3.8765672333538532, 58.08536870777607, -4.379931695759296, 25.713406577706337, -13.839841157197952, -24.153824150562286, -13.039170511066914, 9.847337625920773, 2.27304308116436, -28.556096471846104, -19.989706344902515, 1.309363603591919, 16.491382129490376, -5.775992438197136, -61.629793137311935, -61.69380563031882]| 12.0445232391357422|    128.00000000|[2183, 311, 0, 162]                                                        |  | used quadratic model with 278 points | actual_k=2
      10|[-84.97021228075027, 32.3301826864481, 29.037464823573828, 62.44939339160919, -85.42173239961267, 3.9345211535692215, -16.11871563270688, 56.673005536198616, -5.61949897557497, 41.850768104195595, -16.667431384325027, 5.33760803937912, 43.37203478068113, -6.774963475763798, 15.456286832690239, 37.50612886995077, -25.669990845024586, 24.359931230545044, 3.3162789419293404, -43.213004156947136, -68.02064320445061, -119.20309441816062]| 11.9601926803588867|    256.00000000|[2426, 345, 0, 180]                                                        | | GPS sucess | actual_k=2
      11|[-152.82149249315262, -74.91398845613003, 58.29670974239707, 118.59281837940216, 4.540799643844366, 14.798535779118538, 18.21823276206851, 23.016126111149788, -83.8128888681531, 77.53972913324833, -12.792207032442093, -80.37609130144119, 109.08252977579832, 29.611812494695187, -17.584969118237495, 63.63591631501913, -50.66096717864275, 74.87650227546692, -29.688939563930035, -111.36116699874401, -39.756996124982834, -143.67182915937155]| 11.9115123748779297|    512.00000000|[2669, 379, 0, 198]                                                        | | GPS sucess | actual_k=2
