k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |999998000003.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.8253517746925354, 1.182656705379486]                                         |999996325888.0000000000000000|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[2.1727725863456726, 1.0802007988095284]                                        |999995670528.0000000000000000|      4.00000000|[7, 2, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[4.3755428194999695, 3.2095178440213203]                                        |999991279616.0000000000000000|      8.00000000|[10, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
       4|[7.030615746974945, 2.465511627495289]                                          |999985971200.0000000000000000|     16.00000000|[13, 4, 0, 4]                                                              | | GPS sucess | actual_k=1
       5|[12.642989099025726, 13.879729576408863]                                        |999974764544.0000000000000000|     32.00000000|[16, 5, 0, 5]                                                              | | GPS sucess | actual_k=1
       6|[39.746415078639984, 12.071660108864307]                                        |999920762880.0000000000000000|     64.00000000|[19, 6, 0, 6]                                                              | | GPS sucess | actual_k=1
       7|[85.59673017263412, -3.337255410850048]                                         |999828881408.0000000000000000|    128.00000000|[22, 7, 0, 7]                                                              | | GPS sucess | actual_k=1
       8|[166.04724591970444, -14.561258248984814]                                       |999673757696.0000000000000000|    256.00000000|[25, 8, 0, 8]                                                              | | GPS sucess | actual_k=1
       9|[166.04724591970444, -14.561258248984814]                                       |999673757696.0000000000000000|    128.00000000|[28, 9, 1, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[166.04724591970444, -14.561258248984814]                                       |999673757696.0000000000000000|     64.00000000|[32, 10, 2, 12]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[212.20538275785293, 29.771871616058085]                                        |999615523867.8675537109375000|    128.00000000|[36, 11, 3, 14]                                                            |  | used linear model with 5 points | iterate success | actual_k=1
      12|[256.6694444949135, 9.621360828094218]                                          |999492812800.0000000000000000|    256.00000000|[40, 12, 3, 15]                                                            | | GPS sucess | actual_k=1
      13|[510.0019029910072, -15.68581385452297]                                         |999044284416.0000000000000000|    512.00000000|[43, 13, 3, 16]                                                            | | GPS sucess | actual_k=1
      14|[510.0019029910072, -15.68581385452297]                                         |999044284416.0000000000000000|    256.00000000|[46, 14, 4, 18]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[510.0019029910072, -15.68581385452297]                                         |999044284416.0000000000000000|    128.00000000|[50, 15, 5, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
