k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0]                                                                    | 17.1523467319888496|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.571463525295258, 9.179372549057007]                                         | 16.6493778228759766|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[10.554048955440521, 7.179448485374451]                                         | 14.1793518066406250|      4.00000000|[7, 2, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[10.554048955440521, 7.179448485374451]                                         | 14.1793518066406250|      2.00000000|[10, 3, 1, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[10.554048955440521, 7.179448485374451]                                         | 14.1793518066406250|      1.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[11.312637746334076, 6.527878820896149]                                         | 13.9817123413085938|      2.00000000|[18, 5, 2, 7]                                                              | | GPS sucess | actual_k=1
       6|[11.312637746334076, 6.527878820896149]                                         | 13.9817123413085938|      1.00000000|[21, 6, 3, 9]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[11.312637746334076, 6.527878820896149]                                         | 13.9817123413085938|      0.50000000|[25, 7, 4, 11]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[11.42064556479454, 6.0396838784217834]                                         | 13.8935594558715820|      1.00000000|[29, 8, 4, 12]                                                             | | GPS sucess | actual_k=1
       9|[11.42064556479454, 6.0396838784217834]                                         | 13.8935594558715820|      0.50000000|[32, 9, 5, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[11.541908748447895, 5.554611474275589]                                         | 13.8598318099975586|      1.00000000|[36, 10, 5, 15]                                                            | | GPS sucess | actual_k=1
      11|[11.541908748447895, 5.554611474275589]                                         | 13.8598318099975586|      0.50000000|[39, 11, 6, 17]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[11.541908748447895, 5.554611474275589]                                         | 13.8598318099975586|      0.25000000|[43, 12, 7, 19]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[11.541908748447895, 5.554611474275589]                                         | 13.8598318099975586|      0.12500000|[47, 13, 8, 21]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
