k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-5.0, -7.0]                                                                    |700.8468104237188072|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-5.1001633405685425, -6.005028963088989]                                       |604.5076904296875000|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[-1.9979766607284546, -3.479867935180664]                                       |363.5769653320312500|      4.00000000|[7, 2, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[0.2002934373707386, -0.1380707277183442]                                       | 67.0820488462846498|      8.00000000|[11, 3, 1, 5]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       4|[0.2002934373707386, -0.1380707277183442]                                       | 67.0820488462846498|      4.00000000|[15, 5, 2, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.2002934373707386, -0.1380707277183442]                                       | 67.0820488462846498|      2.00000000|[20, 6, 3, 11]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[0.2002934373707386, -0.1380707277183442]                                       | 67.0820488462846498|      1.00000000|[24, 8, 4, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.2002934373707386, -0.1380707277183442]                                       | 67.0820488462846498|      0.50000000|[29, 9, 5, 17]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[-0.0206471972375302, 0.3104660259361358]                                       | 44.9992027282714844|      1.00000000|[33, 10, 5, 18]                                                            | | GPS sucess | actual_k=1
       9|[-0.0206471972375302, 0.3104660259361358]                                       | 44.9992027282714844|      0.50000000|[37, 11, 6, 21]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
