k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 5.0]                                                                      |2959.9411880000002384|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0380256175994873, 4.726860284805298]                                         |2033.4842529296875000|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[0.4989514946937561, 2.78069806098938]                                          |218.5872039794921875|      4.00000000|[7, 2, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[0.4989514946937561, 2.78069806098938]                                          |218.5872039794921875|      2.00000000|[11, 3, 1, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[-1.1749646067619324, 1.686164140701294]                                        | 52.8037528991699219|      4.00000000|[15, 4, 1, 6]                                                              | | GPS sucess | actual_k=1
       5|[2.4980252385139465, 0.1021363735198975]                                        | 23.4120388031005859|      8.00000000|[18, 5, 1, 7]                                                              | | GPS sucess | actual_k=1
       6|[2.4980252385139465, 0.1021363735198975]                                        | 23.4120388031005859|      4.00000000|[22, 6, 2, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[2.4980252385139465, 0.1021363735198975]                                        | 23.4120388031005859|      2.00000000|[27, 7, 3, 13]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[2.4980252385139465, 0.1021363735198975]                                        | 23.4120388031005859|      1.00000000|[32, 8, 4, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[2.139587789773941, -0.831417441368103]                                         | 23.0345191955566406|      2.00000000|[36, 9, 4, 17]                                                             | | GPS sucess | actual_k=1
      10|[2.139587789773941, -0.831417441368103]                                         | 23.0345191955566406|      1.00000000|[40, 10, 5, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
