k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5297537446022034, -0.5147993564605713, 0.8166011571884155, 0.7168465852737427, -0.6622290015220642, 0.0649338066577911, -0.0863582566380501, -0.0438747219741344, 0.1581420749425888, -0.3510330617427826, -0.0635972321033478, 0.0335466153919697, -0.479004830121994, 0.476275771856308, -0.0183974374085665, 0.1481466591358185, -0.5220696926116943, -0.7313030362129211, 0.3492020666599274, -0.3538467884063721, -0.3181888461112976, -0.1837440878152847]| 13.1992721557617188|      2.00000000|[61, 4, 0, 1]                                                              | | GPS sucess | actual_k=4
       2|[1.0349950790405273, -0.0422743856906891, 0.8258442189544439, 2.446948528289795, -2.0618626475334167, 0.9856136739253998, 0.8653296753764153, 0.9054874964058399, 1.1484067291021347, -1.9229163825511932, -0.1461174786090851, 1.0908928401768208, -0.9853762090206146, 0.1808245778083801, 0.1299018543213606, -0.1143079698085785, -0.5883216187357903, -1.230087161064148, 1.1862163841724396, -1.4073677062988281, 0.3085184097290039, -0.8525059372186661]| 12.1592245101928711|      4.00000000|[121, 8, 0, 2]                                                             | | GPS sucess | actual_k=4
       3|[0.904493898153305, -0.2390830218791962, 0.6298575457185507, 2.3227664083242416, -2.066398185212165, 1.1047422289848328, 1.433426670730114, 1.08048290386796, 1.1840137466788292, -2.140832155942917, -0.2535355463624001, 0.217997957020998, -2.1012494266033173, 3.5826130509376526, -0.9285099823027849, -0.8409974277019501, -0.877719484269619, -1.1376034915447235, 1.4222204685211182, -1.3619893826544285, 0.0176895260810852, -0.8351551834493876]| 12.1432809829711914|      8.00000000|[181, 12, 0, 3]                                                            | | GPS sucess | actual_k=4
       4|[-1.1594208776950836, -0.1933644972741604, 6.412059312686324, 2.89100144803524, -5.719596427399665, -0.4395096898078918, -2.322798915207386, 3.9068760313093662, 1.9372564181685448, -6.185183256864548, 0.561448834836483, -2.4859803430736065, 3.978336125612259, 2.6433406472206116, -5.440531047061086, -1.9450492560863495, -1.021886371076107, -9.498303145170212, 1.0591826140880585, -1.8393289186060429, -4.875424563884735, -2.1032714191824198]| 12.1388912200927734|     16.00000000|[241, 16, 0, 4]                                                            | | GPS sucess | actual_k=4
       5|[-1.1594208776950836, -0.1933644972741604, 6.412059312686324, 2.89100144803524, -5.719596427399665, -0.4395096898078918, -2.322798915207386, 3.9068760313093662, 1.9372564181685448, -6.185183256864548, 0.561448834836483, -2.4859803430736065, 3.978336125612259, 2.6433406472206116, -5.440531047061086, -1.9450492560863495, -1.021886371076107, -9.498303145170212, 1.0591826140880585, -1.8393289186060429, -4.875424563884735, -2.1032714191824198]| 12.1388912200927734|      8.00000000|[304, 21, 0, 6]                                                            |  | used linear model with 65 points | actual_k=4
       6|[-1.0258130431175232, -0.0487000159919262, 6.503790823742747, 2.884070463478565, -5.8310016808100045, 0.6283600926399231, -2.4762326553463936, 3.869839984923601, 2.0907094553112984, -5.828872472047806, 1.040627621114254, -2.065792750567198, 4.078183993697166, 2.1423805356025696, -6.7458154279738665, -4.064478129148483, 5.768579937517643, -12.04562970995903, -0.5498074591159821, -1.8457837621681392, -5.543468177318573, -2.4599999133497477]| 12.1380033493041992|     16.00000000|[364, 25, 0, 7]                                                            | | GPS sucess | actual_k=4
       7|[-1.0258130431175232, -0.0487000159919262, 6.503790823742747, 2.884070463478565, -5.8310016808100045, 0.6283600926399231, -2.4762326553463936, 3.869839984923601, 2.0907094553112984, -5.828872472047806, 1.040627621114254, -2.065792750567198, 4.078183993697166, 2.1423805356025696, -6.7458154279738665, -4.064478129148483, 5.768579937517643, -12.04562970995903, -0.5498074591159821, -1.8457837621681392, -5.543468177318573, -2.4599999133497477]| 12.1380033493041992|      8.00000000|[427, 30, 0, 9]                                                            |  | used linear model with 65 points | actual_k=4
       8|[-2.7956742644309998, 0.9425813145935535, 6.318364439532161, 4.116382785141468, -5.881058343220502, 0.1272479295730591, -2.51503062620759, 4.695308346301317, 1.0453831031918526, -4.986447781324387, 0.7755178436636925, -2.8307033888995647, 4.715740904211998, 3.254043161869049, -6.5711869318038225, -4.83550551533699, 6.266955561935902, -11.870944693684578, -2.0934799015522003, -1.5540068070404232, -5.795081168413162, -1.0961143914610147]| 12.1356267929077148|     16.00000000|[487, 34, 0, 10]                                                           | | GPS sucess | actual_k=4
       9|[-4.7170780301094055, 1.258493471890688, 9.050296841189265, 5.295775361359119, -5.745219968724996, 1.6015986204147339, -2.2665522284805775, 2.660170454531908, 2.4566853120923042, -8.224800318479538, 1.6559008583426476, -3.358139168471098, 3.4305046647787094, 3.583637624979019, -4.809950979426503, -1.8771345913410187, 6.32672182098031, -12.673182621598244, 0.7101642787456512, -2.106372944545001, -5.693853512406349, 1.9020555075258017]| 12.1315975189208984|     32.00000000|[547, 38, 0, 11]                                                           | | GPS sucess | actual_k=4
      10|[-4.7170780301094055, 1.258493471890688, 9.050296841189265, 5.295775361359119, -5.745219968724996, 1.6015986204147339, -2.2665522284805775, 2.660170454531908, 2.4566853120923042, -8.224800318479538, 1.6559008583426476, -3.358139168471098, 3.4305046647787094, 3.583637624979019, -4.809950979426503, -1.8771345913410187, 6.32672182098031, -12.673182621598244, 0.7101642787456512, -2.106372944545001, -5.693853512406349, 1.9020555075258017]| 12.1315975189208984|     16.00000000|[611, 42, 0, 13]                                                           |  | used linear model with 65 points | actual_k=4
      11|[-6.86872535943985, 0.2935509569942951, 8.323365269228816, 6.978395409882069, -7.914694093633443, 0.5048513412475586, -1.9728304035961628, 2.193969715386629, 0.5007716491818428, -6.732868880033493, 0.7084973677992821, -4.394392501562834, 0.536651000380516, 3.437778130173683, -6.095311196520925, 0.8564948737621307, 7.006781134754419, -10.108006373047829, 4.667135685682297, -1.597236208152026, -5.164881959557533, 2.191730147227645]| 12.1263494491577148|     32.00000000|[671, 46, 0, 14]                                                           | | GPS sucess | actual_k=4
      12|[-6.86872535943985, 0.2935509569942951, 8.323365269228816, 6.978395409882069, -7.914694093633443, 0.5048513412475586, -1.9728304035961628, 2.193969715386629, 0.5007716491818428, -6.732868880033493, 0.7084973677992821, -4.394392501562834, 0.536651000380516, 3.437778130173683, -6.095311196520925, 0.8564948737621307, 7.006781134754419, -10.108006373047829, 4.667135685682297, -1.597236208152026, -5.164881959557533, 2.191730147227645]| 12.1263494491577148|     16.00000000|[735, 50, 0, 16]                                                           |  | used linear model with 65 points | actual_k=4
      13|[-6.86872535943985, 0.2935509569942951, 8.323365269228816, 6.978395409882069, -7.914694093633443, 0.5048513412475586, -1.9728304035961628, 2.193969715386629, 0.5007716491818428, -6.732868880033493, 0.7084973677992821, -4.394392501562834, 0.536651000380516, 3.437778130173683, -6.095311196520925, 0.8564948737621307, 7.006781134754419, -10.108006373047829, 4.667135685682297, -1.597236208152026, -5.164881959557533, 2.191730147227645]| 12.1263494491577148|      8.00000000|[799, 54, 0, 18]                                                           |  | used linear model with 65 points | actual_k=4
      14|[-7.219671458005905, 0.5499245710670948, 7.32891303114593, 7.518441744148731, -9.052566193509847, 0.7708004713058472, -0.9659813530743122, 3.0810365565121174, 1.3477690294384956, -6.1812852919101715, -0.9168455973267555, -4.610284086316824, 1.3956397026777267, 1.387585535645485, -6.17622428573668, 1.8092512786388397, 6.625327710062265, -10.437392637133598, 3.914750963449478, -1.201594881247729, -4.777407810091972, 1.3718425687402487]| 12.1229352951049805|     16.00000000|[859, 58, 0, 19]                                                           | | GPS sucess | actual_k=4
      15|[-7.219671458005905, 0.5499245710670948, 7.32891303114593, 7.518441744148731, -9.052566193509847, 0.7708004713058472, -0.9659813530743122, 3.0810365565121174, 1.3477690294384956, -6.1812852919101715, -0.9168455973267555, -4.610284086316824, 1.3956397026777267, 1.387585535645485, -6.17622428573668, 1.8092512786388397, 6.625327710062265, -10.437392637133598, 3.914750963449478, -1.201594881247729, -4.777407810091972, 1.3718425687402487]| 12.1229352951049805|      8.00000000|[923, 62, 0, 21]                                                           |  | used linear model with 65 points | actual_k=4
      16|[-7.219671458005905, 0.5499245710670948, 7.32891303114593, 7.518441744148731, -9.052566193509847, 0.7708004713058472, -0.9659813530743122, 3.0810365565121174, 1.3477690294384956, -6.1812852919101715, -0.9168455973267555, -4.610284086316824, 1.3956397026777267, 1.387585535645485, -6.17622428573668, 1.8092512786388397, 6.625327710062265, -10.437392637133598, 3.914750963449478, -1.201594881247729, -4.777407810091972, 1.3718425687402487]| 12.1229352951049805|      4.00000000|[987, 66, 0, 23]                                                           |  | used linear model with 65 points | actual_k=4
      17|[-7.977932244539261, -0.8648584298789501, 7.146309657022357, 8.223967798054218, -8.261609219480306, 3.074036955833435, -2.2810686714947224, 2.9344128407537937, 1.9251931980252266, -2.096621423959732, 0.9539173468947411, -4.601658206433058, 2.6948551386594772, -1.1624811738729477, -7.2401022259145975, 0.135415643453598, 5.986620131880045, -10.360236778855324, 3.2002977430820465, 1.0703346212394536, -4.121444270014763, 5.120505040511489]| 12.1201448440551758|      8.00000000|[1047, 70, 0, 24]                                                          | | GPS sucess | actual_k=4
      18|[-9.517972022294998, 0.2088059969246387, 7.253361327573657, 9.330173380672932, -6.937117957044393, 2.517748713493347, -1.7003106959164143, 3.7359940446913242, 0.94524235278368, -2.9492794573307037, -0.6553415432572365, -4.303578060120344, 4.102732107043266, -1.4053067117929459, -7.738664710894227, -0.2616643309593201, 6.037718627601862, -9.966837927699089, 3.807490438222885, 1.1197644551284611, -4.462134376168251, 5.980180269107223]| 12.1172637939453125|     16.00000000|[1107, 74, 0, 25]                                                          | | GPS sucess | actual_k=4
      19|[-9.517972022294998, 0.2088059969246387, 7.253361327573657, 9.330173380672932, -6.937117957044393, 2.517748713493347, -1.7003106959164143, 3.7359940446913242, 0.94524235278368, -2.9492794573307037, -0.6553415432572365, -4.303578060120344, 4.102732107043266, -1.4053067117929459, -7.738664710894227, -0.2616643309593201, 6.037718627601862, -9.966837927699089, 3.807490438222885, 1.1197644551284611, -4.462134376168251, 5.980180269107223]| 12.1172637939453125|      8.00000000|[1171, 78, 0, 27]                                                          |  | used linear model with 65 points | actual_k=4
      20|[-9.517972022294998, 0.2088059969246387, 7.253361327573657, 9.330173380672932, -6.937117957044393, 2.517748713493347, -1.7003106959164143, 3.7359940446913242, 0.94524235278368, -2.9492794573307037, -0.6553415432572365, -4.303578060120344, 4.102732107043266, -1.4053067117929459, -7.738664710894227, -0.2616643309593201, 6.037718627601862, -9.966837927699089, 3.807490438222885, 1.1197644551284611, -4.462134376168251, 5.980180269107223]| 12.1172637939453125|      4.00000000|[1234, 83, 0, 29]                                                          |  | used linear model with 65 points | actual_k=4
      21|[-10.241030663251877, -0.6472536735236645, 5.348111612722278, 10.372352845966816, -3.5817276467569172, 0.0863262414932251, -0.658610213547945, 6.537159387022257, -0.4275631234049797, -1.889209657907486, 0.5605095252394676, -3.4606053046882153, 2.9869858473539352, -1.5213976502418518, -7.615910025313497, -0.015031173825264, 7.6073574759066105, -11.984860941767693, 7.006190150976181, 0.4629916627891362, -3.3238896280527115, 3.353435045108199]| 12.1166133880615234|      8.00000000|[1294, 87, 0, 30]                                                          | | GPS sucess | actual_k=4
      22|[-10.32564876228571, -0.7311626337468624, 5.304063426330686, 10.392320737242699, -3.5005812724120915, 0.1964560896158218, -0.572314690798521, 6.544372342061251, -0.5340780168771744, -2.1025909185409546, 0.2991864904761314, -3.6665447019040585, 2.9528319239616394, -1.3097230195999146, -7.19866886921227, 0.3839413970708847, 7.548869393765926, -6.915556952357292, 4.329451650381088, -3.2249491731636226, -7.35530985891819, 4.184690600261092]| 12.1149368286132812|     16.00000000|[1354, 91, 0, 31]                                                          | | GPS sucess | actual_k=4
      23|[-10.32564876228571, -0.7311626337468624, 5.304063426330686, 10.392320737242699, -3.5005812724120915, 0.1964560896158218, -0.572314690798521, 6.544372342061251, -0.5340780168771744, -2.1025909185409546, 0.2991864904761314, -3.6665447019040585, 2.9528319239616394, -1.3097230195999146, -7.19866886921227, 0.3839413970708847, 7.548869393765926, -6.915556952357292, 4.329451650381088, -3.2249491731636226, -7.35530985891819, 4.184690600261092]| 12.1149368286132812|      8.00000000|[1418, 95, 0, 33]                                                          |  | used linear model with 65 points | actual_k=4
      24|[-10.32564876228571, -0.7311626337468624, 5.304063426330686, 10.392320737242699, -3.5005812724120915, 0.1964560896158218, -0.572314690798521, 6.544372342061251, -0.5340780168771744, -2.1025909185409546, 0.2991864904761314, -3.6665447019040585, 2.9528319239616394, -1.3097230195999146, -7.19866886921227, 0.3839413970708847, 7.548869393765926, -6.915556952357292, 4.329451650381088, -3.2249491731636226, -7.35530985891819, 4.184690600261092]| 12.1149368286132812|      4.00000000|[1482, 99, 0, 35]                                                          |  | used linear model with 65 points | actual_k=4
      25|[-10.367957811802626, -0.7731171138584614, 5.28203933313489, 10.40230468288064, -3.497250957880169, 0.2515210136771202, -0.529166929423809, 6.547978819580749, -0.5873354636132717, -2.209281548857689, 0.1685249730944633, -3.76951440051198, 2.9089375622570515, -1.203885704278946, -6.990048291161656, 0.583427682518959, 7.519625352695584, -7.470487222075462, 2.991082400083542, -0.1400278131477535, -9.37101997435093, 4.600318377837539]| 12.1148605346679688|      8.00000000|[1542, 103, 0, 36]                                                         | | GPS sucess | actual_k=4
      26|[-10.367957811802626, -0.7731171138584614, 5.28203933313489, 10.40230468288064, -3.497250957880169, 0.2515210136771202, -0.529166929423809, 6.547978819580749, -0.5873354636132717, -2.209281548857689, 0.1685249730944633, -3.76951440051198, 2.9089375622570515, -1.203885704278946, -6.990048291161656, 0.583427682518959, 7.519625352695584, -7.470487222075462, 2.991082400083542, -0.1400278131477535, -9.37101997435093, 4.600318377837539]| 12.1148605346679688|      4.00000000|[1606, 107, 0, 38]                                                         |  | used linear model with 65 points | actual_k=4
