k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  7.9524924420125593|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6523508131504059, 0.4210293889045715]                                        |  1.6073304414749146|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[0.3112539649009705, -0.1257030367851257]                                       |  0.0577678084373474|      4.00000000|[7, 2, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[-0.1041160523891449, -0.0699211657047272]                                      |  0.0349671244621277|      8.00000000|[10, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
       4|[-0.1041160523891449, -0.0699211657047272]                                      |  0.0349671244621277|      4.00000000|[13, 4, 1, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[-0.1041160523891449, -0.0699211657047272]                                      |  0.0349671244621277|      2.00000000|[17, 5, 2, 7]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[-0.1041160523891449, -0.0699211657047272]                                      |  0.0349671244621277|      1.00000000|[21, 6, 3, 9]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[-0.1041160523891449, -0.0699211657047272]                                      |  0.0349671244621277|      0.50000000|[25, 7, 4, 11]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[-0.1041160523891449, -0.0699211657047272]                                      |  0.0349671244621277|      0.25000000|[29, 8, 5, 13]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[0.0929648578166962, -0.0873675998300314]                                       |  0.0071049858815968|      0.50000000|[33, 9, 5, 14]                                                             | | GPS sucess | actual_k=1
      10|[0.0929648578166962, -0.0873675998300314]                                       |  0.0071049858815968|      0.25000000|[36, 10, 6, 16]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.0929648578166962, -0.0873675998300314]                                       |  0.0071049858815968|      0.12500000|[40, 11, 7, 18]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[0.0605554841458797, -0.0129808764904737]                                       |  0.0024431222118437|      0.25000000|[44, 12, 7, 19]                                                            | | GPS sucess | actual_k=1
      13|[0.0605554841458797, -0.0129808764904737]                                       |  0.0024431222118437|      0.12500000|[47, 13, 8, 21]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
