k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[500.0, 0.0001]                                                                 |11603.0164118767152104|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[499.1808070540428, -0.409439669752121]                                         |-100000002004087734272.0000000000000000|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[499.1808070540428, -0.409439669752121]                                         |-100000002004087734272.0000000000000000|      1.00000000|[13, 0, 0, 3]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[499.1808070540428, -0.409439669752121]                                         |-100000002004087734272.0000000000000000|      0.50000000|[20, 0, 0, 5]                                                              |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       4|[499.1808070540428, -0.409439669752121]                                         |-100000002004087734272.0000000000000000|      0.25000000|[28, 0, 0, 7]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[499.1808070540428, -0.409439669752121]                                         |-100000002004087734272.0000000000000000|      0.12500000|[35, 0, 0, 9]                                                              |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       6|[499.1808070540428, -0.409439669752121]                                         |-100000002004087734272.0000000000000000|      0.06250000|[42, 0, 0, 11]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       7|[499.1808070540428, -0.409439669752121]                                         |-100000002004087734272.0000000000000000|      0.03125000|[49, 0, 0, 13]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       8|[499.1808070540428, -0.409439669752121]                                         |-100000002004087734272.0000000000000000|      0.01562500|[56, 0, 0, 15]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       9|[499.1808070540428, -0.409439669752121]                                         |-100000002004087734272.0000000000000000|      0.00781250|[63, 0, 0, 17]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      10|[499.1808070540428, -0.409439669752121]                                         |-100000002004087734272.0000000000000000|      0.00390625|[70, 0, 0, 19]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[499.1808070540428, -0.409439669752121]                                         |-100000002004087734272.0000000000000000|      0.00195312|[77, 0, 0, 21]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
