k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1703815907239914, 0.340261310338974, -0.2918848991394043, 0.2596587538719177, -0.0531272292137146, 0.2253860980272293, -0.0945106595754623, 0.0251506362110376, -0.0826609134674072, 0.0144698210060596, -0.1295367926359177, -0.2830583453178406, -0.2213968485593796, -0.2909031808376312, 0.0203376580029726, -0.0806582421064377, 0.1025073155760765, -0.1063051819801331, 0.1745223999023438, 0.3602338433265686, -0.1755805164575577, 0.4266362190246582]| 14.3782787322998047|      2.00000000|[15, 2, 0, 1]                                                              | | GPS sucess | actual_k=2
       2|[0.4017368704080582, 0.7368647456169128, -0.307356963865459, 1.1179901957511902, 0.2256766259670258, 0.2755560353398323, 0.2883624881505966, 0.2314246837049723, -0.1944978013634682, 0.4060554094612598, 0.993653729557991, -0.0836738646030426, 0.1040187925100327, -0.555913507938385, -0.249057961627841, 0.0078218206763268, 0.1699910089373589, 0.3477712571620941, 0.4236556738615036, -0.3429346680641174, 0.0193436741828918, -0.0772340297698975]| 13.0015897750854492|      4.00000000|[29, 4, 0, 2]                                                              | | GPS sucess | actual_k=2
       3|[0.5479229241609573, 1.4730808734893799, -1.4214760167524219, 2.3045700192451477, 0.2886678650975227, -0.3592452928423882, 1.4154900163412094, -0.1018196102231741, -1.2351628318428993, -1.2883347682654858, 1.3834091573953629, -0.8766596019268036, 0.7422547787427902, 0.3000537753105164, -1.6121694575995207, -0.5439863577485085, -0.0552404746413231, 0.3358321152627468, 1.3632378429174423, -0.8695681691169739, -0.223907932639122, 1.2233442068099976]| 12.2384777069091797|      8.00000000|[43, 6, 0, 3]                                                              | | GPS sucess | actual_k=2
       4|[3.3128975182771683, 2.2807340025901794, -1.153184781782329, 0.3938297629356384, 1.4020275548100471, -0.777556411921978, 0.9855334013700485, 1.6257027629762888, -1.4843721762299538, 0.3793203420937061, 1.5085323750972748, -1.4703106582164764, -1.2786500006914139, -1.3785657286643982, -3.329584551975131, -3.2503300085663795, 3.1850072517991066, 1.7775452099740505, 1.0538338273763657, 0.4043499827384949, -1.47357939183712, 4.562662243843079]| 12.1645765304565430|     16.00000000|[57, 8, 0, 4]                                                              | | GPS sucess | actual_k=2
       5|[4.577923610806465, 5.760695159435272, -0.9711080892011523, -0.5680162310600281, 8.400433011353016, -2.3711996003985405, -3.450951412320137, 6.4545687679201365, -0.730476476252079, -0.2794238738715649, -1.09659543633461, -2.9706866443157196, -2.2641393691301346, -1.5430082380771637, 4.811704205349088, -6.0259340181946754, 9.171968139708042, 1.9820557497441769, -1.7194775491952896, -0.7229738831520081, -4.433798059821129, 1.70256507396698]| 12.1577777862548828|     32.00000000|[71, 10, 0, 5]                                                             | | GPS sucess | actual_k=2
       6|[1.6166067868471146, 9.263693034648895, 6.350320686586201, 0.29636150598526, 19.417132802307606, -2.9610260650515556, 1.195215865969658, 11.044001007452607, -2.6980154290795326, 2.853693325072527, 7.491963714361191, 5.0667212307453156, -3.579985573887825, 4.783443063497543, 11.782147930935025, 0.7698018178343773, -0.6752055510878563, 17.749898996204138, -2.904905930161476, 10.934390008449554, -1.1136188358068466, 3.0268025398254395]| 12.1547966003417969|     64.00000000|[185, 26, 2, 15]                                                           |  | trying linear partial model with 15 points | trying quadratic partial model with 29 points | trying quadratic partial model with 43 points FAILED TO GET X_HAT, using additional batch call | trying quadratic partial model with 58 points | trying quadratic partial model with 72 points FAILED TO GET X_HAT, using additional batch call | trying quadratic partial model with 87 points | trying quadratic partial model with 101 points| GPS sucess | actual_k=2
       7|[-3.105877324938774, -3.4017141461372375, -16.639402518980205, 8.503949701786041, 21.14765841513872, 20.10597337037325, -0.8202477246522903, -5.655967330560088, 4.584560178220272, 24.897732097655535, 6.007944077253342, 10.292926102876663, 4.454328581690788, 7.795039027929306, 7.998294638469815, -15.437361039221287, -16.196093879640102, 19.609276857227087, 2.005858287215233, 21.04482740163803, 13.066587463021278, 34.7835431098938]| 12.1458711624145508|    128.00000000|[298, 42, 3, 24]                                                           |  | trying linear partial model with 15 points | trying quadratic partial model with 29 points FAILED TO GET X_HAT, using additional batch call | trying quadratic partial model with 44 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 58 points | trying quadratic partial model with 72 points | trying quadratic partial model with 86 points | trying quadratic partial model with 100 points| GPS sucess | actual_k=2
       8|[-3.105877324938774, -3.4017141461372375, -16.639402518980205, 8.503949701786041, 21.14765841513872, 20.10597337037325, -0.8202477246522903, -5.655967330560088, 4.584560178220272, 24.897732097655535, 6.007944077253342, 10.292926102876663, 4.454328581690788, 7.795039027929306, 7.998294638469815, -15.437361039221287, -16.196093879640102, 19.609276857227087, 2.005858287215233, 21.04482740163803, 13.066587463021278, 34.7835431098938]| 12.1458711624145508|     64.00000000|[439, 62, 4, 35]                                                           |  | trying linear partial model with 15 points | trying quadratic partial model with 29 points | trying quadratic partial model with 43 points FAILED TO GET X_HAT, using additional batch call | trying quadratic partial model with 58 points | trying quadratic partial model with 72 points | trying quadratic partial model with 86 points | trying quadratic partial model with 100 points | trying quadratic partial model with 114 points | trying quadratic partial model with 128 points | exploitation failed, decreasing delta | actual_k=2
       9|[-3.105877324938774, -3.4017141461372375, -16.639402518980205, 8.503949701786041, 21.14765841513872, 20.10597337037325, -0.8202477246522903, -5.655967330560088, 4.584560178220272, 24.897732097655535, 6.007944077253342, 10.292926102876663, 4.454328581690788, 7.795039027929306, 7.998294638469815, -15.437361039221287, -16.196093879640102, 19.609276857227087, 2.005858287215233, 21.04482740163803, 13.066587463021278, 34.7835431098938]| 12.1458711624145508|     32.00000000|[579, 82, 4, 45]                                                           |  | trying linear partial model with 15 points | trying quadratic partial model with 29 points | trying quadratic partial model with 43 points | trying quadratic partial model with 57 points | trying quadratic partial model with 71 points | trying quadratic partial model with 85 points | trying quadratic partial model with 99 points | trying quadratic partial model with 113 points | trying quadratic partial model with 127 points | exploitation failed, decreasing delta | actual_k=2
      10|[-12.977699682116508, 5.163925349712372, -28.11782945226878, 17.584785997867584, 21.78328324109316, 8.641958363354206, 0.1964743584394455, 1.438555145636201, 8.209452174603939, 27.97324164584279, 1.3948201835155487, 5.0846937000751495, -4.557201340794563, 7.957354053854942, 5.186203287914395, -12.128634251654148, -3.3049739226698875, 22.080211963504553, -1.6800974756479263, 13.05810683965683, 13.705388441681862, 28.90100908279419]| 12.1396808624267578|     64.00000000|[607, 86, 4, 47]                                                           |  | trying linear partial model with 15 points| GPS sucess | actual_k=2
      11|[-14.948626324534416, -7.883130848407745, -4.461283813230693, 16.196402370929718, 21.41041884571314, 24.962425358593464, -8.418030455708504, -15.167039489373565, -8.106618382036686, 25.84023316577077, -15.047684699296951, 14.145507603883743, 2.70644573867321, 13.793539509177208, 16.90246038325131, -31.649918355047703, -21.51724847406149, 26.59362682327628, -34.98766125738621, 15.938919484615326, 7.643329039216042, 25.903140544891357]| 12.1004638671875000|    128.00000000|[649, 92, 4, 50]                                                           |  | trying linear partial model with 15 points | trying quadratic partial model with 29 points| GPS sucess | actual_k=2
      12|[-14.948626324534416, -7.883130848407745, -4.461283813230693, 16.196402370929718, 21.41041884571314, 24.962425358593464, -8.418030455708504, -15.167039489373565, -8.106618382036686, 25.84023316577077, -15.047684699296951, 14.145507603883743, 2.70644573867321, 13.793539509177208, 16.90246038325131, -31.649918355047703, -21.51724847406149, 26.59362682327628, -34.98766125738621, 15.938919484615326, 7.643329039216042, 25.903140544891357]| 12.1004638671875000|     64.00000000|[789, 112, 4, 60]                                                          |  | trying linear partial model with 15 points | trying quadratic partial model with 29 points | trying quadratic partial model with 43 points | trying quadratic partial model with 57 points | trying quadratic partial model with 71 points | trying quadratic partial model with 85 points | trying quadratic partial model with 99 points | trying quadratic partial model with 113 points | trying quadratic partial model with 127 points | exploitation failed, decreasing delta | actual_k=2
      13|[-14.948626324534416, -7.883130848407745, -4.461283813230693, 16.196402370929718, 21.41041884571314, 24.962425358593464, -8.418030455708504, -15.167039489373565, -8.106618382036686, 25.84023316577077, -15.047684699296951, 14.145507603883743, 2.70644573867321, 13.793539509177208, 16.90246038325131, -31.649918355047703, -21.51724847406149, 26.59362682327628, -34.98766125738621, 15.938919484615326, 7.643329039216042, 25.903140544891357]| 12.1004638671875000|     32.00000000|[931, 132, 6, 72]                                                          |  | trying linear partial model with 15 points | trying quadratic partial model with 29 points | trying quadratic partial model with 43 points | trying quadratic partial model with 57 points FAILED TO GET X_HAT, using additional batch call | trying quadratic partial model with 72 points | trying quadratic partial model with 86 points | trying quadratic partial model with 100 points FAILED TO GET X_HAT, using additional batch call | trying quadratic partial model with 115 points | trying quadratic partial model with 129 points | exploitation failed, decreasing delta | actual_k=2
      14|[-24.469089314341545, -10.701561272144318, 3.8556450502946973, 22.587381184101105, 1.4842122569680214, 29.35510552674532, -13.978830054402351, -22.77897653542459, -6.897853352129459, 18.433938819915056, -24.767245322465897, 11.53055027127266, 3.2766156047582626, 11.68661330640316, 13.311490105465055, -30.598969139158726, -11.378419242799282, 23.538766231387854, -32.90408577024937, 19.132188498973846, 10.288469687104225, 26.275889605283737]| 12.0866909027099609|     64.00000000|[987, 140, 6, 76]                                                          |  | trying linear partial model with 15 points | trying quadratic partial model with 29 points | trying quadratic partial model with 43 points| GPS sucess | actual_k=2
      15|[-42.695171162486076, -14.826808750629425, -9.371679435484111, 38.95121747255325, -2.2196125015616417, 55.34830582886934, -8.716057017445564, -38.52902898751199, -23.2105650678277, 17.511381644755602, -17.29215481877327, 5.755676060914993, 22.910093769431114, -9.793134465813637, 27.71963887102902, -28.758622206747532, -13.635739408433437, 14.738978710025549, -33.986675038933754, 41.76350563764572, -7.65319786965847, 23.6059510409832]| 12.0529937744140625|    128.00000000|[1114, 158, 7, 86]                                                         |  | trying linear partial model with 15 points | trying quadratic partial model with 29 points | trying quadratic partial model with 43 points | trying quadratic partial model with 57 points FAILED TO GET X_HAT, using additional batch call | trying quadratic partial model with 72 points | trying quadratic partial model with 86 points | trying quadratic partial model with 100 points | trying quadratic partial model with 114 points| GPS sucess | actual_k=2
