k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |106.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.8998366594314575, 1.9949710369110107]                                        | 71.6587982177734375|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[-3.0712722539901733, 1.5150816440582275]                                       | 60.4657897949218750|      4.00000000|[7, 2, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[-3.0712722539901733, 1.5150816440582275]                                       | 60.4657897949218750|      2.00000000|[11, 3, 1, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[-3.0712722539901733, 1.5150816440582275]                                       | 60.4657897949218750|      1.00000000|[15, 5, 2, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[-2.1078429222106934, 1.7830438017845154]                                       | 57.9389114379882812|      2.00000000|[19, 6, 2, 9]                                                              | | GPS sucess | actual_k=1
       6|[-2.5150114948215605, 3.7411586486405493]                                       | 20.9531917057833823|      4.00000000|[23, 7, 3, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       7|[-2.5150114948215605, 3.7411586486405493]                                       | 20.9531917057833823|      2.00000000|[28, 8, 4, 15]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[-2.5150114948215605, 3.7411586486405493]                                       | 20.9531917057833823|      1.00000000|[33, 9, 5, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[-2.1029152626457335, 2.830018266350663]                                        | 15.2421169281005859|      2.00000000|[37, 10, 5, 19]                                                            | | GPS sucess | actual_k=1
      10|[-2.1029152626457335, 2.830018266350663]                                        | 15.2421169281005859|      1.00000000|[40, 12, 6, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
