k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.86, 0.72]                                                                    |1475481.7047999855130911|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.86, 0.72]                                                                    |1475481.7047999855130911|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[0.86, 0.72]                                                                    |1475481.7047999855130911|      0.25000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[0.86, 0.72]                                                                    |1475481.7047999855130911|      0.12500000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.8420267204195261, 0.7066042165085673]                                        |394.1493835449218750|      0.25000000|[16, 4, 3, 7]                                                              | | GPS sucess | actual_k=1
       5|[0.8420267204195261, 0.7066042165085673]                                        |394.1493835449218750|      0.12500000|[19, 5, 4, 9]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[0.8420267204195261, 0.7066042165085673]                                        |394.1493835449218750|      0.06250000|[23, 6, 5, 11]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.8420267204195261, 0.7066042165085673]                                        |394.1493835449218750|      0.03125000|[27, 7, 6, 13]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[0.8420267204195261, 0.7066042165085673]                                        |394.1493835449218750|      0.01562500|[31, 8, 7, 15]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[0.8420267204195261, 0.7066042165085673]                                        |394.1493835449218750|      0.00781250|[35, 9, 8, 17]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[0.8420267204195261, 0.7066042165085673]                                        |394.1493835449218750|      0.00390625|[39, 10, 9, 19]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.8423405181814451, 0.7096451367530971]                                        |  2.4226281642913818|      0.00781250|[43, 11, 9, 20]                                                            | | GPS sucess | actual_k=1
