k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 2.0, 2.0, 2.0]                                                            |105126.8339513395767426|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0081565976142883, 2.510739505290985, 1.4440297484397888, 3.5640616416931152] |101956.6250000000000000|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[1.683990240097046, -1.0305054783821106, 0.9677348434925079, 5.230187773704529] |-100000002004087734272.0000000000000000|      4.00000000|[7, 2, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[1.683990240097046, -1.0305054783821106, 0.9677348434925079, 5.230187773704529] |-100000002004087734272.0000000000000000|      2.00000000|[16, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[1.683990240097046, -1.0305054783821106, 0.9677348434925079, 5.230187773704529] |-100000002004087734272.0000000000000000|      1.00000000|[25, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1.683990240097046, -1.0305054783821106, 0.9677348434925079, 5.230187773704529] |-100000002004087734272.0000000000000000|      0.50000000|[31, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       6|[1.683990240097046, -1.0305054783821106, 0.9677348434925079, 5.230187773704529] |-100000002004087734272.0000000000000000|      0.25000000|[36, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=1
       7|[1.683990240097046, -1.0305054783821106, 0.9677348434925079, 5.230187773704529] |-100000002004087734272.0000000000000000|      0.12500000|[41, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=1
       8|[1.683990240097046, -1.0305054783821106, 0.9677348434925079, 5.230187773704529] |-100000002004087734272.0000000000000000|      0.06250000|[45, 27, 0, 27]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 5 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
       9|[1.683990240097046, -1.0305054783821106, 0.9677348434925079, 5.230187773704529] |-100000002004087734272.0000000000000000|      0.03125000|[51, 31, 0, 31]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      10|[1.683990240097046, -1.0305054783821106, 0.9677348434925079, 5.230187773704529] |-100000002004087734272.0000000000000000|      0.01562500|[57, 35, 0, 35]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      11|[1.683990240097046, -1.0305054783821106, 0.9677348434925079, 5.230187773704529] |-100000002004087734272.0000000000000000|      0.00781250|[62, 39, 0, 39]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      12|[1.683990240097046, -1.0305054783821106, 0.9677348434925079, 5.230187773704529] |-100000002004087734272.0000000000000000|      0.00390625|[68, 43, 0, 43]                                                            |  | trying linear partial model with 4 points | trying linear partial model with 6 points | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
