k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.33014339208603, 1.7694912552833557, 1.8669427633285522, 1.9933232753537595, 0.5136945366859436]|5177.0117187500000000|      2.00000000|[16, 1, 0, 1]                                                              | | GPS sucess | actual_k=1
       2|[20.32657200517133, 2.280893623828888, 3.155424475669861, 1.8036622791551054, 0.5780014589428901]|3192.3244628906250000|      4.00000000|[31, 2, 0, 2]                                                              | | GPS sucess | actual_k=1
       3|[20.858990852255374, -0.5027169585227966, 2.4524608850479126, 3.6662834673188627, 2.4152155712246897]|-100000002004087734272.0000000000000000|      8.00000000|[46, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
       4|[20.858990852255374, -0.5027169585227966, 2.4524608850479126, 3.6662834673188627, 2.4152155712246897]|-100000002004087734272.0000000000000000|      4.00000000|[76, 5, 0, 5]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[20.858990852255374, -0.5027169585227966, 2.4524608850479126, 3.6662834673188627, 2.4152155712246897]|-100000002004087734272.0000000000000000|      2.00000000|[106, 7, 0, 7]                                                             |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[20.858990852255374, -0.5027169585227966, 2.4524608850479126, 3.6662834673188627, 2.4152155712246897]|-100000002004087734272.0000000000000000|      1.00000000|[136, 9, 0, 9]                                                             |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[20.858990852255374, -0.5027169585227966, 2.4524608850479126, 3.6662834673188627, 2.4152155712246897]|-100000002004087734272.0000000000000000|      0.50000000|[165, 11, 0, 11]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       8|[20.858990852255374, -0.5027169585227966, 2.4524608850479126, 3.6662834673188627, 2.4152155712246897]|-100000002004087734272.0000000000000000|      0.25000000|[194, 13, 0, 13]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
       9|[20.858990852255374, -0.5027169585227966, 2.4524608850479126, 3.6662834673188627, 2.4152155712246897]|-100000002004087734272.0000000000000000|      0.12500000|[223, 15, 0, 15]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      10|[20.858990852255374, -0.5027169585227966, 2.4524608850479126, 3.6662834673188627, 2.4152155712246897]|-100000002004087734272.0000000000000000|      0.06250000|[252, 17, 0, 17]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      11|[20.858990852255374, -0.5027169585227966, 2.4524608850479126, 3.6662834673188627, 2.4152155712246897]|-100000002004087734272.0000000000000000|      0.03125000|[281, 19, 0, 19]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      12|[20.858990852255374, -0.5027169585227966, 2.4524608850479126, 3.6662834673188627, 2.4152155712246897]|-100000002004087734272.0000000000000000|      0.01562500|[310, 21, 0, 21]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      13|[20.858990852255374, -0.5027169585227966, 2.4524608850479126, 3.6662834673188627, 2.4152155712246897]|-100000002004087734272.0000000000000000|      0.00781250|[339, 23, 0, 23]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      14|[20.858990852255374, -0.5027169585227966, 2.4524608850479126, 3.6662834673188627, 2.4152155712246897]|-100000002004087734272.0000000000000000|      0.00390625|[368, 25, 0, 25]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      15|[20.858990852255374, -0.5027169585227966, 2.4524608850479126, 3.6662834673188627, 2.4152155712246897]|-100000002004087734272.0000000000000000|      0.00195312|[397, 27, 0, 27]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      16|[20.858990852255374, -0.5027169585227966, 2.4524608850479126, 3.6662834673188627, 2.4152155712246897]|-100000002004087734272.0000000000000000|      0.00097656|[426, 29, 0, 29]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      17|[20.858990852255374, -0.5027169585227966, 2.4524608850479126, 3.6662834673188627, 2.4152155712246897]|-100000002004087734272.0000000000000000|      0.00048828|[455, 31, 0, 31]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
