k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8]|13068.4841978150143404|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.6380079112325616, 1.2040938284061586, -1.1306858466694996, 0.9430745995228726, -0.8983021127442082, 1.1065241386817362, -1.0542380919750562, 0.7122324435591298, -0.8849945491887756, 1.194619804329269, -1.2254913561762035, 0.893520629831563, -0.8157367283424639, 1.2005520417995434, -1.2269567725498667, 0.9741738465876395, -0.863607363231077, 1.259660636940309, -1.2912455982898392, 0.5526972467446276, -0.8174516694169879, 1.1490694045689904, -1.2266757093898975, 0.7973772212733219, -0.9877477560105603, 1.2153946520527352, -1.2427876249203895, 0.8390685521237262, -0.9855477199072098, 1.1678969220690119, -1.2547309665287822, 0.8593635448505629, -0.785387990930597, 1.2276823839900843, -1.2475946846012862, 0.9160284730417616, -0.76048461011234, 1.1422560986800983, -1.1899034374701334, 0.7624585873591034, -0.9525584182173235, 1.1378368369404623, -1.2777563295602083, 0.7081511599166131, -0.8515430717970109, 1.2650401930665205, -1.314183242663073, 0.8438740828004967, -0.7858096646640929, 1.2330004047612941, -1.4704691688273321, 0.9025762191771667, -0.8911083881022671, 1.345874228391015, -1.174466583817444, 0.6592815444694041, -0.654096647836683, 1.2228459264981797, -1.1306987963757162, 0.8954832618573746, -0.9616896228998534, 1.1684325197439844, -1.1690249665779173, 0.7818939275799851, -0.6974320400668046, 1.1669226238948722, -1.155982867693725, 0.8435237414616491, -0.7558510820397849, 1.0492768358883708, -1.2283713400349827, 0.6248749538472453, -0.757030072641337, 1.1093401794807802, -1.167258782482824, 0.8651780374855869, -0.9567316380218871, 1.2227646920215516, -0.9987460232697996, 0.9099237298393907, -0.7734720396796132, 1.0092786039790427, -1.2671363778615858, 0.6331984701706108, -0.8370609612139998, 1.3778540808153166, -1.3364232372633646, 0.7307288407704245, -0.8174700805207742, 1.2156833001125575, -1.260920468689714, 0.680438160503816, -0.7462500657805256, 1.0683076649683325, -1.213122307345131, 0.6026252428796641, -0.9889436139090385, 1.2003966358262466, -1.1624221771600087, 0.819773343638241]|13007.5800781250000000|      2.00000000|[29, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
       2|[-0.6380079112325616, 1.2040938284061586, -1.1306858466694996, 0.9430745995228726, -0.8983021127442082, 1.1065241386817362, -1.0542380919750562, 0.7122324435591298, -0.8849945491887756, 1.194619804329269, -1.2254913561762035, 0.893520629831563, -0.8157367283424639, 1.2005520417995434, -1.2269567725498667, 0.9741738465876395, -0.863607363231077, 1.259660636940309, -1.2912455982898392, 0.5526972467446276, -0.8174516694169879, 1.1490694045689904, -1.2266757093898975, 0.7973772212733219, -0.9877477560105603, 1.2153946520527352, -1.2427876249203895, 0.8390685521237262, -0.9855477199072098, 1.1678969220690119, -1.2547309665287822, 0.8593635448505629, -0.785387990930597, 1.2276823839900843, -1.2475946846012862, 0.9160284730417616, -0.76048461011234, 1.1422560986800983, -1.1899034374701334, 0.7624585873591034, -0.9525584182173235, 1.1378368369404623, -1.2777563295602083, 0.7081511599166131, -0.8515430717970109, 1.2650401930665205, -1.314183242663073, 0.8438740828004967, -0.7858096646640929, 1.2330004047612941, -1.4704691688273321, 0.9025762191771667, -0.8911083881022671, 1.345874228391015, -1.174466583817444, 0.6592815444694041, -0.654096647836683, 1.2228459264981797, -1.1306987963757162, 0.8954832618573746, -0.9616896228998534, 1.1684325197439844, -1.1690249665779173, 0.7818939275799851, -0.6974320400668046, 1.1669226238948722, -1.155982867693725, 0.8435237414616491, -0.7558510820397849, 1.0492768358883708, -1.2283713400349827, 0.6248749538472453, -0.757030072641337, 1.1093401794807802, -1.167258782482824, 0.8651780374855869, -0.9567316380218871, 1.2227646920215516, -0.9987460232697996, 0.9099237298393907, -0.7734720396796132, 1.0092786039790427, -1.2671363778615858, 0.6331984701706108, -0.8370609612139998, 1.3778540808153166, -1.3364232372633646, 0.7307288407704245, -0.8174700805207742, 1.2156833001125575, -1.260920468689714, 0.680438160503816, -0.7462500657805256, 1.0683076649683325, -1.213122307345131, 0.6026252428796641, -0.9889436139090385, 1.2003966358262466, -1.1624221771600087, 0.819773343638241]|13007.5800781250000000|      1.00000000|[152, 11, 0, 11]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 70 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 83 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 96 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 110 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[-0.6835031667648644, 1.2168276314450412, -0.9901823711547793, 0.858256610710071, -0.9040169107581019, 1.158057163171071, -1.1749335901086015, 0.7503809212124043, -1.0790595722405822, 1.2046057404397974, -1.3459770902787036, 0.9343192432631428, -0.8495680732464475, 1.0658407572051638, -1.3618411338460599, 0.9636317569854848, -1.0230064906250402, 1.1906350532093217, -1.4341075073694949, 0.4843469661329386, -0.7040195967006333, 1.243398450275393, -1.3290435777536436, 0.8761594836614507, -0.8765030798581183, 1.1155458179054096, -1.2543564457099847, 1.0380428466080434, -1.0230452773961607, 1.125231039645789, -1.3101087967767608, 0.7419435201267103, -0.762933396714337, 1.2329433038924533, -1.2566747462764931, 0.9225865300262795, -0.6841793880525753, 1.0641814814608004, -1.1557095043745889, 0.8357825025019067, -0.9003848437049032, 1.1507159189439067, -1.148351524412572, 0.646612844079266, -0.9082776500717149, 1.3304323750708111, -1.4565489826824907, 1.0009042378433255, -0.8172977784019841, 1.2362535398527403, -1.5986455986329648, 1.0394560802327888, -0.8424929970635429, 1.2448654570098698, -1.169169618665741, 0.5757134556846284, -0.7631468458248842, 1.208476485723387, -1.2322058579453876, 0.7576048241774818, -0.9664600846718342, 1.2402506708284406, -1.2805178792555054, 0.6444065164050218, -0.8547955816358427, 1.092412045900875, -1.1970047496944365, 0.9862133066063609, -0.8724135066227723, 0.9787857673857712, -1.1450615911565873, 0.8395020396267756, -0.9338025531835383, 1.1774528925034105, -1.1729467083112586, 0.6782314546394088, -1.006089522690532, 1.2007764502797662, -0.9891607318004305, 1.0182677524436456, -0.5895218130781508, 0.9080361350659459, -1.4711925200445617, 0.4787189754476584, -0.7130250946821433, 1.3935363793416518, -1.280155895718816, 0.802586991900931, -0.6909244272644641, 1.0300089880023862, -1.2285636135754654, 0.6017034716212117, -0.687610915974251, 0.9557641677077569, -1.2881599353196969, 0.6287817139747357, -0.8600614413425149, 1.2806753321799194, -1.239004664494111, 0.8824548473110808]|10982.9765625000000000|      2.00000000|[206, 15, 0, 15]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
       4|[-0.6835031667648644, 1.2168276314450412, -0.9901823711547793, 0.858256610710071, -0.9040169107581019, 1.158057163171071, -1.1749335901086015, 0.7503809212124043, -1.0790595722405822, 1.2046057404397974, -1.3459770902787036, 0.9343192432631428, -0.8495680732464475, 1.0658407572051638, -1.3618411338460599, 0.9636317569854848, -1.0230064906250402, 1.1906350532093217, -1.4341075073694949, 0.4843469661329386, -0.7040195967006333, 1.243398450275393, -1.3290435777536436, 0.8761594836614507, -0.8765030798581183, 1.1155458179054096, -1.2543564457099847, 1.0380428466080434, -1.0230452773961607, 1.125231039645789, -1.3101087967767608, 0.7419435201267103, -0.762933396714337, 1.2329433038924533, -1.2566747462764931, 0.9225865300262795, -0.6841793880525753, 1.0641814814608004, -1.1557095043745889, 0.8357825025019067, -0.9003848437049032, 1.1507159189439067, -1.148351524412572, 0.646612844079266, -0.9082776500717149, 1.3304323750708111, -1.4565489826824907, 1.0009042378433255, -0.8172977784019841, 1.2362535398527403, -1.5986455986329648, 1.0394560802327888, -0.8424929970635429, 1.2448654570098698, -1.169169618665741, 0.5757134556846284, -0.7631468458248842, 1.208476485723387, -1.2322058579453876, 0.7576048241774818, -0.9664600846718342, 1.2402506708284406, -1.2805178792555054, 0.6444065164050218, -0.8547955816358427, 1.092412045900875, -1.1970047496944365, 0.9862133066063609, -0.8724135066227723, 0.9787857673857712, -1.1450615911565873, 0.8395020396267756, -0.9338025531835383, 1.1774528925034105, -1.1729467083112586, 0.6782314546394088, -1.006089522690532, 1.2007764502797662, -0.9891607318004305, 1.0182677524436456, -0.5895218130781508, 0.9080361350659459, -1.4711925200445617, 0.4787189754476584, -0.7130250946821433, 1.3935363793416518, -1.280155895718816, 0.802586991900931, -0.6909244272644641, 1.0300089880023862, -1.2285636135754654, 0.6017034716212117, -0.687610915974251, 0.9557641677077569, -1.2881599353196969, 0.6287817139747357, -0.8600614413425149, 1.2806753321799194, -1.239004664494111, 0.8824548473110808]|10982.9765625000000000|      1.00000000|[328, 24, 0, 24]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 44 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 70 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 83 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 97 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 110 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-0.6835031667648644, 1.2168276314450412, -0.9901823711547793, 0.858256610710071, -0.9040169107581019, 1.158057163171071, -1.1749335901086015, 0.7503809212124043, -1.0790595722405822, 1.2046057404397974, -1.3459770902787036, 0.9343192432631428, -0.8495680732464475, 1.0658407572051638, -1.3618411338460599, 0.9636317569854848, -1.0230064906250402, 1.1906350532093217, -1.4341075073694949, 0.4843469661329386, -0.7040195967006333, 1.243398450275393, -1.3290435777536436, 0.8761594836614507, -0.8765030798581183, 1.1155458179054096, -1.2543564457099847, 1.0380428466080434, -1.0230452773961607, 1.125231039645789, -1.3101087967767608, 0.7419435201267103, -0.762933396714337, 1.2329433038924533, -1.2566747462764931, 0.9225865300262795, -0.6841793880525753, 1.0641814814608004, -1.1557095043745889, 0.8357825025019067, -0.9003848437049032, 1.1507159189439067, -1.148351524412572, 0.646612844079266, -0.9082776500717149, 1.3304323750708111, -1.4565489826824907, 1.0009042378433255, -0.8172977784019841, 1.2362535398527403, -1.5986455986329648, 1.0394560802327888, -0.8424929970635429, 1.2448654570098698, -1.169169618665741, 0.5757134556846284, -0.7631468458248842, 1.208476485723387, -1.2322058579453876, 0.7576048241774818, -0.9664600846718342, 1.2402506708284406, -1.2805178792555054, 0.6444065164050218, -0.8547955816358427, 1.092412045900875, -1.1970047496944365, 0.9862133066063609, -0.8724135066227723, 0.9787857673857712, -1.1450615911565873, 0.8395020396267756, -0.9338025531835383, 1.1774528925034105, -1.1729467083112586, 0.6782314546394088, -1.006089522690532, 1.2007764502797662, -0.9891607318004305, 1.0182677524436456, -0.5895218130781508, 0.9080361350659459, -1.4711925200445617, 0.4787189754476584, -0.7130250946821433, 1.3935363793416518, -1.280155895718816, 0.802586991900931, -0.6909244272644641, 1.0300089880023862, -1.2285636135754654, 0.6017034716212117, -0.687610915974251, 0.9557641677077569, -1.2881599353196969, 0.6287817139747357, -0.8600614413425149, 1.2806753321799194, -1.239004664494111, 0.8824548473110808]|10982.9765625000000000|      0.50000000|[448, 33, 0, 33]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 81 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 94 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 107 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[-0.6650079404859633, 1.2201844574710339, -1.0324579116854609, 0.7362410525268778, -0.9326327319110274, 1.0900498728077592, -1.100805588180272, 0.7275334252392941, -0.9653108281104477, 1.1783551452129135, -1.4338491633330173, 0.8128284220208103, -0.8832820882832688, 1.1382172766467684, -1.359157728081659, 1.0014072809460752, -1.002968945733802, 1.1040781789937189, -1.4303689175518368, 0.4403171789501307, -0.7130473404127009, 1.1782836764654832, -1.3133032632550998, 0.9053557441584247, -0.8818018256765544, 1.1409580477264956, -1.2631258526470475, 1.0062487716852433, -1.096778644422013, 1.064520706358073, -1.3643982867612732, 0.7559400094727377, -0.7702472610199524, 1.1450385302398998, -1.2457680834845257, 0.8788845609391557, -0.7422920726898834, 1.1131013938884642, -1.143703217842902, 0.9047483845648187, -0.8209471184589506, 1.193008018389965, -1.0660872277020808, 0.6375219669411878, -0.8640008649662481, 1.2996810573313244, -1.4567429969508359, 0.9813343994237689, -0.8155026844073965, 1.1569866489692946, -1.6242987690546844, 1.0260881796079175, -0.8302814069895401, 1.2074486934061825, -1.2316342172320347, 0.67298516631886, -0.8369325606300104, 1.2106269463354158, -1.2523717185983112, 0.8303780721347114, -0.963012821635911, 1.2151192366262464, -1.277037025276961, 0.6572544121390339, -0.8636476611465315, 1.1111780653942165, -1.2501123242765364, 0.9413180450802531, -0.8771370820546258, 0.9054945699666046, -1.2324322252355668, 0.8309482208272203, -0.8890058702893084, 1.1824411148863732, -1.1552967597143042, 0.6697386002155878, -0.9479137316355679, 1.237473141345793, -1.0077893812140162, 1.0147260628447128, -0.6377759639754152, 0.8706871121410459, -1.484613987549957, 0.4671881989395059, -0.8023469911159735, 1.3402025194509524, -1.234363565662387, 0.7866162905491692, -0.7233209524090412, 0.9969171448741818, -1.1953018636820385, 0.580777677824434, -0.6262612707172548, 0.9716442606862343, -1.3312401385548462, 0.571534973067305, -0.8792927160665216, 1.295908304980651, -1.2681112628415365, 0.8587316156825436]|9892.1728515625000000|      1.00000000|[463, 34, 0, 34]                                                           | | GPS sucess | actual_k=1
       7|[-0.528578569452807, 1.2748185348862613, -1.1022152736674107, 0.7094179110780066, -0.9714176562829853, 1.076897630436475, -1.0676845434656734, 0.799264385085279, -0.8463572232792923, 1.101318479633524, -1.3011136283136882, 0.8542199584417096, -0.783851995844713, 1.1620939424607954, -1.3618467561422973, 1.1256155514995703, -0.9681331093669058, 1.1369543921697045, -1.3480170595610819, 0.3465945772286925, -0.8705013396595532, 1.2643958356594385, -1.320373535328471, 0.957356038551328, -0.8274234030578069, 1.0077010583715078, -1.3960264295941982, 1.1080656278834187, -1.0043254749108876, 0.9669167070616215, -1.2112089807630808, 0.6353355717065985, -0.9071734356895562, 1.1978968184666774, -1.231133308484748, 0.739045534464525, -0.7911086340349648, 1.0556650792891933, -1.1315142981557742, 0.7976470696538382, -0.8301651270246609, 1.0895233841715337, -1.1991270009703618, 0.6320093166941892, -0.8655857425299446, 1.2030102471717188, -1.4875625423551173, 0.9024106847993298, -0.7568698917895021, 1.2341942611525047, -1.7026239457126742, 1.02548402960122, -0.9041839927551374, 1.099117049748239, -1.2225836435958615, 0.6919259230700158, -0.8999556354990756, 1.178204137490252, -1.1529078669763861, 0.783100841769166, -1.159080275678453, 1.3102087255727388, -1.077857615063256, 0.5581610377557967, -0.8568309138989303, 1.3028062738220367, -1.1020285925549735, 0.8696659240343839, -0.9280216287917493, 0.9824940250494191, -1.0466174791936889, 0.69651559751783, -0.9271951898052023, 1.051735368072679, -1.0277002343486588, 0.6902222387261104, -0.9455092584346318, 1.0737640530187786, -0.9847526557300228, 0.6808349643008913, -0.7538191750914923, 0.9077137883846067, -1.4447562900945548, 0.3059631071693691, -0.6866438147572372, 1.249759459326967, -1.1697804647319159, 0.8385277147502012, -0.8466016576975581, 0.9746666276950198, -1.2431174100262272, 0.5066017416657715, -0.8143403827871373, 0.9128001963811998, -1.4023762255612435, 0.6210285582667514, -0.700863970992718, 1.25968854122039, -1.1359935645423533, 0.8326744462123076]|9657.5791015625000000|      2.00000000|[491, 36, 0, 36]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
       8|[-0.528578569452807, 1.2748185348862613, -1.1022152736674107, 0.7094179110780066, -0.9714176562829853, 1.076897630436475, -1.0676845434656734, 0.799264385085279, -0.8463572232792923, 1.101318479633524, -1.3011136283136882, 0.8542199584417096, -0.783851995844713, 1.1620939424607954, -1.3618467561422973, 1.1256155514995703, -0.9681331093669058, 1.1369543921697045, -1.3480170595610819, 0.3465945772286925, -0.8705013396595532, 1.2643958356594385, -1.320373535328471, 0.957356038551328, -0.8274234030578069, 1.0077010583715078, -1.3960264295941982, 1.1080656278834187, -1.0043254749108876, 0.9669167070616215, -1.2112089807630808, 0.6353355717065985, -0.9071734356895562, 1.1978968184666774, -1.231133308484748, 0.739045534464525, -0.7911086340349648, 1.0556650792891933, -1.1315142981557742, 0.7976470696538382, -0.8301651270246609, 1.0895233841715337, -1.1991270009703618, 0.6320093166941892, -0.8655857425299446, 1.2030102471717188, -1.4875625423551173, 0.9024106847993298, -0.7568698917895021, 1.2341942611525047, -1.7026239457126742, 1.02548402960122, -0.9041839927551374, 1.099117049748239, -1.2225836435958615, 0.6919259230700158, -0.8999556354990756, 1.178204137490252, -1.1529078669763861, 0.783100841769166, -1.159080275678453, 1.3102087255727388, -1.077857615063256, 0.5581610377557967, -0.8568309138989303, 1.3028062738220367, -1.1020285925549735, 0.8696659240343839, -0.9280216287917493, 0.9824940250494191, -1.0466174791936889, 0.69651559751783, -0.9271951898052023, 1.051735368072679, -1.0277002343486588, 0.6902222387261104, -0.9455092584346318, 1.0737640530187786, -0.9847526557300228, 0.6808349643008913, -0.7538191750914923, 0.9077137883846067, -1.4447562900945548, 0.3059631071693691, -0.6866438147572372, 1.249759459326967, -1.1697804647319159, 0.8385277147502012, -0.8466016576975581, 0.9746666276950198, -1.2431174100262272, 0.5066017416657715, -0.8143403827871373, 0.9128001963811998, -1.4023762255612435, 0.6210285582667514, -0.700863970992718, 1.25968854122039, -1.1359935645423533, 0.8326744462123076]|9657.5791015625000000|      1.00000000|[610, 45, 0, 45]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 81 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 94 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 107 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[-0.528578569452807, 1.2748185348862613, -1.1022152736674107, 0.7094179110780066, -0.9714176562829853, 1.076897630436475, -1.0676845434656734, 0.799264385085279, -0.8463572232792923, 1.101318479633524, -1.3011136283136882, 0.8542199584417096, -0.783851995844713, 1.1620939424607954, -1.3618467561422973, 1.1256155514995703, -0.9681331093669058, 1.1369543921697045, -1.3480170595610819, 0.3465945772286925, -0.8705013396595532, 1.2643958356594385, -1.320373535328471, 0.957356038551328, -0.8274234030578069, 1.0077010583715078, -1.3960264295941982, 1.1080656278834187, -1.0043254749108876, 0.9669167070616215, -1.2112089807630808, 0.6353355717065985, -0.9071734356895562, 1.1978968184666774, -1.231133308484748, 0.739045534464525, -0.7911086340349648, 1.0556650792891933, -1.1315142981557742, 0.7976470696538382, -0.8301651270246609, 1.0895233841715337, -1.1991270009703618, 0.6320093166941892, -0.8655857425299446, 1.2030102471717188, -1.4875625423551173, 0.9024106847993298, -0.7568698917895021, 1.2341942611525047, -1.7026239457126742, 1.02548402960122, -0.9041839927551374, 1.099117049748239, -1.2225836435958615, 0.6919259230700158, -0.8999556354990756, 1.178204137490252, -1.1529078669763861, 0.783100841769166, -1.159080275678453, 1.3102087255727388, -1.077857615063256, 0.5581610377557967, -0.8568309138989303, 1.3028062738220367, -1.1020285925549735, 0.8696659240343839, -0.9280216287917493, 0.9824940250494191, -1.0466174791936889, 0.69651559751783, -0.9271951898052023, 1.051735368072679, -1.0277002343486588, 0.6902222387261104, -0.9455092584346318, 1.0737640530187786, -0.9847526557300228, 0.6808349643008913, -0.7538191750914923, 0.9077137883846067, -1.4447562900945548, 0.3059631071693691, -0.6866438147572372, 1.249759459326967, -1.1697804647319159, 0.8385277147502012, -0.8466016576975581, 0.9746666276950198, -1.2431174100262272, 0.5066017416657715, -0.8143403827871373, 0.9128001963811998, -1.4023762255612435, 0.6210285582667514, -0.700863970992718, 1.25968854122039, -1.1359935645423533, 0.8326744462123076]|9657.5791015625000000|      0.50000000|[730, 54, 0, 54]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 81 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 94 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 107 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.5890293987748628, 1.2381296467281864, -1.1940552350781328, 0.7752996810886733, -0.9889920474571805, 1.110198040204057, -1.0971417526317737, 0.801285180243443, -0.8822428829947492, 1.1344520873968702, -1.299694463534326, 0.8196694315844465, -0.7862586660279209, 1.114016608776577, -1.3594803577931316, 1.1076855433320307, -0.9673076997321575, 1.18505736414306, -1.2891379655088013, 0.3653284385640717, -0.8920846034731431, 1.2435121809679182, -1.3487038690598616, 0.9962177174030489, -0.8017374025640946, 1.0305251574310454, -1.3363346940716305, 1.0833473889334153, -1.0108098403795753, 0.9453856586602578, -1.2536641385393512, 0.7600734580241881, -0.9094980653556887, 1.1996729244244053, -1.246466647295223, 0.7662843184067653, -0.7725261135310746, 1.068709314056607, -1.095506779823356, 0.7397135181656287, -0.8273957359738157, 1.0399126133717387, -1.2359151561408932, 0.6638676073924996, -0.7657918391519611, 1.2196894306644261, -1.4525210551898877, 0.9041901065689267, -0.870670392767924, 1.1291610695331944, -1.6444473444876682, 1.0366842318001106, -0.9739340135189973, 1.1224318445168309, -1.207373764745522, 0.7193002199359027, -0.8669091601326822, 1.1004446196554798, -1.166319046420896, 0.803717117610238, -1.1797634600156446, 1.3497002968823404, -1.135869199869809, 0.6292598898113521, -0.825527811689668, 1.3068299938871433, -1.012353434957971, 0.8989671432636906, -0.9678580173400322, 1.0252115239399993, -0.9611791647504737, 0.7474382213736246, -0.8382956493587764, 1.004538147429428, -0.9541800662488057, 0.7635280673665816, -0.9775024686964021, 1.0291809546008988, -0.9817062110591952, 0.6763730189181525, -0.665162881802359, 0.9200806863583664, -1.451058805298914, 0.354047591987699, -0.6525852487664492, 1.2407286749352255, -1.161988476651989, 0.9212862807351903, -0.9177733293838177, 0.9159658558175972, -1.2516674270643704, 0.5609987789888431, -0.7268215637967828, 0.9424061667466039, -1.4771760873368338, 0.5767227604468257, -0.6304546173841508, 1.1483673622571682, -1.0662196326218987, 0.8662156705937902]|8636.9316406250000000|      1.00000000|[758, 56, 0, 56]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
