k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.50000000|[7, 0, 0, 3]                                                               |  | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=0
       2|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.25000000|[13, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=0
       3|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.12500000|[19, 0, 0, 9]                                                              |  | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=0
       4|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.06250000|[25, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=0
       5|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.03125000|[31, 0, 0, 15]                                                             |  | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=0
       6|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.01562500|[37, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=0
       7|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00781250|[43, 0, 0, 21]                                                             |  | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=0
       8|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00390625|[49, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=0
       9|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00195312|[55, 0, 0, 27]                                                             |  | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=0
      10|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00097656|[61, 0, 0, 30]                                                             |  | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=0
      11|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00048828|[67, 0, 0, 33]                                                             |  | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=0
      12|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00024414|[73, 0, 0, 36]                                                             |  | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=0
      13|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00012207|[79, 0, 0, 39]                                                             |  | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=0
      14|[-1.2, 1.0, 10000000000.0, 10000000000.0]                                       |100000000000000000000.0000000000000000|      0.00006104|[85, 0, 0, 42]                                                             |  | trying linear partial model with 5 points | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=0
