k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.1568681299686432, 0.7164589464664459, 0.8169791549444199, 0.7933062463998795, 0.9269077852368355, 0.7680920958518982, 0.9186391606926918, 0.7775508165359497, 0.8264445662498474, 0.8770873844623566, 1.088125303387642, 0.6998944580554962, 1.0895789861679077, 0.6923935115337372, 0.9736524932086468, 0.5981143414974213, 1.026446407660842, 0.9835156966000795, 0.9070048034191132, 1.4741837680339813, 0.7935618013143539, 1.0124449506402016]|  1.3576331138610840|      2.00000000|[280, 0, 0, 18]                                                            | | GPS sucess | actual_k=0
       2|[0.5726073086261749, 0.7287079067900777, 0.7131731063127518, 1.09332574903965, 0.9639968723058701, 0.2535659670829773, 0.92234644619748, 0.5456236451864243, 0.7161301374435425, 0.5068915486335754, 0.9690305292606354, -0.1755589544773102, 1.195898711681366, 1.3638898432254791, 0.4930473081767559, 0.0617521703243256, 1.2959624882787466, 0.3629806209355593, 0.2955350577831268, 2.106650084257126, 0.675342470407486, 1.2914958074688911]|  1.0847727060317993|      4.00000000|[559, 0, 0, 36]                                                            | | GPS sucess | actual_k=0
       3|[0.7147615253925323, 0.4942482830956578, 1.056179478764534, -0.5876759141683578, -0.00079245865345, -0.9098610281944275, 0.6628336342982948, 0.9525817185640335, 0.3756743669509888, 0.0356191396713257, 1.4715085327625275, -1.6392035782337189, 2.559875190258026, 1.7213867008686066, 1.53022725507617, -1.140743762254715, 1.9961394425481558, 0.7580324579030275, 0.706284910440445, 1.6928324699401855, 0.3248668611049652, 1.9080827310681343]|  0.7995784282684326|      8.00000000|[838, 0, 0, 54]                                                            | | GPS sucess | actual_k=0
       4|[-0.6849685609340668, -1.8837822554633021, -2.3620276898145676, -0.0413746684789658, -1.549362137913704, -1.427505910396576, -0.2545373407192528, 1.2041598111391068, -1.9439548254013062, -1.109363079071045, 1.5247289389371872, -4.73127868771553, 4.029091060161591, 2.0169701874256134, 0.4702831022441387, -2.871498614549637, 0.6350400801748037, -0.1100541781634092, 2.3689387142658234, 1.56682188808918, 0.5168933570384979, 1.063918597996235]|  0.5711104869842529|     16.00000000|[1117, 0, 0, 72]                                                           | | GPS sucess | actual_k=0
       5|[-0.6849685609340668, -1.8837822554633021, -2.3620276898145676, -0.0413746684789658, -1.549362137913704, -1.427505910396576, -0.2545373407192528, 1.2041598111391068, -1.9439548254013062, -1.109363079071045, 1.5247289389371872, -4.73127868771553, 4.029091060161591, 2.0169701874256134, 0.4702831022441387, -2.871498614549637, 0.6350400801748037, -0.1100541781634092, 2.3689387142658234, 1.56682188808918, 0.5168933570384979, 1.063918597996235]|  0.5711104869842529|      8.00000000|[1396, 0, 0, 90]                                                           |  | used quadratic model with 280 points | actual_k=0
       6|[0.6752326786518097, -1.774974430911243, -4.429287001490593, -2.211682304739952, -0.41752989590168, 0.0590277314186096, -0.1793851521797478, 0.1121658831834793, -1.7427553683519363, -0.5858718156814575, 0.5138107985258102, -4.819040767848492, 7.201041638851166, 1.7924625277519226, 1.2266515009105206, -4.872890740633011, -3.7439882401376963, -0.1141966790892184, 0.4220000803470612, 0.0988027602434158, -0.557842880487442, -0.2973785325884819]|  0.5088568329811096|     16.00000000|[1675, 0, 0, 108]                                                          | | GPS sucess | actual_k=0
       7|[0.6752326786518097, -1.774974430911243, -4.429287001490593, -2.211682304739952, -0.41752989590168, 0.0590277314186096, -0.1793851521797478, 0.1121658831834793, -1.7427553683519363, -0.5858718156814575, 0.5138107985258102, -4.819040767848492, 7.201041638851166, 1.7924625277519226, 1.2266515009105206, -4.872890740633011, -3.7439882401376963, -0.1141966790892184, 0.4220000803470612, 0.0988027602434158, -0.557842880487442, -0.2973785325884819]|  0.5088568329811096|      8.00000000|[1954, 0, 0, 126]                                                          |  | used quadratic model with 280 points | actual_k=0
       8|[0.6752326786518097, -1.774974430911243, -4.429287001490593, -2.211682304739952, -0.41752989590168, 0.0590277314186096, -0.1793851521797478, 0.1121658831834793, -1.7427553683519363, -0.5858718156814575, 0.5138107985258102, -4.819040767848492, 7.201041638851166, 1.7924625277519226, 1.2266515009105206, -4.872890740633011, -3.7439882401376963, -0.1141966790892184, 0.4220000803470612, 0.0988027602434158, -0.557842880487442, -0.2973785325884819]|  0.5088568329811096|      4.00000000|[2233, 0, 0, 144]                                                          |  | used quadratic model with 280 points | actual_k=0
       9|[0.5263611227273941, -1.7001883564516902, -4.712621673941612, -1.5934799164533615, -0.3261211588978767, -0.1078486740589142, -0.1554365274496377, -0.285637155175209, -1.7028320357203484, -0.9841750264167786, 0.5528192333877087, -3.350765220820904, 7.153604067862034, 2.2174014151096344, 0.196583341807127, -4.15394726395607, -4.482512975111604, -1.139267346356064, -0.3445192277431488, 2.2628767043352127, -1.6564681828022003, 0.333123691380024]|  0.4895392656326294|      8.00000000|[2512, 0, 0, 162]                                                          | | GPS sucess | actual_k=0
      10|[0.58795952424407, -2.3882643757387996, -2.494514212012291, -2.439483568072319, -0.1061811074614525, -0.5234425961971283, -0.2377649960108101, -1.8057817369699478, -1.881007008254528, -2.225346028804779, -0.2407437153160572, -3.2431861832737923, 4.341070212423801, 0.991785317659378, -1.341273594647646, -4.750491827726364, -5.747133994475007, -4.713120362255722, -3.3659442365169525, -0.4288094490766525, -3.4462514221668243, 1.8576866462826729]|  0.4635389745235443|     16.00000000|[2791, 0, 0, 180]                                                          | | GPS sucess | actual_k=0
      11|[0.58795952424407, -2.3882643757387996, -2.494514212012291, -2.439483568072319, -0.1061811074614525, -0.5234425961971283, -0.2377649960108101, -1.8057817369699478, -1.881007008254528, -2.225346028804779, -0.2407437153160572, -3.2431861832737923, 4.341070212423801, 0.991785317659378, -1.341273594647646, -4.750491827726364, -5.747133994475007, -4.713120362255722, -3.3659442365169525, -0.4288094490766525, -3.4462514221668243, 1.8576866462826729]|  0.4635389745235443|      8.00000000|[3070, 0, 0, 198]                                                          |  | used quadratic model with 280 points | actual_k=0
