k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.30554759502411, 150.02510715276003, -100.26681849360466, 1.5827487111091614, 2.261554032564163]|85484.3359375000000000|      2.00000000|[16, 1, 0, 1]                                                              | | GPS sucess | actual_k=1
       2|[47.68559777736664, 150.11098290979862, -100.518147200346, 2.42110013961792, 1.6192688643932343]|80173.6406250000000000|      4.00000000|[31, 2, 0, 2]                                                              | | GPS sucess | actual_k=1
       3|[47.4857489913702, 149.0030503422022, -98.90338012576103, 0.7270504236221313, 0.0491310060024261]|70961.5000000000000000|      8.00000000|[46, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
       4|[49.4721147865057, 153.24116899073124, -97.92749562859535, -2.5430320501327515, -4.575426489114761]|-100000002004087734272.0000000000000000|     16.00000000|[61, 4, 0, 4]                                                              | | GPS sucess | actual_k=1
       5|[49.4721147865057, 153.24116899073124, -97.92749562859535, -2.5430320501327515, -4.575426489114761]|-100000002004087734272.0000000000000000|      8.00000000|[90, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[49.4721147865057, 153.24116899073124, -97.92749562859535, -2.5430320501327515, -4.575426489114761]|-100000002004087734272.0000000000000000|      4.00000000|[118, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[49.4721147865057, 153.24116899073124, -97.92749562859535, -2.5430320501327515, -4.575426489114761]|-100000002004087734272.0000000000000000|      2.00000000|[147, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[49.4721147865057, 153.24116899073124, -97.92749562859535, -2.5430320501327515, -4.575426489114761]|-100000002004087734272.0000000000000000|      1.00000000|[175, 12, 0, 12]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[49.4721147865057, 153.24116899073124, -97.92749562859535, -2.5430320501327515, -4.575426489114761]|-100000002004087734272.0000000000000000|      0.50000000|[203, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[49.4721147865057, 153.24116899073124, -97.92749562859535, -2.5430320501327515, -4.575426489114761]|-100000002004087734272.0000000000000000|      0.25000000|[230, 16, 0, 16]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      11|[49.4721147865057, 153.24116899073124, -97.92749562859535, -2.5430320501327515, -4.575426489114761]|-100000002004087734272.0000000000000000|      0.12500000|[258, 18, 0, 18]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      12|[49.4721147865057, 153.24116899073124, -97.92749562859535, -2.5430320501327515, -4.575426489114761]|-100000002004087734272.0000000000000000|      0.06250000|[285, 20, 0, 20]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      13|[49.4721147865057, 153.24116899073124, -97.92749562859535, -2.5430320501327515, -4.575426489114761]|-100000002004087734272.0000000000000000|      0.03125000|[313, 22, 0, 22]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      14|[49.4721147865057, 153.24116899073124, -97.92749562859535, -2.5430320501327515, -4.575426489114761]|-100000002004087734272.0000000000000000|      0.01562500|[340, 24, 0, 24]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      15|[49.4721147865057, 153.24116899073124, -97.92749562859535, -2.5430320501327515, -4.575426489114761]|-100000002004087734272.0000000000000000|      0.00781250|[367, 26, 0, 26]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      16|[49.4721147865057, 153.24116899073124, -97.92749562859535, -2.5430320501327515, -4.575426489114761]|-100000002004087734272.0000000000000000|      0.00390625|[394, 28, 0, 28]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      17|[49.4721147865057, 153.24116899073124, -97.92749562859535, -2.5430320501327515, -4.575426489114761]|-100000002004087734272.0000000000000000|      0.00195312|[421, 30, 0, 30]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      18|[49.4721147865057, 153.24116899073124, -97.92749562859535, -2.5430320501327515, -4.575426489114761]|-100000002004087734272.0000000000000000|      0.00097656|[448, 32, 0, 32]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      19|[49.4721147865057, 153.24116899073124, -97.92749562859535, -2.5430320501327515, -4.575426489114761]|-100000002004087734272.0000000000000000|      0.00048828|[475, 34, 0, 34]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      20|[49.4721147865057, 153.24116899073124, -97.92749562859535, -2.5430320501327515, -4.575426489114761]|-100000002004087734272.0000000000000000|      0.00024414|[502, 36, 0, 36]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      21|[49.4721147865057, 153.24116899073124, -97.92749562859535, -2.5430320501327515, -4.575426489114761]|-100000002004087734272.0000000000000000|      0.00012207|[529, 38, 0, 38]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
