k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      | 14.2031250000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.5714635252952576, 0.1793725490570068]                                        |  1.7049882411956787|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[1.5714635252952576, 0.1793725490570068]                                        |  1.7049882411956787|      1.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[1.5714635252952576, 0.1793725490570068]                                        |  1.7049882411956787|      0.50000000|[11, 3, 2, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[2.0467920303344727, 0.0242508053779602]                                        |  0.6233060956001282|      1.00000000|[15, 4, 2, 6]                                                              | | GPS sucess | actual_k=1
       5|[2.0467920303344727, 0.0242508053779602]                                        |  0.6233060956001282|      0.50000000|[18, 5, 3, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[2.0467920303344727, 0.0242508053779602]                                        |  0.6233060956001282|      0.25000000|[22, 6, 4, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[2.1310298144817352, 0.2596313208341599]                                        |  0.3572573661804199|      0.50000000|[26, 7, 4, 11]                                                             | | GPS sucess | actual_k=1
       8|[2.6192248165607452, 0.3676391392946243]                                        |  0.0431348346173763|      1.00000000|[29, 8, 4, 12]                                                             | | GPS sucess | actual_k=1
       9|[2.6192248165607452, 0.3676391392946243]                                        |  0.0431348346173763|      0.50000000|[32, 9, 5, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[2.6192248165607452, 0.3676391392946243]                                        |  0.0431348346173763|      0.25000000|[36, 10, 6, 16]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[2.6192248165607452, 0.3676391392946243]                                        |  0.0431348346173763|      0.12500000|[40, 11, 7, 18]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[2.6192248165607452, 0.3676391392946243]                                        |  0.0431348346173763|      0.06250000|[44, 12, 8, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
