k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  6.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.7131323218345642, 0.9073363691568375]                                        |  3.7879736423492432|      2.00000000|[3, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[1.699535183608532, -0.6401657909154892]                                        |  0.2567572593688965|      4.00000000|[5, 2, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[1.699535183608532, -0.6401657909154892]                                        |  0.2567572593688965|      2.00000000|[7, 3, 1, 4]                                                               |  | used linear model with 4 points | iterate failure | actual_k=1
       4|[1.699535183608532, -0.6401657909154892]                                        |  0.2567572593688965|      1.00000000|[11, 3, 2, 6]                                                              |  | used linear model with 4 points | iterate failure | actual_k=1
       5|[1.7115410957485437, -0.7377623543143272]                                       |  0.1972669661045074|      2.00000000|[14, 4, 2, 7]                                                              | | GPS sucess | actual_k=1
       6|[1.7115410957485437, -0.7377623543143272]                                       |  0.1972669661045074|      1.00000000|[16, 5, 3, 9]                                                              |  | used linear model with 4 points | iterate failure | actual_k=1
       7|[1.7115410957485437, -0.7377623543143272]                                       |  0.1972669661045074|      0.50000000|[19, 6, 4, 11]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       8|[1.910169813579796, -1.1966159610918188]                                        |  0.0582818791031736|      1.00000000|[22, 7, 5, 13]                                                             |  | used linear model with 4 points | iterate success | actual_k=1
       9|[1.910169813579796, -1.1966159610918188]                                        |  0.0582818791031736|      0.50000000|[25, 8, 6, 15]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
      10|[1.9843710919682962, -1.2133366416117572]                                       |  0.0461163856089115|      1.00000000|[28, 9, 6, 16]                                                             | | GPS sucess | actual_k=1
      11|[1.9843710919682962, -1.2133366416117572]                                       |  0.0461163856089115|      0.50000000|[30, 10, 7, 18]                                                            |  | used linear model with 4 points | iterate failure | actual_k=1
      12|[2.0714921763007625, -1.0602782468220615]                                       |  0.0144904805347323|      1.00000000|[33, 11, 7, 19]                                                            | | GPS sucess | actual_k=1
      13|[2.0714921763007625, -1.0602782468220615]                                       |  0.0144904805347323|      0.50000000|[35, 12, 8, 21]                                                            |  | used linear model with 4 points | iterate failure | actual_k=1
