k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3593263328075409, -0.0430531911551952, 0.3550036251544952, 0.6165683269500732, -0.2091245949268341, -0.261063814163208, 0.2646602690219879, -0.1497357189655304, -0.1240075454115868, 0.0604626350104809, 0.1576367765665054, 0.0703822523355484, -0.01886753924191, -0.1881930083036423, -0.1536790430545807, 0.0922421962022781, -0.0698296800255775, -0.1341748088598251, 0.0237001497298479, -0.0727019906044006, 0.0741959437727928, 0.0867602527141571]| 13.5324354171752930|      2.00000000|[65, 0, 0, 1]                                                              | | GPS sucess | actual_k=0
       2|[1.0779789984226227, -0.1291595734655857, 1.0650108754634857, 1.8497049808502197, -0.6273737847805023, -0.783191442489624, 0.7939808070659637, -0.4492071568965912, -0.3720226362347603, 0.1813879050314426, -0.0014415234327316, 0.2111467570066452, -0.0566026177257299, -0.4523593038320541, -0.4610371291637421, 0.2767265886068344, -0.3757647052407265, -0.4025244265794754, 0.0711004491895437, -0.2181059718132019, -0.2322396114468575, 0.2602807581424713]| 12.1676645278930664|      4.00000000|[129, 0, 0, 2]                                                             | | GPS sucess | actual_k=0
       3|[1.0471987947821617, -0.8224419988691807, 1.6033861339092255, 2.1055063903331757, -0.1020070016384125, 0.4157434701919556, 1.4437645375728607, 0.2745830118656158, -1.1587320640683174, 1.1533441580832005, -0.2621873468160629, 1.1121279448270798, -0.987880727276206, 0.1219970732927322, 1.2153882086277008, 0.3051366321742535, -1.4097955003380775, -2.372770145535469, 0.3186727073043585, 0.3411561250686646, -1.0651745274662971, 0.4416922479867935]| 12.1427078247070312|      8.00000000|[193, 0, 0, 3]                                                             | | GPS sucess | actual_k=0
       4|[1.0471987947821617, -0.8224419988691807, 1.6033861339092255, 2.1055063903331757, -0.1020070016384125, 0.4157434701919556, 1.4437645375728607, 0.2745830118656158, -1.1587320640683174, 1.1533441580832005, -0.2621873468160629, 1.1121279448270798, -0.987880727276206, 0.1219970732927322, 1.2153882086277008, 0.3051366321742535, -1.4097955003380775, -2.372770145535469, 0.3186727073043585, 0.3411561250686646, -1.0651745274662971, 0.4416922479867935]| 12.1427078247070312|      4.00000000|[257, 0, 0, 4]                                                             |  | used linear model with 65 points | actual_k=0
       5|[1.0436741232406348, -0.9018304534256458, 1.665035903453827, 2.1346540097147226, -0.2051205113530159, -1.05753755569458, 2.2515028417110443, 0.3725959435105324, 1.1571379825472832, 1.2780954875051975, -0.8402219265699387, 1.8619701117277145, -0.5342366006225348, -1.2920978516340256, 2.613192468881607, 1.1680427305400372, -1.8503625765442848, -2.343672566115856, 0.8126210775226355, 1.3419355154037476, -0.4171271994709969, 0.7676040679216385]| 12.1426801681518555|      8.00000000|[321, 0, 0, 5]                                                             | | GPS sucess | actual_k=0
       6|[0.1690415858756751, -1.7570609040558338, 0.5797322392463684, 2.974806034937501, -0.2663316130638123, -2.481682538986206, 1.7616775631904602, -0.5709859356284142, 0.8494641408324242, 0.171589020639658, 0.5719213038682938, 2.0143339186906815, -1.5098505523055792, -1.645189717411995, 3.3671346604824066, 0.3353278748691082, -3.487494982779026, -2.6193465515971184, 1.1860065069049597, 1.3073732890188694, 0.4051147624850273, 1.2258985489606857]| 12.1415376663208008|     16.00000000|[385, 0, 0, 6]                                                             | | GPS sucess | actual_k=0
       7|[0.1549428997095674, -2.0746147222816944, 0.8263313174247742, 3.091396512463689, -0.0260521471500397, 3.1630184650421143, 4.992630779743195, -0.178934209048748, 10.112944327294827, 0.6705943383276463, -2.293779894709587, 5.0137025862932205, 0.3047259543091059, -7.301569417119026, 8.958351701498032, 3.786952268332243, -5.249763287603855, -2.9742138609290123, 3.1617999877780676, 5.310490850359201, 2.9973040744662285, 2.5295458287000656]| 12.1406068801879883|     32.00000000|[449, 0, 0, 7]                                                             | | GPS sucess | actual_k=0
       8|[0.1549428997095674, -2.0746147222816944, 0.8263313174247742, 3.091396512463689, -0.0260521471500397, 3.1630184650421143, 4.992630779743195, -0.178934209048748, 10.112944327294827, 0.6705943383276463, -2.293779894709587, 5.0137025862932205, 0.3047259543091059, -7.301569417119026, 8.958351701498032, 3.786952268332243, -5.249763287603855, -2.9742138609290123, 3.1617999877780676, 5.310490850359201, 2.9973040744662285, 2.5295458287000656]| 12.1406068801879883|     16.00000000|[513, 0, 0, 8]                                                             |  | used linear model with 65 points | actual_k=0
       9|[0.1248565928544849, -2.7524472065269947, 1.3523135781288147, 2.960773916915059, 0.4865663945674896, 3.5826353430747986, 5.397726833820343, 0.6039874032139778, 9.8579625710845, 1.6003040708601475, 0.0412716418504715, 4.456363752484322, 8.327351877465844, -7.655371651053429, 10.443241447210312, 10.249420892447233, -8.138832844793797, -0.1860726103186607, 9.304665645584464, -3.833895441144705, 4.038535587489605, 1.9618961662054062]| 12.1399393081665039|     32.00000000|[577, 0, 0, 9]                                                             | | GPS sucess | actual_k=0
      10|[0.1248565928544849, -2.7524472065269947, 1.3523135781288147, 2.960773916915059, 0.4865663945674896, 3.5826353430747986, 5.397726833820343, 0.6039874032139778, 9.8579625710845, 1.6003040708601475, 0.0412716418504715, 4.456363752484322, 8.327351877465844, -7.655371651053429, 10.443241447210312, 10.249420892447233, -8.138832844793797, -0.1860726103186607, 9.304665645584464, -3.833895441144705, 4.038535587489605, 1.9618961662054062]| 12.1399393081665039|     16.00000000|[641, 0, 0, 10]                                                            |  | used linear model with 65 points | actual_k=0
      11|[0.1248565928544849, -2.7524472065269947, 1.3523135781288147, 2.960773916915059, 0.4865663945674896, 3.5826353430747986, 5.397726833820343, 0.6039874032139778, 9.8579625710845, 1.6003040708601475, 0.0412716418504715, 4.456363752484322, 8.327351877465844, -7.655371651053429, 10.443241447210312, 10.249420892447233, -8.138832844793797, -0.1860726103186607, 9.304665645584464, -3.833895441144705, 4.038535587489605, 1.9618961662054062]| 12.1399393081665039|      8.00000000|[705, 0, 0, 11]                                                            |  | used linear model with 65 points | actual_k=0
      12|[0.063296185573563, -4.139012057334185, 2.429064095020294, 3.0308193881064653, 1.5372999608516693, 5.980505168437958, 5.604367509484291, 2.051567740738392, 8.284543715417385, 3.544216576963663, -1.343693658709526, 6.258326128125191, 6.464795658364892, -6.506658896803856, 13.796092122793198, 10.306240979582071, -10.206894434988499, -4.126564048230648, 8.59614666365087, -2.715371247380972, 2.3726657554507256, 2.3247191458940506]| 12.1389236450195312|     16.00000000|[769, 0, 0, 12]                                                            | | GPS sucess | actual_k=0
      13|[0.0332098787184805, -4.816844541579485, 2.9550463557243347, 2.9001967925578356, 2.0499185025691986, 6.400122046470642, 6.0094635635614395, 2.8344893530011177, 8.7830316349864, 4.473926309496164, 0.9913578778505325, 6.870996668934822, 14.48742158152163, -6.860461130738258, 15.280981868505478, 16.76870960369706, -13.09596399217844, -1.3384227976202965, 14.739012321457267, -11.859757538884878, 3.413897268474102, 2.596772387623787]| 12.1378078460693359|     32.00000000|[833, 0, 0, 13]                                                            | | GPS sucess | actual_k=0
      14|[0.0332098787184805, -4.816844541579485, 2.9550463557243347, 2.9001967925578356, 2.0499185025691986, 6.400122046470642, 6.0094635635614395, 2.8344893530011177, 8.7830316349864, 4.473926309496164, 0.9913578778505325, 6.870996668934822, 14.48742158152163, -6.860461130738258, 15.280981868505478, 16.76870960369706, -13.09596399217844, -1.3384227976202965, 14.739012321457267, -11.859757538884878, 3.413897268474102, 2.596772387623787]| 12.1378078460693359|     16.00000000|[897, 0, 0, 14]                                                            |  | used linear model with 65 points | actual_k=0
