k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[3.0, 0.1]                                                                      | 87.6860481455954357|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.4285364747047424, 0.9206274509429931]                                        | 81.4548721313476562|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[2.411121904850006, -1.079296612739563]                                         | 19.8179454803466797|      4.00000000|[7, 2, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[-1.1797351241111755, 0.6830156803131104]                                       |  2.5641508102416992|      8.00000000|[10, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
       4|[-1.1797351241111755, 0.6830156803131104]                                       |  2.5641508102416992|      4.00000000|[13, 4, 1, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[-1.1797351241111755, 0.6830156803131104]                                       |  2.5641508102416992|      2.00000000|[17, 5, 2, 7]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[0.7138417363166809, 0.0393029808998109]                                        |  1.7178488969802856|      4.00000000|[21, 6, 2, 8]                                                              | | GPS sucess | actual_k=1
       7|[0.7138417363166809, 0.0393029808998109]                                        |  1.7178488969802856|      2.00000000|[24, 7, 3, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[0.7138417363166809, 0.0393029808998109]                                        |  1.7178488969802856|      1.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[-0.27068692445755, 0.2145262420177461]                                         |  1.0299277305603027|      2.00000000|[32, 9, 4, 13]                                                             | | GPS sucess | actual_k=1
      10|[-0.27068692445755, 0.2145262420177461]                                         |  1.0299277305603027|      1.00000000|[35, 10, 5, 15]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.3263056874275208, -0.5877205073833465]                                       |  0.8629771471023560|      2.00000000|[39, 11, 5, 16]                                                            | | GPS sucess | actual_k=1
      12|[0.3263056874275208, -0.5877205073833465]                                       |  0.8629771471023560|      1.00000000|[42, 12, 6, 18]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[0.3263056874275208, -0.5877205073833465]                                       |  0.8629771471023560|      0.50000000|[46, 13, 6, 19]                                                            |  | used linear model with 5 points | actual_k=1
      14|[0.3263056874275208, -0.5877205073833465]                                       |  0.8629771471023560|      0.25000000|[49, 14, 7, 21]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
