k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.20521664619446, 149.7109363079071, -100.4874484539032, 0.8179105669260025, 2.118316188454628]|85051.7578125000000000|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[48.42118835449219, 148.87238496541977, -101.6535017490387, 1.9410710483789444, 1.871410772204399]|82093.2031250000000000|      4.00000000|[9, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[48.42118835449219, 148.87238496541977, -101.6535017490387, 1.9410710483789444, 1.871410772204399]|82093.2031250000000000|      2.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[46.76560914516449, 149.54251992702484, -101.21602126955986, 2.1965488344430923, 1.1275571435689926]|77012.7734375000000000|      4.00000000|[21, 0, 0, 5]                                                              | | GPS sucess | actual_k=0
       5|[43.379066824913025, 150.308249771595, -103.0411305129528, 1.6436127573251724, 1.6827402561903]|66560.9765625000000000|      8.00000000|[25, 0, 0, 6]                                                              | | GPS sucess | actual_k=0
       6|[38.044577956199646, 145.13114577531815, -103.38458847999573, 2.6896456629037857, 4.426585003733635]|51042.9726562500000000|     16.00000000|[29, 0, 0, 7]                                                              | | GPS sucess | actual_k=0
       7|[24.427589774131775, 153.1667645573616, -104.40592503547668, 1.4356855303049088, 2.585156485438347]|23366.1367187500000000|     32.00000000|[33, 0, 0, 8]                                                              | | GPS sucess | actual_k=0
       8|[24.427589774131775, 153.1667645573616, -104.40592503547668, 1.4356855303049088, 2.585156485438347]|23366.1367187500000000|     16.00000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[24.427589774131775, 153.1667645573616, -104.40592503547668, 1.4356855303049088, 2.585156485438347]|23366.1367187500000000|      8.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[18.143337607383728, 155.19347792863846, -105.3480606675148, 5.3095556646585464, 4.707917019724846]|14331.0185546875000000|     16.00000000|[53, 0, 0, 13]                                                             | | GPS sucess | actual_k=0
      11|[6.2473167181015015, 154.43084633350372, -100.40301758050919, 7.711280003190041, 13.855669781565666]|4545.0048828125000000|     32.00000000|[57, 0, 0, 14]                                                             | | GPS sucess | actual_k=0
      12|[6.2473167181015015, 154.43084633350372, -100.40301758050919, 7.711280003190041, 13.855669781565666]|4545.0048828125000000|     16.00000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[-2.1435467004776, 146.5780121088028, -101.4679736495018, 3.001456394791603, 3.8252237290143967]|2020.5361328125000000|     32.00000000|[69, 0, 0, 17]                                                             | | GPS sucess | actual_k=0
      14|[11.728325247764587, 138.86708080768585, -104.86095970869064, -12.73342977464199, -18.824585154652596]|-100000002004087734272.0000000000000000|     64.00000000|[73, 0, 0, 18]                                                             | | GPS sucess | actual_k=0
      15|[11.728325247764587, 138.86708080768585, -104.86095970869064, -12.73342977464199, -18.824585154652596]|-100000002004087734272.0000000000000000|     32.00000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      16|[11.728325247764587, 138.86708080768585, -104.86095970869064, -12.73342977464199, -18.824585154652596]|-100000002004087734272.0000000000000000|     16.00000000|[88, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      17|[11.728325247764587, 138.86708080768585, -104.86095970869064, -12.73342977464199, -18.824585154652596]|-100000002004087734272.0000000000000000|      8.00000000|[95, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      18|[11.728325247764587, 138.86708080768585, -104.86095970869064, -12.73342977464199, -18.824585154652596]|-100000002004087734272.0000000000000000|      4.00000000|[102, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      19|[11.728325247764587, 138.86708080768585, -104.86095970869064, -12.73342977464199, -18.824585154652596]|-100000002004087734272.0000000000000000|      2.00000000|[109, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      20|[11.728325247764587, 138.86708080768585, -104.86095970869064, -12.73342977464199, -18.824585154652596]|-100000002004087734272.0000000000000000|      1.00000000|[116, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      21|[11.728325247764587, 138.86708080768585, -104.86095970869064, -12.73342977464199, -18.824585154652596]|-100000002004087734272.0000000000000000|      0.50000000|[123, 0, 0, 32]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      22|[11.728325247764587, 138.86708080768585, -104.86095970869064, -12.73342977464199, -18.824585154652596]|-100000002004087734272.0000000000000000|      0.25000000|[130, 0, 0, 34]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      23|[11.728325247764587, 138.86708080768585, -104.86095970869064, -12.73342977464199, -18.824585154652596]|-100000002004087734272.0000000000000000|      0.12500000|[137, 0, 0, 36]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      24|[11.728325247764587, 138.86708080768585, -104.86095970869064, -12.73342977464199, -18.824585154652596]|-100000002004087734272.0000000000000000|      0.06250000|[144, 0, 0, 38]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      25|[11.728325247764587, 138.86708080768585, -104.86095970869064, -12.73342977464199, -18.824585154652596]|-100000002004087734272.0000000000000000|      0.03125000|[151, 0, 0, 40]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      26|[11.728325247764587, 138.86708080768585, -104.86095970869064, -12.73342977464199, -18.824585154652596]|-100000002004087734272.0000000000000000|      0.01562500|[158, 0, 0, 42]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      27|[11.728325247764587, 138.86708080768585, -104.86095970869064, -12.73342977464199, -18.824585154652596]|-100000002004087734272.0000000000000000|      0.00781250|[165, 0, 0, 44]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      28|[11.728325247764587, 138.86708080768585, -104.86095970869064, -12.73342977464199, -18.824585154652596]|-100000002004087734272.0000000000000000|      0.00390625|[172, 0, 0, 46]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      29|[11.728325247764587, 138.86708080768585, -104.86095970869064, -12.73342977464199, -18.824585154652596]|-100000002004087734272.0000000000000000|      0.00195312|[179, 0, 0, 48]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      30|[11.728325247764587, 138.86708080768585, -104.86095970869064, -12.73342977464199, -18.824585154652596]|-100000002004087734272.0000000000000000|      0.00097656|[186, 0, 0, 50]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
