k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-506.0, -506.2]                                                                |25614.3346824171749176|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-504.1102923154831, -505.5450153470039]                                        |25485.6445312500000000|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[-502.2751568555832, -504.7498567223549]                                        |25353.3476562500000000|      4.00000000|[9, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[-498.72380125522614, -502.90923882722853]                                      |25082.1621093750000000|      8.00000000|[13, 0, 0, 3]                                                              | | GPS sucess | actual_k=0
       4|[-496.42476975917816, -495.24670268297194]                                      |24585.5234375000000000|     16.00000000|[17, 0, 0, 4]                                                              | | GPS sucess | actual_k=0
       5|[-482.33141458034515, -487.6719188809395]                                       |23524.1347656250000000|     32.00000000|[21, 0, 0, 5]                                                              | | GPS sucess | actual_k=0
       6|[-461.1339410543442, -463.69970322847365]                                       |21383.0957031250000000|     64.00000000|[25, 0, 0, 6]                                                              | | GPS sucess | actual_k=0
       7|[-404.99571549892426, -348.6671028256416]                                       |14279.9365234375000000|    128.00000000|[29, 0, 0, 7]                                                              | | GPS sucess | actual_k=0
       8|[-233.68672502040863, -158.4324073910713]                                       |3986.1030273437500000|    256.00000000|[33, 0, 0, 8]                                                              | | GPS sucess | actual_k=0
       9|[-75.43077409267426, 42.79151533842088]                                         |376.3898620605468750|    512.00000000|[37, 0, 0, 9]                                                              | | GPS sucess | actual_k=0
      10|[-75.43077409267426, 42.79151533842088]                                         |376.3898620605468750|    256.00000000|[41, 0, 0, 10]                                                             |  | used linear model with 5 points | actual_k=0
      11|[-75.43077409267426, 42.79151533842088]                                         |376.3898620605468750|    128.00000000|[45, 0, 0, 11]                                                             |  | used linear model with 5 points | actual_k=0
      12|[-75.43077409267426, 42.79151533842088]                                         |376.3898620605468750|     64.00000000|[49, 0, 0, 12]                                                             |  | used linear model with 5 points | actual_k=0
      13|[-5.709414839744568, -64.55340958833693]                                        |209.9995117187500000|    128.00000000|[53, 0, 0, 13]                                                             | | GPS sucess | actual_k=0
      14|[-5.709414839744568, -64.55340958833693]                                        |209.9995117187500000|     64.00000000|[57, 0, 0, 14]                                                             |  | used linear model with 5 points | actual_k=0
      15|[0.4728132486343384, -0.8527031064033395]                                       |  0.0484746471047401|    128.00000000|[61, 0, 0, 15]                                                             | | GPS sucess | actual_k=0
      16|[0.4728132486343384, -0.8527031064033395]                                       |  0.0484746471047401|     64.00000000|[65, 0, 0, 16]                                                             |  | used linear model with 5 points | actual_k=0
      17|[0.4728132486343384, -0.8527031064033395]                                       |  0.0484746471047401|     32.00000000|[69, 0, 0, 17]                                                             |  | used linear model with 5 points | actual_k=0
      18|[0.4728132486343384, -0.8527031064033395]                                       |  0.0484746471047401|     16.00000000|[73, 0, 0, 18]                                                             |  | used linear model with 5 points | actual_k=0
      19|[0.4728132486343384, -0.8527031064033395]                                       |  0.0484746471047401|      8.00000000|[77, 0, 0, 19]                                                             |  | used linear model with 5 points | actual_k=0
      20|[0.4728132486343384, -0.8527031064033395]                                       |  0.0484746471047401|      4.00000000|[81, 0, 0, 20]                                                             |  | used linear model with 5 points | actual_k=0
