k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 5.0]                                                                      |13421.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.5714635252952576, 4.179372549057007]                                         |1660.3099365234375000|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[1.5540489554405212, 2.1794484853744507]                                        | 81.6989898681640625|      4.00000000|[7, 2, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[1.5540489554405212, 2.1794484853744507]                                        | 81.6989898681640625|      2.00000000|[10, 3, 1, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.9335619807243347, 0.2781342267990112]                                        | 33.8507461547851562|      4.00000000|[14, 4, 1, 5]                                                              | | GPS sucess | actual_k=1
       5|[0.9335619807243347, 0.2781342267990112]                                        | 33.8507461547851562|      2.00000000|[17, 5, 2, 7]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[0.9335619807243347, 0.2781342267990112]                                        | 33.8507461547851562|      1.00000000|[21, 6, 3, 9]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[-0.0079600811004639, 0.6150854527950287]                                       |  0.0898711234331131|      2.00000000|[25, 7, 3, 10]                                                             | | GPS sucess | actual_k=1
       8|[-0.0079600811004639, 0.6150854527950287]                                       |  0.0898711234331131|      1.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[-0.0079600811004639, 0.6150854527950287]                                       |  0.0898711234331131|      0.50000000|[32, 9, 5, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[-0.0079600811004639, 0.6150854527950287]                                       |  0.0898711234331131|      0.25000000|[36, 10, 6, 16]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[-0.0079600811004639, 0.6150854527950287]                                       |  0.0898711234331131|      0.12500000|[40, 11, 7, 18]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[-0.0079600811004639, 0.6150854527950287]                                       |  0.0898711234331131|      0.06250000|[44, 12, 8, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
