k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.48842841386795, 149.35530173778534, -100.43029099702835, 1.3425465524196625, 2.1140685230493546]|85927.8671875000000000|      2.00000000|[13, 4, 0, 1]                                                              | | GPS sucess | actual_k=4
       2|[48.39232701063156, 148.91578257083893, -101.65569216012955, 2.2944221198558807, 2.3736440390348434]|82007.2812500000000000|      4.00000000|[25, 8, 0, 2]                                                              | | GPS sucess | actual_k=4
       3|[46.40652769804001, 147.5407830476761, -99.77938956022263, 1.6826231777668, 0.1193098276853561]|72840.0546875000000000|      8.00000000|[37, 12, 0, 3]                                                             | | GPS sucess | actual_k=4
       4|[44.4992693066597, 149.7085291147232, -96.95884817838669, -3.361836165189743, -3.6583050042390823]|-100000002004087734272.0000000000000000|     16.00000000|[49, 16, 0, 4]                                                             | | GPS sucess | actual_k=4
       5|[44.4992693066597, 149.7085291147232, -96.95884817838669, -3.361836165189743, -3.6583050042390823]|-100000002004087734272.0000000000000000|      8.00000000|[73, 24, 0, 6]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[44.4992693066597, 149.7085291147232, -96.95884817838669, -3.361836165189743, -3.6583050042390823]|-100000002004087734272.0000000000000000|      4.00000000|[97, 32, 0, 8]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       7|[44.4992693066597, 149.7085291147232, -96.95884817838669, -3.361836165189743, -3.6583050042390823]|-100000002004087734272.0000000000000000|      2.00000000|[121, 40, 0, 10]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       8|[44.4992693066597, 149.7085291147232, -96.95884817838669, -3.361836165189743, -3.6583050042390823]|-100000002004087734272.0000000000000000|      1.00000000|[145, 48, 0, 12]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[44.4992693066597, 149.7085291147232, -96.95884817838669, -3.361836165189743, -3.6583050042390823]|-100000002004087734272.0000000000000000|      0.50000000|[168, 56, 0, 14]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      10|[44.4992693066597, 149.7085291147232, -96.95884817838669, -3.361836165189743, -3.6583050042390823]|-100000002004087734272.0000000000000000|      0.25000000|[191, 64, 0, 16]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      11|[44.4992693066597, 149.7085291147232, -96.95884817838669, -3.361836165189743, -3.6583050042390823]|-100000002004087734272.0000000000000000|      0.12500000|[215, 72, 1, 19]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=4
      12|[44.4992693066597, 149.7085291147232, -96.95884817838669, -3.361836165189743, -3.6583050042390823]|-100000002004087734272.0000000000000000|      0.06250000|[239, 80, 2, 22]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=4
      13|[44.4992693066597, 149.7085291147232, -96.95884817838669, -3.361836165189743, -3.6583050042390823]|-100000002004087734272.0000000000000000|      0.03125000|[262, 88, 2, 24]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      14|[44.4992693066597, 149.7085291147232, -96.95884817838669, -3.361836165189743, -3.6583050042390823]|-100000002004087734272.0000000000000000|      0.01562500|[285, 96, 2, 26]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      15|[44.4992693066597, 149.7085291147232, -96.95884817838669, -3.361836165189743, -3.6583050042390823]|-100000002004087734272.0000000000000000|      0.00781250|[308, 104, 2, 28]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      16|[44.4992693066597, 149.7085291147232, -96.95884817838669, -3.361836165189743, -3.6583050042390823]|-100000002004087734272.0000000000000000|      0.00390625|[331, 112, 2, 30]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      17|[44.4992693066597, 149.7085291147232, -96.95884817838669, -3.361836165189743, -3.6583050042390823]|-100000002004087734272.0000000000000000|      0.00195312|[354, 120, 2, 32]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      18|[44.4992693066597, 149.7085291147232, -96.95884817838669, -3.361836165189743, -3.6583050042390823]|-100000002004087734272.0000000000000000|      0.00097656|[377, 128, 2, 34]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      19|[44.4992693066597, 149.7085291147232, -96.95884817838669, -3.361836165189743, -3.6583050042390823]|-100000002004087734272.0000000000000000|      0.00048828|[400, 136, 2, 36]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      20|[44.4992693066597, 149.7085291147232, -96.95884817838669, -3.361836165189743, -3.6583050042390823]|-100000002004087734272.0000000000000000|      0.00024414|[423, 144, 2, 38]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      21|[44.4992693066597, 149.7085291147232, -96.95884817838669, -3.361836165189743, -3.6583050042390823]|-100000002004087734272.0000000000000000|      0.00012207|[447, 152, 3, 41]                                                          |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=4
      22|[44.4992693066597, 149.7085291147232, -96.95884817838669, -3.361836165189743, -3.6583050042390823]|-100000002004087734272.0000000000000000|      0.00006104|[470, 160, 3, 43]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      23|[44.4992693066597, 149.7085291147232, -96.95884817838669, -3.361836165189743, -3.6583050042390823]|-100000002004087734272.0000000000000000|      0.00003052|[493, 168, 3, 45]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      24|[44.4992693066597, 149.7085291147232, -96.95884817838669, -3.361836165189743, -3.6583050042390823]|-100000002004087734272.0000000000000000|      0.00001526|[516, 176, 3, 47]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      25|[44.4992693066597, 149.7085291147232, -96.95884817838669, -3.361836165189743, -3.6583050042390823]|-100000002004087734272.0000000000000000|      0.00000763|[539, 184, 3, 49]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      26|[44.4992693066597, 149.7085291147232, -96.95884817838669, -3.361836165189743, -3.6583050042390823]|-100000002004087734272.0000000000000000|      0.00000381|[562, 192, 3, 51]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
