k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0]|24876.8647026020043995|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2712907686829567, 0.9312790557742119, -1.0970190435647964, 1.1727188378572464, -1.2492303669452667, 1.254969835281372, -1.1354218244552612, 1.0827438309788704, -1.1421121701598167, 0.9875145554542542, -1.1576421864330768, 0.9812172446399927, -1.0291798084974288, 0.9508732259273529, -1.1545981176197528, 1.0071268267929554, -1.0419058918952941, 1.031280990689993, -1.326677080988884, 0.8382366001605988, -1.292674471437931, 1.036513939499855, -1.1620135836303234, 1.0238668955862522, -1.4594976425170898, 1.0294882021844387, -1.0614054918289184, 0.8543081134557724, -1.2769119188189506, 1.0143693909049034, -1.194216535706073, 0.9245707094669342, -1.1968265742063522, 1.1241767406463623, -1.1528439976274967, 0.9773881956934929, -1.122159619629383, 1.0122561734169722, -1.2914875492453575, 0.9605039358139038, -1.2377082079648971, 1.0652458891272545, -1.1895763993263244, 0.8957462459802628, -1.0562205582857132, 1.013080546632409, -1.0880474343895912, 0.8683275282382965, -1.1571009501814842, 1.1400115489959717, -1.1343260005116462, 0.914754644036293, -1.2840654969215393, 1.0023392816074193, -1.111649078130722, 0.9485253803431988, -1.1426755607128143, 0.9876551143825054, -1.3460978835821151, 0.8712480962276459, -1.4343330234289169, 0.8911892995238304, -0.9748921513557434, 0.9121223241090775, -1.2500282868742942, 1.0417690314352512, -1.1427343904972076, 0.9041200429201126, -1.0477241694927215, 1.1011368781328201, -1.1667293056845665, 0.9140102863311768, -1.1312091246247291, 1.078077033162117, -1.2325869470834732, 1.0196085907518864, -1.2080720093101263, 0.933137483894825, -1.2371503084897995, 1.0747011601924896, -1.116400447487831, 0.9853035807609558, -1.1410063177347183, 0.9786667618900537, -1.3521916389465332, 0.7004837989807129, -1.2091599561274051, 0.8773473054170609, -1.1578678347170352, 1.058690868318081, -1.194978342205286, 1.1738337874412537, -1.2529648773372173, 0.9748478308320045, -1.227103029191494, 0.8094208836555481, -1.0950648307800293, 1.0315873473882675, -1.1681595340371131, 1.045588232576847]|24758.9589843750000000|      2.00000000|[16, 1, 0, 1]                                                              | | GPS sucess | actual_k=1
       2|[-1.2343136920069522, 0.8938619669324761, -1.0044658900332704, 1.1315167661119507, -1.057975622600899, 1.0609043209325464, -0.9446112357210411, 0.7719415567255992, -1.121030294667855, 0.8714188691520018, -1.3735659611965487, 1.2066980948363606, -0.9685404344257614, 0.9013721554958845, -1.102445313345831, 0.3552310028739624, -1.0037282974401354, 0.7859509437376377, -1.339283428223498, 0.8566357762128867, -1.8395660549603603, 0.6996285671674627, -1.2023928026679638, 0.7864353433519382, -1.1428037191580303, 0.6034818689361117, -1.0693770569451448, 0.6500823573551741, -1.2078541793111215, 0.9728082576236231, -1.2621345652974458, 1.0118477655657063, -1.1596129140938223, 0.7060349757683109, -1.1312363291641059, 0.8217353467588876, -1.1177957894122583, 1.1853279807380053, -1.312464994977161, 0.8569333085116423, -1.5064849807402665, 1.023246680465588, -1.0571062483467326, 0.7459208016394152, -1.2173117901967763, 1.1628782567675209, -1.3731978789588886, 0.7198710674556243, -1.292717602686246, 0.9552415801484913, -1.38126438038271, 0.7937051418050314, -1.1809820554621167, 0.8323889146501158, -1.0792853123610806, 0.868524464036264, -1.1407596988310575, 1.0926321033319348, -1.4195966695184015, 0.5842353208158684, -1.0069411946798112, 0.7000558305139881, -1.07995909717592, 1.1726730586204077, -0.9499598357662458, 1.176823452661172, -0.9228993210151316, 0.890529107476906, -1.1754451591121975, 0.7308508273495149, -1.15466207637221, 0.4728741034370531, -0.939388919659018, 0.8252466195916011, -1.1451692408906191, 0.8174343965617623, -0.9572875717491807, 0.6674093248133286, -1.1727484764894067, 0.995086610599378, -1.027992941034955, 0.9372238598940124, -1.2150871837227757, 0.8534272578510673, -1.4032106176184476, 0.8372903957766888, -0.9850853841347024, 0.9343644712261642, -0.8812114062523857, 1.0729396367712762, -1.21157542163647, 1.0522709126847212, -1.0968321403537773, 0.8873631213003323, -1.092677145635528, 1.0397855832387985, -0.8834624475555637, 0.8805551555988889, -1.3307355946238315, 1.3395610990674736]|22113.7812500000000000|      4.00000000|[70, 5, 0, 5]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | iterate success | actual_k=1
       3|[-1.2343136920069522, 0.8938619669324761, -1.0044658900332704, 1.1315167661119507, -1.057975622600899, 1.0609043209325464, -0.9446112357210411, 0.7719415567255992, -1.121030294667855, 0.8714188691520018, -1.3735659611965487, 1.2066980948363606, -0.9685404344257614, 0.9013721554958845, -1.102445313345831, 0.3552310028739624, -1.0037282974401354, 0.7859509437376377, -1.339283428223498, 0.8566357762128867, -1.8395660549603603, 0.6996285671674627, -1.2023928026679638, 0.7864353433519382, -1.1428037191580303, 0.6034818689361117, -1.0693770569451448, 0.6500823573551741, -1.2078541793111215, 0.9728082576236231, -1.2621345652974458, 1.0118477655657063, -1.1596129140938223, 0.7060349757683109, -1.1312363291641059, 0.8217353467588876, -1.1177957894122583, 1.1853279807380053, -1.312464994977161, 0.8569333085116423, -1.5064849807402665, 1.023246680465588, -1.0571062483467326, 0.7459208016394152, -1.2173117901967763, 1.1628782567675209, -1.3731978789588886, 0.7198710674556243, -1.292717602686246, 0.9552415801484913, -1.38126438038271, 0.7937051418050314, -1.1809820554621167, 0.8323889146501158, -1.0792853123610806, 0.868524464036264, -1.1407596988310575, 1.0926321033319348, -1.4195966695184015, 0.5842353208158684, -1.0069411946798112, 0.7000558305139881, -1.07995909717592, 1.1726730586204077, -0.9499598357662458, 1.176823452661172, -0.9228993210151316, 0.890529107476906, -1.1754451591121975, 0.7308508273495149, -1.15466207637221, 0.4728741034370531, -0.939388919659018, 0.8252466195916011, -1.1451692408906191, 0.8174343965617623, -0.9572875717491807, 0.6674093248133286, -1.1727484764894067, 0.995086610599378, -1.027992941034955, 0.9372238598940124, -1.2150871837227757, 0.8534272578510673, -1.4032106176184476, 0.8372903957766888, -0.9850853841347024, 0.9343644712261642, -0.8812114062523857, 1.0729396367712762, -1.21157542163647, 1.0522709126847212, -1.0968321403537773, 0.8873631213003323, -1.092677145635528, 1.0397855832387985, -0.8834624475555637, 0.8805551555988889, -1.3307355946238315, 1.3395610990674736]|22113.7812500000000000|      2.00000000|[189, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 81 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 94 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 107 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[-1.2530106892682507, 1.1443000809551271, -0.9604928756671162, 0.9236608623999969, -0.9841990056672938, 1.0955130978777994, -1.2139567906315476, 1.0109307982267413, -0.8563853110686859, 1.0608453826225288, -1.1114541998217207, 1.5835446352560558, -1.0690558143324287, 0.7802130775753258, -1.016731519034927, 0.434227341899898, -0.7989687857767499, 0.9708626613044637, -1.2924765087035643, 0.8280567351332258, -1.5381927362035934, 0.670095290506806, -1.0908321654117006, 0.8737022298886495, -1.1825952837389875, 0.3590952614164281, -1.1038718314520484, 0.7044483371670391, -0.9007116298415726, 0.9773998714350371, -1.1564218977712932, 0.9973465541830465, -0.9978478301748982, 0.6465697107646616, -1.2541732370925907, 1.1116002230709254, -0.5545835122505748, 0.9321695316237553, -1.1460278241733228, 0.6243797470401878, -1.2386004121241516, 0.9071646397388651, -1.2674180978660659, 0.4688413701400508, -1.4175282894414951, 1.1079914202806487, -1.3366494270589069, 0.8003928145186685, -1.1143288534671913, 1.042215453366645, -1.1948533686299958, 0.8343806713371608, -0.817694099504615, 0.6247914907156242, -0.849751960889672, 0.8138855465173163, -1.1962647017335242, 0.8672357535282696, -1.3580347743168169, 0.7316300917038998, -1.0045326152791703, 0.5958290425351199, -0.8055121983586673, 0.9846614207526198, -0.7186241121563379, 1.6044092719703968, -1.0817616136400932, 0.9096103374642899, -1.2004182545341235, 0.6151646020851844, -1.164196697685797, 0.8293989270959894, -0.6157770785344121, 1.0144620294896471, -1.0551475731205657, 0.5307876060511623, -0.6274435224564805, 0.8127985006058117, -1.2636173117355995, 0.8804181481688395, -1.0372138756159028, 0.8652066112507273, -1.2430440983492426, 0.7120755380154826, -1.1584842557548858, 0.5693549406819806, -0.7473089350186561, 0.4983002001717695, -0.7764888552529199, 1.0211316413212495, -1.2252667922495173, 0.8821502631938029, -1.208456263900705, 0.4640063108565563, -1.258791197989025, 1.0657998683218997, -0.7459154929333385, 1.260391977333711, -1.0735569139261563, 1.3309241788182729]|20679.5195312500000000|      4.00000000|[230, 17, 0, 17]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | iterate success | actual_k=1
       5|[-1.2530106892682507, 1.1443000809551271, -0.9604928756671162, 0.9236608623999969, -0.9841990056672938, 1.0955130978777994, -1.2139567906315476, 1.0109307982267413, -0.8563853110686859, 1.0608453826225288, -1.1114541998217207, 1.5835446352560558, -1.0690558143324287, 0.7802130775753258, -1.016731519034927, 0.434227341899898, -0.7989687857767499, 0.9708626613044637, -1.2924765087035643, 0.8280567351332258, -1.5381927362035934, 0.670095290506806, -1.0908321654117006, 0.8737022298886495, -1.1825952837389875, 0.3590952614164281, -1.1038718314520484, 0.7044483371670391, -0.9007116298415726, 0.9773998714350371, -1.1564218977712932, 0.9973465541830465, -0.9978478301748982, 0.6465697107646616, -1.2541732370925907, 1.1116002230709254, -0.5545835122505748, 0.9321695316237553, -1.1460278241733228, 0.6243797470401878, -1.2386004121241516, 0.9071646397388651, -1.2674180978660659, 0.4688413701400508, -1.4175282894414951, 1.1079914202806487, -1.3366494270589069, 0.8003928145186685, -1.1143288534671913, 1.042215453366645, -1.1948533686299958, 0.8343806713371608, -0.817694099504615, 0.6247914907156242, -0.849751960889672, 0.8138855465173163, -1.1962647017335242, 0.8672357535282696, -1.3580347743168169, 0.7316300917038998, -1.0045326152791703, 0.5958290425351199, -0.8055121983586673, 0.9846614207526198, -0.7186241121563379, 1.6044092719703968, -1.0817616136400932, 0.9096103374642899, -1.2004182545341235, 0.6151646020851844, -1.164196697685797, 0.8293989270959894, -0.6157770785344121, 1.0144620294896471, -1.0551475731205657, 0.5307876060511623, -0.6274435224564805, 0.8127985006058117, -1.2636173117355995, 0.8804181481688395, -1.0372138756159028, 0.8652066112507273, -1.2430440983492426, 0.7120755380154826, -1.1584842557548858, 0.5693549406819806, -0.7473089350186561, 0.4983002001717695, -0.7764888552529199, 1.0211316413212495, -1.2252667922495173, 0.8821502631938029, -1.208456263900705, 0.4640063108565563, -1.258791197989025, 1.0657998683218997, -0.7459154929333385, 1.260391977333711, -1.0735569139261563, 1.3309241788182729]|20679.5195312500000000|      2.00000000|[351, 26, 0, 26]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 82 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 95 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 108 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[-1.297201813325216, 1.1468080221757988, -0.8662180683157068, 0.9215349691309797, -0.9818287047226936, 0.9234172481927041, -1.0185405393973308, 0.8489784539922536, -0.968727357629999, 0.8387057968610232, -1.0808882276853242, 1.5211961384293191, -0.9384222989628539, 0.5804182793452889, -1.354076369418066, 0.3258371420237806, -0.728921621016118, 1.1801550758136563, -1.1315231315133778, 0.8670533365186041, -1.6179530691410664, 0.5613837677341973, -1.3143797749317006, 0.7171086847803345, -1.1402612960906524, 0.0694524319647792, -0.9333298505402858, 0.4090993571375637, -1.2401434670644842, 0.8525344841375138, -0.744751850970603, 0.9866394919438607, -0.9042506949137392, 1.0587367634234641, -1.473934434242696, 1.1878537271707221, -0.5893185654643557, 0.5685498767303743, -1.186313207466066, 0.7626116457123882, -1.3527235630556114, 1.0156682881371273, -1.204712679115512, 0.1987450432256817, -1.4949518065389538, 0.8125907904681036, -1.2807894971850198, 0.8606448585836907, -1.18883766948185, 1.098912811452594, -1.0395704899101081, 1.0149164612239168, -1.2125042158986499, 0.7741375847475436, -0.6908999143303072, 1.0217285391183284, -1.3176181752029266, 0.4395602063288188, -1.1894916810208187, 0.5813785783451701, -0.7708031255365215, 0.4832464368058069, -0.9810284326844723, 1.054782620212899, -0.6474280962999839, 1.3717472426489583, -0.8771647030126328, 0.7430252232995008, -1.2390630102066906, 0.8268683894088946, -1.0243114549457841, 0.945456961421793, -0.893776860034845, 0.7845717437495204, -0.8355746012549021, 0.4625279217666325, -0.4861138907069205, 0.7434383725499036, -1.350082252066813, 1.345629377246193, -1.0993738670310444, 0.9366399821811282, -0.7465201470305622, 0.9457514603258632, -0.9842265807485846, 0.7589201234774232, -0.3538165284824121, 0.5282185189965999, -0.6981226262564226, 0.7904373968951923, -0.9341340600017898, 1.0128715080938557, -0.9673003377664824, 0.1152483461747338, -1.2541748268845905, 1.0839067056891096, -0.6700587710601213, 0.9287557902547804, -0.8921435721557287, 1.5764474138151767]|19356.0117187500000000|      4.00000000|[379, 28, 0, 28]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       7|[-1.3961355210464097, 0.5061252387657791, -0.8230621125935961, 0.863688805076843, -1.0569651698704265, 0.9866987759443089, -1.061838082406105, -0.1258940354753474, -0.0251384955612786, 0.6691909468074285, -0.9036017085707739, 0.7649482193466799, -0.6232289099033363, 0.3535353387731537, -1.6628787686939597, 0.1930830007177246, -0.1046594849339323, 0.9096169782525245, -0.6518467323972426, -0.0119460174328508, -1.330943278620878, 0.8026559603748152, -1.0968601529811253, 0.7458277527140471, -1.166252726949691, -0.5930642353974687, -1.1968745033628982, 0.3415044522748797, -1.2083340718413962, 1.5613968914559826, -0.5182301611695193, 0.920569580053067, -0.7052101216214419, 0.3059355365262196, -1.695415617477685, 1.8819242305461858, -0.724837932617865, 0.5048213502912082, -0.5503908671472219, 0.6972450444289643, -0.7863536522832316, 1.1686834475949486, -1.0530169125370077, 0.1165067125858545, -1.6130910037203736, 1.3267895322476262, -1.4352844559431976, 0.7045113601449532, -1.666771404502017, 1.2865389379509988, -0.5188641937049995, 0.5003902705436666, -0.8621872808243864, 0.1953403133322201, -0.6547185489682347, 0.2770935768544406, -1.1229795304867485, 0.5197393495999606, -0.912932566007473, 0.1625871274072591, -0.8387053364069543, 0.2034236285612876, -1.4966463909042391, 0.7645092992393117, -0.8156141012634399, 1.4441414028106268, -0.4297011318839575, 1.2856681560518535, -1.0357989480206726, 0.7586579719566976, -0.6624624552155561, 1.4043622336194832, -0.7362747449393412, 0.7366185201907293, -0.1686471560358573, 0.1863908351960015, -0.7660850279616656, 0.1144588252097523, -1.3845087592859824, 0.5410617803801966, -1.2724097900626254, 0.3002436877161313, -1.217173497823028, 0.5298516480930751, -0.6756622849865807, 0.977467894286472, -0.53567570637856, -0.0470432805548774, -0.4896579330344693, 0.7462585194338558, -0.7317950124661603, 1.1689028377735935, -0.5696762963545254, 0.7645557307134654, -0.7948440086165798, 0.7548809774180393, -0.2104148949372733, 0.6965480421715873, -1.19151500408704, 1.6078520464061068]|18779.9453125000000000|      8.00000000|[473, 35, 0, 35]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 82 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
       8|[-1.3961355210464097, 0.5061252387657791, -0.8230621125935961, 0.863688805076843, -1.0569651698704265, 0.9866987759443089, -1.061838082406105, -0.1258940354753474, -0.0251384955612786, 0.6691909468074285, -0.9036017085707739, 0.7649482193466799, -0.6232289099033363, 0.3535353387731537, -1.6628787686939597, 0.1930830007177246, -0.1046594849339323, 0.9096169782525245, -0.6518467323972426, -0.0119460174328508, -1.330943278620878, 0.8026559603748152, -1.0968601529811253, 0.7458277527140471, -1.166252726949691, -0.5930642353974687, -1.1968745033628982, 0.3415044522748797, -1.2083340718413962, 1.5613968914559826, -0.5182301611695193, 0.920569580053067, -0.7052101216214419, 0.3059355365262196, -1.695415617477685, 1.8819242305461858, -0.724837932617865, 0.5048213502912082, -0.5503908671472219, 0.6972450444289643, -0.7863536522832316, 1.1686834475949486, -1.0530169125370077, 0.1165067125858545, -1.6130910037203736, 1.3267895322476262, -1.4352844559431976, 0.7045113601449532, -1.666771404502017, 1.2865389379509988, -0.5188641937049995, 0.5003902705436666, -0.8621872808243864, 0.1953403133322201, -0.6547185489682347, 0.2770935768544406, -1.1229795304867485, 0.5197393495999606, -0.912932566007473, 0.1625871274072591, -0.8387053364069543, 0.2034236285612876, -1.4966463909042391, 0.7645092992393117, -0.8156141012634399, 1.4441414028106268, -0.4297011318839575, 1.2856681560518535, -1.0357989480206726, 0.7586579719566976, -0.6624624552155561, 1.4043622336194832, -0.7362747449393412, 0.7366185201907293, -0.1686471560358573, 0.1863908351960015, -0.7660850279616656, 0.1144588252097523, -1.3845087592859824, 0.5410617803801966, -1.2724097900626254, 0.3002436877161313, -1.217173497823028, 0.5298516480930751, -0.6756622849865807, 0.977467894286472, -0.53567570637856, -0.0470432805548774, -0.4896579330344693, 0.7462585194338558, -0.7317950124661603, 1.1689028377735935, -0.5696762963545254, 0.7645557307134654, -0.7948440086165798, 0.7548809774180393, -0.2104148949372733, 0.6965480421715873, -1.19151500408704, 1.6078520464061068]|18779.9453125000000000|      4.00000000|[594, 44, 0, 44]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 70 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 83 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 96 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 109 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[-0.9649753409964377, 0.7428718852864767, -1.1805432033130117, 0.2491532989096598, -1.2503629742705369, 0.8901447114276952, -1.2200872577135033, -0.3015856161134518, 0.0426506476163377, 0.6751086881982673, -0.976976191646654, 0.3773227944697967, -0.5828085797721625, 0.1047604459656561, -1.2636071690256474, -0.2825560412695601, 0.0781499375532657, 0.9329671073184738, -0.4227772412769369, 0.2705957850582585, -0.9269182285646301, 0.4688850944329658, -0.9153711476526573, 0.7066321715876753, -1.0975352418318254, -0.4097082415252957, -0.5874549648282344, 0.1769765251254937, -0.7317147837731021, 1.0793039930386439, -0.7039226537570984, 0.6890903729694791, -1.1551992559264976, 0.147034934564028, -1.069144974943496, 1.6598355279976649, -0.0855456153377185, 0.5145336552707149, 0.3780815948235535, 0.5717923820767903, -0.5841410435168657, 0.7550711453226432, -0.6434837602018042, 0.8353502906191802, -1.10382504044685, 1.4927678319366344, -0.6393007759476, 0.7966658578089266, -1.770471915525595, 1.7106707516279935, -0.7391886268830918, 0.786850794982722, -0.4861346242848029, -0.0214828446672968, -0.4163465915702904, 0.0715492546207895, -1.461664469589799, 0.1778297352821762, -1.1510202139961088, -0.2581871744426478, -0.923959791983962, -0.2282458401088593, -1.3198871374244494, 0.2820641402519853, -1.1852244402045835, 1.7303398014613718, 0.4102435063511711, 1.095780537316543, -0.203632603582265, 0.822363504859987, -1.0229665715342444, 1.419757166077195, -1.5714928981225857, 0.0413188003389698, 0.5485738559075901, 0.352974073093122, -1.052859855930981, -0.1461144948378847, -0.9666551711783897, 0.3943667089254574, -1.295427577355974, -0.3046400870798729, -0.99385458569848, 0.3503747573253851, -0.8999597794879616, 1.280892528137147, -0.3800167307293684, 0.3654324061268307, 0.3031706805597497, 1.4376062750564151, -0.61802125506884, 1.3991905068365855, -1.3700823821556114, 0.0743316693102565, -1.244986324300926, 0.1993826667062734, -0.1551581262395193, 0.6154153744014804, -0.9097105767100034, 2.0940403662267286]|18760.4472656250000000|      8.00000000|[622, 46, 0, 46]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
      10|[-0.9649753409964377, 0.7428718852864767, -1.1805432033130117, 0.2491532989096598, -1.2503629742705369, 0.8901447114276952, -1.2200872577135033, -0.3015856161134518, 0.0426506476163377, 0.6751086881982673, -0.976976191646654, 0.3773227944697967, -0.5828085797721625, 0.1047604459656561, -1.2636071690256474, -0.2825560412695601, 0.0781499375532657, 0.9329671073184738, -0.4227772412769369, 0.2705957850582585, -0.9269182285646301, 0.4688850944329658, -0.9153711476526573, 0.7066321715876753, -1.0975352418318254, -0.4097082415252957, -0.5874549648282344, 0.1769765251254937, -0.7317147837731021, 1.0793039930386439, -0.7039226537570984, 0.6890903729694791, -1.1551992559264976, 0.147034934564028, -1.069144974943496, 1.6598355279976649, -0.0855456153377185, 0.5145336552707149, 0.3780815948235535, 0.5717923820767903, -0.5841410435168657, 0.7550711453226432, -0.6434837602018042, 0.8353502906191802, -1.10382504044685, 1.4927678319366344, -0.6393007759476, 0.7966658578089266, -1.770471915525595, 1.7106707516279935, -0.7391886268830918, 0.786850794982722, -0.4861346242848029, -0.0214828446672968, -0.4163465915702904, 0.0715492546207895, -1.461664469589799, 0.1778297352821762, -1.1510202139961088, -0.2581871744426478, -0.923959791983962, -0.2282458401088593, -1.3198871374244494, 0.2820641402519853, -1.1852244402045835, 1.7303398014613718, 0.4102435063511711, 1.095780537316543, -0.203632603582265, 0.822363504859987, -1.0229665715342444, 1.419757166077195, -1.5714928981225857, 0.0413188003389698, 0.5485738559075901, 0.352974073093122, -1.052859855930981, -0.1461144948378847, -0.9666551711783897, 0.3943667089254574, -1.295427577355974, -0.3046400870798729, -0.99385458569848, 0.3503747573253851, -0.8999597794879616, 1.280892528137147, -0.3800167307293684, 0.3654324061268307, 0.3031706805597497, 1.4376062750564151, -0.61802125506884, 1.3991905068365855, -1.3700823821556114, 0.0743316693102565, -1.244986324300926, 0.1993826667062734, -0.1551581262395193, 0.6154153744014804, -0.9097105767100034, 2.0940403662267286]|18760.4472656250000000|      4.00000000|[742, 55, 0, 55]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 81 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 94 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 107 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[-0.5931607622280537, 0.1004030842707556, -0.986457082388772, 0.4323356781861828, -0.4142523969760106, 1.120259792207114, -1.6084733158444324, -0.3039392519424007, 0.7655960008676687, 0.8249195089830383, -0.7297630566757121, 0.6958181994766143, -0.1143363090640877, -0.0561745903649773, -1.1765157711300944, -0.0996728106981387, -0.146179884208047, 0.6316766006663302, -0.3923956883900663, 0.3700858405084656, -0.7134451039204168, -0.0643931483035085, -0.6343183422945307, 0.2691123763269527, -1.2580364962772728, -0.0176913219741428, -0.1123250253290157, 0.1238751885937015, -1.1268673704291696, 0.7595892205945189, -0.774606966814326, 0.677244627573368, -1.767703461256863, 0.1117327196727507, -0.9747614251017328, 1.5262558090956513, 0.3172216298241143, 0.0554693010227206, 0.2207580890569079, 0.4382019935314095, -0.8100252756066725, 0.5458491740945026, -0.2083148577689144, 0.339352913769214, -0.7547235188821557, 0.758023862393073, -0.6897659323290041, 0.3823736656184116, -1.271057123973355, 1.1890502914085528, -0.3978013616608778, 1.5488625253790937, -0.1035688752381702, 0.0503016150473923, 0.5740383237503761, 0.263130790685302, -1.1107034695211206, 0.2999619458598541, -0.6763780182580246, 0.2163344272423422, -0.8531468010992566, -0.5768112259738276, -0.8419858304520091, -0.0900714350009383, -1.5841691580605466, 1.2114892776238326, 0.733505117156364, 0.7783986649544694, 0.1509534954058795, 0.6903893422821932, -1.156205887920407, 1.3314257217112497, -1.2456385522921787, -0.3713689110406223, 1.2849025413058957, 0.0467995458347915, -1.1054492443056991, 0.0043105685434895, -1.2260640913147274, 0.2989120847274068, -0.2182137604266301, -0.3699598312372984, -0.7922048595860453, 0.9476003608924998, -0.3490403781060247, 1.2563407328414589, -1.004985362252251, 0.8748711134250519, 0.5780141256229183, 0.9078638080847146, -0.2274088718591408, 1.138456719411692, -2.2919367327408833, 0.1793153427595905, -1.3913942096841132, -0.4930003139156178, -0.1687793982391139, 0.6896412225525244, -0.6219776339224582, 2.3011645417073487]|17494.1074218750000000|      8.00000000|[822, 61, 0, 61]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
