k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0]                                                                    | 17.1523467319888496|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.038025617599487, 9.726860284805298]                                          | 14.2376260757446289|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[11.39946436882019, 6.4982991218566895]                                         | 14.0445156097412109|      4.00000000|[7, 2, 0, 2]                                                               | | GPS sucess | actual_k=1
       3|[3.4354240894317627, 7.2559656500816345]                                        |  9.6175642013549805|      8.00000000|[10, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
       4|[3.4354240894317627, 7.2559656500816345]                                        |  9.6175642013549805|      4.00000000|[13, 5, 0, 5]                                                              |  | used linear model with 5 points | actual_k=1
       5|[1.4674323360698012, 3.7735801948657253]                                        |  8.4935326330325136|      8.00000000|[17, 6, 1, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       6|[1.4674323360698012, 3.7735801948657253]                                        |  8.4935326330325136|      4.00000000|[22, 7, 1, 10]                                                             |  | used linear model with 5 points | actual_k=1
       7|[5.367698744990089, 2.8859293474307277]                                         |  7.5723791122436523|      8.00000000|[25, 8, 1, 11]                                                             | | GPS sucess | actual_k=1
       8|[-2.6301640708668446, 3.070833207522891]                                        |  7.0237441062927246|     16.00000000|[28, 9, 1, 12]                                                             | | GPS sucess | actual_k=1
       9|[-2.6301640708668446, 3.070833207522891]                                        |  7.0237441062927246|      8.00000000|[32, 10, 1, 14]                                                            |  | used linear model with 5 points | actual_k=1
      10|[-2.6301640708668446, 3.070833207522891]                                        |  7.0237441062927246|      4.00000000|[36, 11, 1, 16]                                                            |  | used linear model with 5 points | actual_k=1
      11|[-2.6301640708668446, 3.070833207522891]                                        |  7.0237441062927246|      2.00000000|[40, 12, 1, 18]                                                            |  | used linear model with 5 points | actual_k=1
      12|[-1.0322450119184154, 1.868063619842288]                                        |  2.5715862335235036|      4.00000000|[44, 13, 2, 21]                                                            |  | used linear model with 5 points | iterate success | actual_k=1
