k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.34518772363663, 149.73058009147644, -100.49025827646255, 0.6384612321853638, 1.6999779045581818]|85538.7343750000000000|      2.00000000|[13, 4, 0, 1]                                                              | | GPS sucess | actual_k=4
       2|[48.403726637363434, 149.2224858403206, -99.67119413614273, 1.1307059526443481, 0.8634954392910004]|82482.5390625000000000|      4.00000000|[25, 8, 0, 2]                                                              | | GPS sucess | actual_k=4
       3|[46.037971556186676, 151.08343583345413, -101.68926984071732, 0.5624393224716187, 1.4891769587993622]|74994.9765625000000000|      8.00000000|[37, 12, 0, 3]                                                             | | GPS sucess | actual_k=4
       4|[45.25283640623093, 149.5521131157875, -105.1986466050148, 6.3762630224227905, 1.2735764533281326]|71614.8359375000000000|     16.00000000|[49, 16, 0, 4]                                                             | | GPS sucess | actual_k=4
       5|[38.68358439207077, 145.71431094408035, -98.82311540842056, 1.614477515220642, 6.087259963154793]|53533.0546875000000000|     32.00000000|[61, 20, 0, 5]                                                             | | GPS sucess | actual_k=4
       6|[36.537868678569794, 148.69664365053177, -79.31800562143326, -3.878698945045471, -10.206755921244621]|-100000002004087734272.0000000000000000|     64.00000000|[73, 24, 0, 6]                                                             | | GPS sucess | actual_k=4
       7|[36.537868678569794, 148.69664365053177, -79.31800562143326, -3.878698945045471, -10.206755921244621]|-100000002004087734272.0000000000000000|     32.00000000|[96, 32, 0, 8]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       8|[36.537868678569794, 148.69664365053177, -79.31800562143326, -3.878698945045471, -10.206755921244621]|-100000002004087734272.0000000000000000|     16.00000000|[119, 40, 0, 10]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[36.537868678569794, 148.69664365053177, -79.31800562143326, -3.878698945045471, -10.206755921244621]|-100000002004087734272.0000000000000000|      8.00000000|[142, 48, 0, 12]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      10|[36.537868678569794, 148.69664365053177, -79.31800562143326, -3.878698945045471, -10.206755921244621]|-100000002004087734272.0000000000000000|      4.00000000|[166, 56, 0, 14]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      11|[36.537868678569794, 148.69664365053177, -79.31800562143326, -3.878698945045471, -10.206755921244621]|-100000002004087734272.0000000000000000|      2.00000000|[187, 64, 0, 16]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      12|[36.537868678569794, 148.69664365053177, -79.31800562143326, -3.878698945045471, -10.206755921244621]|-100000002004087734272.0000000000000000|      1.00000000|[210, 72, 0, 18]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      13|[36.537868678569794, 148.69664365053177, -79.31800562143326, -3.878698945045471, -10.206755921244621]|-100000002004087734272.0000000000000000|      0.50000000|[233, 80, 0, 20]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      14|[36.537868678569794, 148.69664365053177, -79.31800562143326, -3.878698945045471, -10.206755921244621]|-100000002004087734272.0000000000000000|      0.25000000|[255, 88, 0, 22]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      15|[36.537868678569794, 148.69664365053177, -79.31800562143326, -3.878698945045471, -10.206755921244621]|-100000002004087734272.0000000000000000|      0.12500000|[276, 96, 0, 24]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      16|[36.537868678569794, 148.69664365053177, -79.31800562143326, -3.878698945045471, -10.206755921244621]|-100000002004087734272.0000000000000000|      0.06250000|[297, 104, 0, 26]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      17|[36.537868678569794, 148.69664365053177, -79.31800562143326, -3.878698945045471, -10.206755921244621]|-100000002004087734272.0000000000000000|      0.03125000|[318, 112, 0, 28]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      18|[36.537868678569794, 148.69664365053177, -79.31800562143326, -3.878698945045471, -10.206755921244621]|-100000002004087734272.0000000000000000|      0.01562500|[340, 120, 0, 30]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      19|[36.537868678569794, 148.69664365053177, -79.31800562143326, -3.878698945045471, -10.206755921244621]|-100000002004087734272.0000000000000000|      0.00781250|[361, 128, 0, 32]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      20|[36.537868678569794, 148.69664365053177, -79.31800562143326, -3.878698945045471, -10.206755921244621]|-100000002004087734272.0000000000000000|      0.00390625|[382, 136, 0, 34]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      21|[36.537868678569794, 148.69664365053177, -79.31800562143326, -3.878698945045471, -10.206755921244621]|-100000002004087734272.0000000000000000|      0.00195312|[403, 144, 0, 36]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      22|[36.537868678569794, 148.69664365053177, -79.31800562143326, -3.878698945045471, -10.206755921244621]|-100000002004087734272.0000000000000000|      0.00097656|[425, 152, 0, 38]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      23|[36.537868678569794, 148.69664365053177, -79.31800562143326, -3.878698945045471, -10.206755921244621]|-100000002004087734272.0000000000000000|      0.00048828|[446, 160, 0, 40]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      24|[36.537868678569794, 148.69664365053177, -79.31800562143326, -3.878698945045471, -10.206755921244621]|-100000002004087734272.0000000000000000|      0.00024414|[468, 168, 0, 42]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      25|[36.537868678569794, 148.69664365053177, -79.31800562143326, -3.878698945045471, -10.206755921244621]|-100000002004087734272.0000000000000000|      0.00012207|[490, 176, 0, 44]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      26|[36.537868678569794, 148.69664365053177, -79.31800562143326, -3.878698945045471, -10.206755921244621]|-100000002004087734272.0000000000000000|      0.00006104|[512, 184, 0, 46]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      27|[36.537868678569794, 148.69664365053177, -79.31800562143326, -3.878698945045471, -10.206755921244621]|-100000002004087734272.0000000000000000|      0.00003052|[534, 192, 0, 48]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      28|[36.537868678569794, 148.69664365053177, -79.31800562143326, -3.878698945045471, -10.206755921244621]|-100000002004087734272.0000000000000000|      0.00001526|[556, 200, 0, 50]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
