k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.3, 0.1, 100.0, 0.0, 0.3, 0.9, 100.0, 0.01, 0.3, 0.9, 100.0, 0.02, 0.4, 0.8, 100.0, 0.05, 0.4, 0.8, 100.0, 0.07, 0.45, 0.8, 100.0, 0.09, 0.5, 0.7, 100.0, 0.1, 0.5, 0.7, 100.0, 0.15, 0.5, 0.6, 100.0, 0.2, 0.5, 0.6, 100.0, 0.25, 0.6, 0.5, 100.0, 0.3, 0.6, 0.5, 100.0, 0.35, 0.6, 0.5, 100.0, 0.4, 0.6, 0.4, 100.0, 0.4, 0.7, 0.4, 100.0, 0.42, 0.7, 0.3, 100.0, 0.45, 0.75, 0.3, 100.0, 0.45, 0.75, 0.2, 100.0, 0.5, 0.8, 0.1, 100.0, 0.5, 0.8, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0]|1341.6625208673881389|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.06065360456705, 0.141142725944519, 0.3152836665511131, 0.0630746282637119, 99.9563411436975, -0.1260201632976532, 0.3875491052865982, 0.7669709265232086, 99.93010731041431, 0.0509007966518402, 0.2271030649542808, 0.8853482721373439, 99.87858522683382, 0.0988254365324974, 0.2377721309661865, 0.8024117752909661, 100.02450371719897, -0.0378272652626038, 0.4477386899292469, 0.7804579485207797, 100.05224119499326, -0.0009559693932533, 0.4383539387956262, 0.6855379074811936, 100.03863359615207, 0.0770673399418592, 0.517146859318018, 0.6992933040484786, 100.0491371229291, 0.0041806682944298, 0.4377317242324352, 0.7088399406522512, 99.9714538846165, 0.1038187384605408, 0.5162660907953978, 0.4795090988278389, 99.86199663579464, 0.2874010249972344, 0.4551873169839382, 0.6269425362348556, 99.73041859269142, 0.276733597740531, 0.468880957365036, 0.6034491211175919, 100.13035157322884, 0.3771448314189911, 0.5602130427956581, 0.2890739440917969, 100.04437776654959, 0.4457680717110634, 0.4813665211200714, 0.5404125899076462, 99.98161460086703, 0.4484991632401943, 0.836206367611885, 0.3897023923695088, 100.15033906698227, 0.5271156966686249, 0.6282448664307594, 0.4043359794653952, 99.94826363772154, 0.3337479141354561, 0.8300150901079177, 0.4434963047504425, 99.94157231599092, 0.5402941450476646, 0.6204037666320801, 0.5006750106811524, 100.09000287950039, 0.5078244514763355, 0.8436826691031456, 0.1574100188910961, 99.71648836135864, 0.42385184019804, 0.750092438608408, 0.1222546141594648, 100.08766947686672, 0.4199778735637665, 0.7298420324921608, 0.1138114854693413, 299.9424313493073, 299.91546177119017, 299.9824857842177, 299.94454734027386, 300.09482626616955, 299.883414901793, 300.0317653492093, 300.02153777331114, 300.14373821020126, 300.07670506089926, 300.1112082526088, 299.9580616168678, 300.06641188263893, 299.98661058954895, 299.89672788232565, 299.6980223953724, 300.13343457877636, 299.9689184445888, 300.1131489574909]|1201.3857421875000000|      2.00000000|[69, 24, 0, 6]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 36 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 47 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 58 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=4
       2|[100.06065360456705, 0.141142725944519, 0.3152836665511131, 0.0630746282637119, 99.9563411436975, -0.1260201632976532, 0.3875491052865982, 0.7669709265232086, 99.93010731041431, 0.0509007966518402, 0.2271030649542808, 0.8853482721373439, 99.87858522683382, 0.0988254365324974, 0.2377721309661865, 0.8024117752909661, 100.02450371719897, -0.0378272652626038, 0.4477386899292469, 0.7804579485207797, 100.05224119499326, -0.0009559693932533, 0.4383539387956262, 0.6855379074811936, 100.03863359615207, 0.0770673399418592, 0.517146859318018, 0.6992933040484786, 100.0491371229291, 0.0041806682944298, 0.4377317242324352, 0.7088399406522512, 99.9714538846165, 0.1038187384605408, 0.5162660907953978, 0.4795090988278389, 99.86199663579464, 0.2874010249972344, 0.4551873169839382, 0.6269425362348556, 99.73041859269142, 0.276733597740531, 0.468880957365036, 0.6034491211175919, 100.13035157322884, 0.3771448314189911, 0.5602130427956581, 0.2890739440917969, 100.04437776654959, 0.4457680717110634, 0.4813665211200714, 0.5404125899076462, 99.98161460086703, 0.4484991632401943, 0.836206367611885, 0.3897023923695088, 100.15033906698227, 0.5271156966686249, 0.6282448664307594, 0.4043359794653952, 99.94826363772154, 0.3337479141354561, 0.8300150901079177, 0.4434963047504425, 99.94157231599092, 0.5402941450476646, 0.6204037666320801, 0.5006750106811524, 100.09000287950039, 0.5078244514763355, 0.8436826691031456, 0.1574100188910961, 99.71648836135864, 0.42385184019804, 0.750092438608408, 0.1222546141594648, 100.08766947686672, 0.4199778735637665, 0.7298420324921608, 0.1138114854693413, 299.9424313493073, 299.91546177119017, 299.9824857842177, 299.94454734027386, 300.09482626616955, 299.883414901793, 300.0317653492093, 300.02153777331114, 300.14373821020126, 300.07670506089926, 300.1112082526088, 299.9580616168678, 300.06641188263893, 299.98661058954895, 299.89672788232565, 299.6980223953724, 300.13343457877636, 299.9689184445888, 300.1131489574909]|1201.3857421875000000|      1.00000000|[182, 64, 1, 17]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 36 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 46 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 80 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 90 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 102 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       3|[100.09858480005438, 0.1297854320369158, 0.2756643725704573, 0.0849717027472886, 99.93180714520032, -0.1078551928058966, 0.4231313479247877, 0.8258261183707293, 99.90139421470323, 0.0681653103261618, 0.2665920911235173, 0.838224940733247, 99.84051167027317, 0.0943230895258809, 0.2055451866082092, 0.7868815538493374, 100.01360391937858, -0.0203254352632574, 0.4666239228837025, 0.7773239225775315, 100.0733003579093, -0.0251397735863594, 0.4357393739129352, 0.6747723705536854, 100.04645694921496, 0.0298896268236617, 0.4684354556866167, 0.6199822060134035, 99.95770041321582, 0.0038841610924888, 0.474679946525888, 0.6913628650848993, 99.91677122676474, 0.1410814830194003, 0.5363498889344864, 0.4158291492545964, 99.96326731996243, 0.3122550324734842, 0.4129836807680982, 0.5917035202234568, 99.79022645567342, 0.2972492740069055, 0.4848558651297345, 0.6646454647854662, 100.12831601582681, 0.3551523742569125, 0.5967843770072145, 0.2956569256392158, 99.98324569249463, 0.4144965526544458, 0.5198209715243027, 0.5702954806989063, 99.93280499936925, 0.3880662248767854, 0.8571166302921475, 0.4280526173848674, 100.20828027041982, 0.5056040543657804, 0.6515379422668589, 0.4480843878366003, 99.98523735843808, 0.3827890213661601, 0.8832591082918994, 0.4541369470935154, 99.9848463035697, 0.5533394417105261, 0.6474034229124226, 0.4363186951083414, 100.11805710352394, 0.4708667411191683, 0.8489900855093553, 0.1528695845469668, 99.7112976951545, 0.378205839352121, 0.7285743337439922, 0.1668263090928614, 100.00844619122891, 0.4614627861624213, 0.7555471811509942, 0.1372338719507199, 299.93417244815294, 300.18827087428866, 299.5610368622518, 299.7794018360544, 299.97300399501717, 299.9369215525322, 299.72227846966217, 300.0074752110336, 300.3546823764453, 300.24290826678276, 299.9368060398994, 300.00377853788035, 300.17841998869716, 299.65920604762675, 299.64028644945716, 299.71345694179115, 300.4481852266593, 300.27349599257894, 300.07619793640987]|1081.2918701171875000|      2.00000000|[217, 76, 2, 21]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 23 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=4
       4|[100.09858480005438, 0.1297854320369158, 0.2756643725704573, 0.0849717027472886, 99.93180714520032, -0.1078551928058966, 0.4231313479247877, 0.8258261183707293, 99.90139421470323, 0.0681653103261618, 0.2665920911235173, 0.838224940733247, 99.84051167027317, 0.0943230895258809, 0.2055451866082092, 0.7868815538493374, 100.01360391937858, -0.0203254352632574, 0.4666239228837025, 0.7773239225775315, 100.0733003579093, -0.0251397735863594, 0.4357393739129352, 0.6747723705536854, 100.04645694921496, 0.0298896268236617, 0.4684354556866167, 0.6199822060134035, 99.95770041321582, 0.0038841610924888, 0.474679946525888, 0.6913628650848993, 99.91677122676474, 0.1410814830194003, 0.5363498889344864, 0.4158291492545964, 99.96326731996243, 0.3122550324734842, 0.4129836807680982, 0.5917035202234568, 99.79022645567342, 0.2972492740069055, 0.4848558651297345, 0.6646454647854662, 100.12831601582681, 0.3551523742569125, 0.5967843770072145, 0.2956569256392158, 99.98324569249463, 0.4144965526544458, 0.5198209715243027, 0.5702954806989063, 99.93280499936925, 0.3880662248767854, 0.8571166302921475, 0.4280526173848674, 100.20828027041982, 0.5056040543657804, 0.6515379422668589, 0.4480843878366003, 99.98523735843808, 0.3827890213661601, 0.8832591082918994, 0.4541369470935154, 99.9848463035697, 0.5533394417105261, 0.6474034229124226, 0.4363186951083414, 100.11805710352394, 0.4708667411191683, 0.8489900855093553, 0.1528695845469668, 99.7112976951545, 0.378205839352121, 0.7285743337439922, 0.1668263090928614, 100.00844619122891, 0.4614627861624213, 0.7555471811509942, 0.1372338719507199, 299.93417244815294, 300.18827087428866, 299.5610368622518, 299.7794018360544, 299.97300399501717, 299.9369215525322, 299.72227846966217, 300.0074752110336, 300.3546823764453, 300.24290826678276, 299.9368060398994, 300.00377853788035, 300.17841998869716, 299.65920604762675, 299.64028644945716, 299.71345694179115, 300.4481852266593, 300.27349599257894, 300.07619793640987]|1081.2918701171875000|      1.00000000|[336, 120, 2, 32]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 24 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 35 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 46 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 66 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 77 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 88 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 98 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 109 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       5|[100.09858480005438, 0.1297854320369158, 0.2756643725704573, 0.0849717027472886, 99.93180714520032, -0.1078551928058966, 0.4231313479247877, 0.8258261183707293, 99.90139421470323, 0.0681653103261618, 0.2665920911235173, 0.838224940733247, 99.84051167027317, 0.0943230895258809, 0.2055451866082092, 0.7868815538493374, 100.01360391937858, -0.0203254352632574, 0.4666239228837025, 0.7773239225775315, 100.0733003579093, -0.0251397735863594, 0.4357393739129352, 0.6747723705536854, 100.04645694921496, 0.0298896268236617, 0.4684354556866167, 0.6199822060134035, 99.95770041321582, 0.0038841610924888, 0.474679946525888, 0.6913628650848993, 99.91677122676474, 0.1410814830194003, 0.5363498889344864, 0.4158291492545964, 99.96326731996243, 0.3122550324734842, 0.4129836807680982, 0.5917035202234568, 99.79022645567342, 0.2972492740069055, 0.4848558651297345, 0.6646454647854662, 100.12831601582681, 0.3551523742569125, 0.5967843770072145, 0.2956569256392158, 99.98324569249463, 0.4144965526544458, 0.5198209715243027, 0.5702954806989063, 99.93280499936925, 0.3880662248767854, 0.8571166302921475, 0.4280526173848674, 100.20828027041982, 0.5056040543657804, 0.6515379422668589, 0.4480843878366003, 99.98523735843808, 0.3827890213661601, 0.8832591082918994, 0.4541369470935154, 99.9848463035697, 0.5533394417105261, 0.6474034229124226, 0.4363186951083414, 100.11805710352394, 0.4708667411191683, 0.8489900855093553, 0.1528695845469668, 99.7112976951545, 0.378205839352121, 0.7285743337439922, 0.1668263090928614, 100.00844619122891, 0.4614627861624213, 0.7555471811509942, 0.1372338719507199, 299.93417244815294, 300.18827087428866, 299.5610368622518, 299.7794018360544, 299.97300399501717, 299.9369215525322, 299.72227846966217, 300.0074752110336, 300.3546823764453, 300.24290826678276, 299.9368060398994, 300.00377853788035, 300.17841998869716, 299.65920604762675, 299.64028644945716, 299.71345694179115, 300.4481852266593, 300.27349599257894, 300.07619793640987]|1081.2918701171875000|      0.50000000|[457, 164, 2, 43]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 23 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 44 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 54 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 75 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 87 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 99 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 111 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[100.24796356170351, 0.2050647498331461, 0.2992242818843744, 0.1581436163710984, 99.94931802125986, -0.1631382475153311, 0.4255812422487327, 0.8142419705597933, 99.87052928119758, 0.020872552546802, 0.1859710795683225, 0.8498090587418606, 99.83806018897556, 0.1143797581948663, 0.2114435560844084, 0.7916709248927811, 100.02407505289382, -0.0743519570056013, 0.4182983544461262, 0.8650649697214676, 100.05064127594362, 0.0315163784236046, 0.4482531921322392, 0.6946350689447653, 99.99483084807875, -0.0331000253331681, 0.4433489764250991, 0.6135867785032612, 100.03182201509541, -0.0839080789907289, 0.3955738540728851, 0.6904221789931186, 99.83687160277468, 0.0673921489248759, 0.576210346116417, 0.3794144440377117, 99.8934004093856, 0.216254018360058, 0.4425073682052749, 0.6585355336516681, 99.75549466152474, 0.2721739482645416, 0.5669516148059621, 0.7498487026170587, 100.1065565951935, 0.3553760350984967, 0.6443158998176737, 0.2245650576558746, 100.00421651014996, 0.4049266711705334, 0.4617895019407914, 0.6628223039811482, 100.00077078254806, 0.444995407138014, 0.7804431673052014, 0.4086082448799179, 100.27321453156303, 0.5073515329803416, 0.649395528747536, 0.4431513435222159, 100.03436972417147, 0.3916313378222991, 0.8686712849903456, 0.4244105144571352, 99.975177690717, 0.509566274875218, 0.6102312804961838, 0.4308824823526017, 100.18769148148033, 0.4618259998692493, 0.8406572798013046, 0.2219832563265994, 99.72846296113188, 0.4334530046148202, 0.7334571639391211, 0.1345440497776091, 99.97930616771428, 0.4610188624096663, 0.7252454631096934, 0.1277885027070981, 300.01231932305757, 300.21388612125514, 299.5123197173751, 299.7429026934076, 299.9981668092022, 299.9517351004862, 299.7205118364198, 300.0116742464993, 300.3619280455867, 300.32424768567085, 299.9463509079216, 300.017937194701, 300.150660684427, 299.61096573990824, 299.717338498796, 299.81790244395313, 300.4544315196229, 300.26363513425775, 300.1665725849809]|948.2302246093750000|      1.00000000|[481, 172, 2, 45]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=4
       7|[100.24796356170351, 0.2050647498331461, 0.2992242818843744, 0.1581436163710984, 99.94931802125986, -0.1631382475153311, 0.4255812422487327, 0.8142419705597933, 99.87052928119758, 0.020872552546802, 0.1859710795683225, 0.8498090587418606, 99.83806018897556, 0.1143797581948663, 0.2114435560844084, 0.7916709248927811, 100.02407505289382, -0.0743519570056013, 0.4182983544461262, 0.8650649697214676, 100.05064127594362, 0.0315163784236046, 0.4482531921322392, 0.6946350689447653, 99.99483084807875, -0.0331000253331681, 0.4433489764250991, 0.6135867785032612, 100.03182201509541, -0.0839080789907289, 0.3955738540728851, 0.6904221789931186, 99.83687160277468, 0.0673921489248759, 0.576210346116417, 0.3794144440377117, 99.8934004093856, 0.216254018360058, 0.4425073682052749, 0.6585355336516681, 99.75549466152474, 0.2721739482645416, 0.5669516148059621, 0.7498487026170587, 100.1065565951935, 0.3553760350984967, 0.6443158998176737, 0.2245650576558746, 100.00421651014996, 0.4049266711705334, 0.4617895019407914, 0.6628223039811482, 100.00077078254806, 0.444995407138014, 0.7804431673052014, 0.4086082448799179, 100.27321453156303, 0.5073515329803416, 0.649395528747536, 0.4431513435222159, 100.03436972417147, 0.3916313378222991, 0.8686712849903456, 0.4244105144571352, 99.975177690717, 0.509566274875218, 0.6102312804961838, 0.4308824823526017, 100.18769148148033, 0.4618259998692493, 0.8406572798013046, 0.2219832563265994, 99.72846296113188, 0.4334530046148202, 0.7334571639391211, 0.1345440497776091, 99.97930616771428, 0.4610188624096663, 0.7252454631096934, 0.1277885027070981, 300.01231932305757, 300.21388612125514, 299.5123197173751, 299.7429026934076, 299.9981668092022, 299.9517351004862, 299.7205118364198, 300.0116742464993, 300.3619280455867, 300.32424768567085, 299.9463509079216, 300.017937194701, 300.150660684427, 299.61096573990824, 299.717338498796, 299.81790244395313, 300.4544315196229, 300.26363513425775, 300.1665725849809]|948.2302246093750000|      0.50000000|[593, 212, 3, 56]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 24 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 35 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 47 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 58 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 79 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 90 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 101 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       8|[100.24614695163983, 0.260959724298349, 0.3429473189115557, 0.1459895680178392, 99.99807116647699, -0.1723376395261827, 0.4027802185144927, 0.8262446478792265, 99.89090837092323, -0.007967450823843, 0.1662579127620482, 0.8731123212281221, 99.89453245317875, 0.1285446178259002, 0.2009506532383647, 0.77599943334914, 100.01978223381603, -0.077402624827198, 0.4450026990820817, 0.8717396326121708, 100.04571809955262, 0.0233011774366053, 0.4389980774541511, 0.7069732256737722, 99.99235173588148, -0.0212377350724834, 0.4463241820737261, 0.5933198477642764, 99.96468155054383, -0.101549669543645, 0.4098054642688375, 0.7052028780138836, 99.8817950154448, 0.086154431276431, 0.5847897035934575, 0.3511620400996563, 99.87034313617258, 0.2134802976105021, 0.442510162712983, 0.6404198277541191, 99.74365009048732, 0.2533774753757194, 0.5505738584604754, 0.7632320299915101, 100.11266951016549, 0.3202102458098086, 0.6594487600632835, 0.2398765734157052, 100.00061256661837, 0.3676822643508455, 0.4524003837436829, 0.6670278914281641, 99.97421499904623, 0.412767596744181, 0.7894831071315912, 0.372555612548612, 100.30126258903714, 0.4802073096896461, 0.6105713963551528, 0.4410236922889774, 99.98685922188105, 0.3638697630650424, 0.8675437692807086, 0.4070512593789393, 99.9708265988961, 0.4945130850487537, 0.6443551353206745, 0.4530628997098865, 100.20716426615662, 0.4623691577604925, 0.8093783903739326, 0.2140054012983108, 99.78515912632886, 0.4228166969191899, 0.7563850462500851, 0.1152185044628072, 100.00255357965469, 0.4560812297814775, 0.7425522220051816, 0.1527162764399773, 300.12738018694745, 300.2911617718502, 299.44395814984875, 299.5799705995785, 299.8565355379344, 299.96509417221625, 299.8314297867986, 300.021335015124, 300.50999776560997, 300.2752077728293, 300.0194331524699, 299.8711882134105, 300.17786130613945, 299.68078035145044, 299.6388966024417, 299.8606124519737, 300.6070036051456, 300.269467853459, 299.9909399625005]|874.8587036132812500|      1.00000000|[630, 224, 3, 59]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=4
       9|[100.24614695163983, 0.260959724298349, 0.3429473189115557, 0.1459895680178392, 99.99807116647699, -0.1723376395261827, 0.4027802185144927, 0.8262446478792265, 99.89090837092323, -0.007967450823843, 0.1662579127620482, 0.8731123212281221, 99.89453245317875, 0.1285446178259002, 0.2009506532383647, 0.77599943334914, 100.01978223381603, -0.077402624827198, 0.4450026990820817, 0.8717396326121708, 100.04571809955262, 0.0233011774366053, 0.4389980774541511, 0.7069732256737722, 99.99235173588148, -0.0212377350724834, 0.4463241820737261, 0.5933198477642764, 99.96468155054383, -0.101549669543645, 0.4098054642688375, 0.7052028780138836, 99.8817950154448, 0.086154431276431, 0.5847897035934575, 0.3511620400996563, 99.87034313617258, 0.2134802976105021, 0.442510162712983, 0.6404198277541191, 99.74365009048732, 0.2533774753757194, 0.5505738584604754, 0.7632320299915101, 100.11266951016549, 0.3202102458098086, 0.6594487600632835, 0.2398765734157052, 100.00061256661837, 0.3676822643508455, 0.4524003837436829, 0.6670278914281641, 99.97421499904623, 0.412767596744181, 0.7894831071315912, 0.372555612548612, 100.30126258903714, 0.4802073096896461, 0.6105713963551528, 0.4410236922889774, 99.98685922188105, 0.3638697630650424, 0.8675437692807086, 0.4070512593789393, 99.9708265988961, 0.4945130850487537, 0.6443551353206745, 0.4530628997098865, 100.20716426615662, 0.4623691577604925, 0.8093783903739326, 0.2140054012983108, 99.78515912632886, 0.4228166969191899, 0.7563850462500851, 0.1152185044628072, 100.00255357965469, 0.4560812297814775, 0.7425522220051816, 0.1527162764399773, 300.12738018694745, 300.2911617718502, 299.44395814984875, 299.5799705995785, 299.8565355379344, 299.96509417221625, 299.8314297867986, 300.021335015124, 300.50999776560997, 300.2752077728293, 300.0194331524699, 299.8711882134105, 300.17786130613945, 299.68078035145044, 299.6388966024417, 299.8606124519737, 300.6070036051456, 300.269467853459, 299.9909399625005]|874.8587036132812500|      0.50000000|[749, 268, 3, 70]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 24 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 35 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 46 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 67 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 78 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 88 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 100 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 110 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      10|[100.2629309397431, 0.3058866954954773, 0.2823249546289477, 0.1943526575793016, 100.09454112758377, -0.1261749671853128, 0.3760285810556914, 0.8619607568570211, 99.92196653709931, -0.034246592950284, 0.2560985335181974, 0.8004670891467088, 99.89985072929724, 0.0865850191654312, 0.1546581768823352, 0.7181043242917136, 100.05561508221591, -0.0265257242734947, 0.5175678150703362, 0.87003251088232, 99.95240839161299, -0.0201080285365431, 0.4232153617014303, 0.6935399508607758, 100.00900211086027, -0.0477453324891227, 0.4361282711430925, 0.5339157055633296, 99.96725210981451, -0.1382904531456443, 0.382995198191319, 0.7274914928979025, 99.8611857483888, 0.0645303578902386, 0.5450609465994485, 0.3758134203554747, 99.84953780336289, 0.2225631551298902, 0.4553831361699618, 0.65966201385341, 99.72702360206993, 0.2366357227512076, 0.5392555678543343, 0.7570826634935166, 100.02366433046225, 0.3369798617431077, 0.659257700634085, 0.2847028202137437, 100.05183418690984, 0.3681580072050235, 0.4789715495139752, 0.6274887889632498, 99.9589948775657, 0.3995518779532922, 0.6655795718251375, 0.3932538097346052, 100.33956994289132, 0.4255952803458027, 0.7002366900486953, 0.4514170156657522, 99.98900495277138, 0.3823890807963036, 0.7688041601584323, 0.3951632899297768, 99.90854935635478, 0.4367510694378204, 0.6277295353850236, 0.4212852719437541, 100.12822727953143, 0.4898493614188349, 0.7258016664407126, 0.2011856641023422, 99.74817298393194, 0.3779980795156827, 0.8242228582565586, 0.0894848361056733, 100.00637073840588, 0.3774962607377458, 0.8028529819763234, 0.2409629572361237, 300.14995335068033, 300.1842991970345, 299.3826755411907, 299.5293945013152, 299.89422436693917, 299.93761939444323, 299.8386538874405, 299.9520195518195, 300.33528689582084, 300.260077396386, 300.01940706426194, 299.8923882612164, 300.16660174846015, 299.75395023106574, 299.6530773148436, 299.8794642201991, 300.60351674320515, 300.26373576138394, 299.9004342507662]|814.6242065429687500|      1.00000000|[782, 280, 3, 73]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 23 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=4
