k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3873430490493774, -0.1928504109382629, -0.1242676675319672, 0.3808244466781616, -0.1600922644138336, 0.2337249666452408, -0.0537968426942825, 0.3298337459564209, 0.0603295639157295, 0.2031710147857666, 0.1468285769224167, -0.0078466581180692, -0.0906593725085258, 0.1663255840539932, -0.2009463608264923, 0.2613871097564697, -0.1595534533262253, -0.1978272646665573, 0.0089522339403629, 0.2519792914390564, -0.0903739780187607, -0.303466409444809]| 13.9465770721435547|      2.00000000|[261, 19, 0, 5]                                                            | | GPS sucess | actual_k=4
       2|[0.7782212197780609, -0.4100722968578339, 0.892991691827774, 1.281372845172882, -0.2668735831975937, 0.5368561893701553, -0.1851884871721268, -0.0078223347663879, 0.6727559044957161, 0.717407763004303, 0.1857560276985168, 0.0692415861412883, -0.1726175174117088, 0.0570100769400597, 0.1246297657489777, 0.7193558514118195, 0.1657694131135941, -0.0863039642572403, -0.2552112303674221, 0.2859743796288967, -0.7158169001340866, -0.2200917452573776]| 12.5164337158203125|      4.00000000|[523, 36, 0, 10]                                                           | | GPS sucess | actual_k=4
       3|[1.3591179549694061, -0.8441566526889801, 3.023130089044571, 1.608159214258194, -0.8978243321180344, 1.911986842751503, -1.0192459374666214, -0.6016144752502441, 1.2818253710865974, 1.1474710404872894, -1.108907163143158, -0.0888593019917607, 0.623726524412632, 0.3842973336577415, 0.4709291458129883, 0.5741643011569977, 1.37204809486866, 0.3859212845563889, 0.2412268556654453, -0.8169230259954929, -0.2609003633260727, -0.6857735067605972]| 12.1433029174804688|      8.00000000|[783, 55, 0, 15]                                                           | | GPS sucess | actual_k=4
       4|[0.6365742981433868, -2.6205390989780426, 2.4358387291431427, 2.4097735583782196, -0.1531756967306137, 0.4951962381601334, -0.7946587949991226, -0.4033605456352234, 0.9966344013810158, 0.3150748312473297, 3.7725825905799866, 0.1648137746378779, 2.05515006929636, 2.993708334863186, 1.4749388694763184, 0.2040846049785614, 1.0292368680238724, -2.9658488780260086, -0.718448456376791, -2.451146963983774, -0.7864369601011276, -3.2449404150247574]| 12.1402854919433594|     16.00000000|[1044, 73, 0, 20]                                                          | | GPS sucess | actual_k=4
       5|[-2.4740829169750214, -4.210780650377274, 3.646042138338089, 4.828809469938278, -8.547469481825829, 0.1313461810350418, 1.2459932416677475, -5.050080955028534, -2.6599713191390038, 3.223721891641617, 0.545283854007721, -3.336683970876038, 1.868492715060711, 7.436318598687649, 7.199151039123535, -4.339068204164505, 4.221985176205635, -2.105386570096016, -0.1538019143044949, -1.7992947734892368, -2.4733585566282272, -2.38342721760273]| 12.1332597732543945|     32.00000000|[1306, 90, 0, 25]                                                          | | GPS sucess | actual_k=4
       6|[-8.846867054700851, -0.4367692768573761, 8.816689759492874, 8.653181284666061, -5.6370009034872055, 2.658779099583626, -4.033170118927956, -6.796596705913544, -6.177751384675503, -3.208711713552475, -0.7853220105171204, 3.6517112432047725, -1.748638279736042, -7.334398068487644, 9.673455953598022, -13.987561970949173, 11.35827524960041, -2.0974228205159307, -18.928980823606253, 2.540550883859396, -3.685869261622429, -2.4366719760000706]| 12.1191434860229492|     64.00000000|[1568, 107, 0, 30]                                                         | | GPS sucess | actual_k=4
       7|[-25.821857899427414, -14.991190701723099, 24.60797718167305, 20.119637697935104, -29.27659021317959, -15.039300963282585, 13.372189149260521, -5.792472779750824, -4.627459369599819, 10.161969095468521, -18.814918339252472, 2.4563509402796626, -1.5279169604182243, 4.722066126763821, 19.54062533378601, -15.984762459993362, 0.7958553582429886, -23.04603121895343, -5.97650146111846, 2.644114013761282, -3.736386302858591, 17.865511175245047]| 12.0651493072509766|    128.00000000|[1829, 125, 0, 35]                                                         | | GPS sucess | actual_k=4
       8|[-53.967379063367844, 7.522164553403854, 44.22015789151192, 37.14245530962944, -48.48628984391689, -45.258295103907585, 42.42075787484646, -43.17721551656723, -0.0105760917067528, 50.08166590332985, -34.97521764039993, 36.55321373324841, 40.884158082306385, 0.5670249089598656, -0.4779675006866455, -2.045162469148636, -48.8230869024992, -59.979228240437806, 9.494412425905466, -13.445416931062937, 8.843403812497854, 13.31077503785491]| 12.0158157348632812|    256.00000000|[2091, 142, 0, 40]                                                         | | GPS sucess | actual_k=4
       9|[-176.723398655653, 70.69524118304253, 102.57601192593575, 119.89632341265678, -87.02890382707119, -45.26414433447644, 66.33779202401638, 0.9789391160011292, 9.199874080717564, 91.48739710450172, -115.67356663942337, -22.070462566800416, 65.54308981448412, 50.689095221459866, 19.971232175827026, 30.097442358732224, -68.46597401797771, -3.3762619318440557, 22.315486911684275, -88.34199285879731, -16.159342769533396, -10.43207049742341]| 11.9591112136840820|    512.00000000|[2353, 159, 0, 45]                                                         | | GPS sucess | actual_k=4
      10|[-226.64880606532097, 5.898976534605026, 276.43811824917793, 132.00189515948296, -173.73373018205166, -48.75916639296338, 39.322516068816185, 60.720005095005035, 133.11934582144022, 254.44856348633766, -74.99053364992142, 98.75776161532849, 167.50408834964037, 157.3812415227294, 15.190316438674927, 9.98117420077324, -88.9246436804533, -120.68612216133624, 212.91302109137177, -241.73914862051606, 45.197312351316214, -9.52111679688096]| 11.6301355361938477|   1024.00000000|[2614, 177, 0, 50]                                                         | | GPS sucess | actual_k=4
      11|[-557.8722862899303, -298.481882840395, 370.58446529507637, 397.3127166926861, -34.42959199845791, 346.08379015000537, -98.917519941926, -118.64883035421371, 23.110266841948032, 407.1537484228611, -285.92374593019485, -50.82036338467151, 413.05352682620287, 184.78941794484854, 42.37642025947571, 337.41736194491386, -471.2510902136564, -187.8592560114339, 503.1284751929343, -177.77134085074067, 24.544764515012503, -103.01735550537705]| 11.3305683135986328|   2048.00000000|[2876, 194, 0, 55]                                                         | | GPS sucess | actual_k=4
