k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.20521664619446, 149.7109363079071, -100.4874484539032, 0.8179105669260025, 2.118316188454628]|85051.7578125000000000|      2.00000000|[17, 0, 0, 1]                                                              | | GPS sucess | actual_k=0
       2|[47.563098073005676, 150.451176404953, -100.9607447385788, 0.4962271600961685, 2.7725343853235245]|79861.8671875000000000|      4.00000000|[33, 0, 0, 2]                                                              | | GPS sucess | actual_k=0
       3|[45.32722747325897, 150.10607680678368, -102.46962833404541, 2.049888387322426, 0.2843232303857803]|71907.6250000000000000|      8.00000000|[49, 0, 0, 3]                                                              | | GPS sucess | actual_k=0
       4|[40.64547049999237, 153.28527387976646, -98.04641914367676, 1.7975464314222336, 3.7979271560907364]|60288.3476562500000000|     16.00000000|[65, 0, 0, 4]                                                              | | GPS sucess | actual_k=0
       5|[47.534897685050964, 147.18736442923546, -103.761559009552, -2.5073222666978836, -7.163668379187584]|-100000002004087734272.0000000000000000|     32.00000000|[81, 0, 0, 5]                                                              | | GPS sucess | actual_k=0
       6|[47.534897685050964, 147.18736442923546, -103.761559009552, -2.5073222666978836, -7.163668379187584]|-100000002004087734272.0000000000000000|     16.00000000|[111, 0, 0, 7]                                                             |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[47.534897685050964, 147.18736442923546, -103.761559009552, -2.5073222666978836, -7.163668379187584]|-100000002004087734272.0000000000000000|      8.00000000|[141, 0, 0, 9]                                                             |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[47.534897685050964, 147.18736442923546, -103.761559009552, -2.5073222666978836, -7.163668379187584]|-100000002004087734272.0000000000000000|      4.00000000|[171, 0, 0, 11]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[47.534897685050964, 147.18736442923546, -103.761559009552, -2.5073222666978836, -7.163668379187584]|-100000002004087734272.0000000000000000|      2.00000000|[201, 0, 0, 13]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[47.534897685050964, 147.18736442923546, -103.761559009552, -2.5073222666978836, -7.163668379187584]|-100000002004087734272.0000000000000000|      1.00000000|[231, 0, 0, 15]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[47.534897685050964, 147.18736442923546, -103.761559009552, -2.5073222666978836, -7.163668379187584]|-100000002004087734272.0000000000000000|      0.50000000|[261, 0, 0, 17]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[47.534897685050964, 147.18736442923546, -103.761559009552, -2.5073222666978836, -7.163668379187584]|-100000002004087734272.0000000000000000|      0.25000000|[291, 0, 0, 19]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[47.534897685050964, 147.18736442923546, -103.761559009552, -2.5073222666978836, -7.163668379187584]|-100000002004087734272.0000000000000000|      0.12500000|[320, 0, 0, 21]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      14|[47.534897685050964, 147.18736442923546, -103.761559009552, -2.5073222666978836, -7.163668379187584]|-100000002004087734272.0000000000000000|      0.06250000|[349, 0, 0, 23]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      15|[47.534897685050964, 147.18736442923546, -103.761559009552, -2.5073222666978836, -7.163668379187584]|-100000002004087734272.0000000000000000|      0.03125000|[378, 0, 0, 25]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      16|[47.534897685050964, 147.18736442923546, -103.761559009552, -2.5073222666978836, -7.163668379187584]|-100000002004087734272.0000000000000000|      0.01562500|[407, 0, 0, 27]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      17|[47.534897685050964, 147.18736442923546, -103.761559009552, -2.5073222666978836, -7.163668379187584]|-100000002004087734272.0000000000000000|      0.00781250|[436, 0, 0, 29]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      18|[47.534897685050964, 147.18736442923546, -103.761559009552, -2.5073222666978836, -7.163668379187584]|-100000002004087734272.0000000000000000|      0.00390625|[465, 0, 0, 31]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      19|[47.534897685050964, 147.18736442923546, -103.761559009552, -2.5073222666978836, -7.163668379187584]|-100000002004087734272.0000000000000000|      0.00195312|[494, 0, 0, 33]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      20|[47.534897685050964, 147.18736442923546, -103.761559009552, -2.5073222666978836, -7.163668379187584]|-100000002004087734272.0000000000000000|      0.00097656|[523, 0, 0, 35]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      21|[47.534897685050964, 147.18736442923546, -103.761559009552, -2.5073222666978836, -7.163668379187584]|-100000002004087734272.0000000000000000|      0.00048828|[552, 0, 0, 37]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      22|[47.534897685050964, 147.18736442923546, -103.761559009552, -2.5073222666978836, -7.163668379187584]|-100000002004087734272.0000000000000000|      0.00024414|[581, 0, 0, 39]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      23|[47.534897685050964, 147.18736442923546, -103.761559009552, -2.5073222666978836, -7.163668379187584]|-100000002004087734272.0000000000000000|      0.00012207|[610, 0, 0, 41]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      24|[47.534897685050964, 147.18736442923546, -103.761559009552, -2.5073222666978836, -7.163668379187584]|-100000002004087734272.0000000000000000|      0.00006104|[639, 0, 0, 43]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      25|[47.534897685050964, 147.18736442923546, -103.761559009552, -2.5073222666978836, -7.163668379187584]|-100000002004087734272.0000000000000000|      0.00003052|[668, 0, 0, 45]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      26|[47.534897685050964, 147.18736442923546, -103.761559009552, -2.5073222666978836, -7.163668379187584]|-100000002004087734272.0000000000000000|      0.00001526|[697, 0, 0, 47]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      27|[47.534897685050964, 147.18736442923546, -103.761559009552, -2.5073222666978836, -7.163668379187584]|-100000002004087734272.0000000000000000|      0.00000763|[726, 0, 0, 49]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
