k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 5.0]                                                                      |13421.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.7127488255500793, 4.5379319190979]                                           |2322.8598632812500000|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[1.7127488255500793, 4.5379319190979]                                           |2322.8598632812500000|      1.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[1.3742760717868805, 3.772538125514984]                                         |1168.2322998046875000|      2.00000000|[14, 0, 1, 4]                                                              | | GPS sucess | actual_k=0
       4|[1.7600476443767548, 2.3506245017051697]                                        |214.4163208007812500|      4.00000000|[18, 0, 1, 5]                                                              | | GPS sucess | actual_k=0
       5|[0.7309498488903046, 0.0888754725456238]                                        | 19.9559135437011719|      8.00000000|[22, 0, 1, 6]                                                              | | GPS sucess | actual_k=0
       6|[0.7309498488903046, 0.0888754725456238]                                        | 19.9559135437011719|      4.00000000|[26, 0, 2, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[0.7309498488903046, 0.0888754725456238]                                        | 19.9559135437011719|      2.00000000|[31, 0, 3, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[0.7309498488903046, 0.0888754725456238]                                        | 19.9559135437011719|      1.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[0.1597461402416229, -0.0161005109548569]                                       |  0.8875846266746521|      2.00000000|[41, 0, 4, 13]                                                             | | GPS sucess | actual_k=0
      10|[0.0210382789373398, 0.8858789354562759]                                        |  0.5349874496459961|      4.00000000|[45, 0, 4, 14]                                                             | | GPS sucess | actual_k=0
      11|[0.0210382789373398, 0.8858789354562759]                                        |  0.5349874496459961|      2.00000000|[49, 0, 5, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[0.0210382789373398, 0.8858789354562759]                                        |  0.5349874496459961|      1.00000000|[54, 0, 6, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[0.0210382789373398, 0.8858789354562759]                                        |  0.5349874496459961|      0.50000000|[59, 0, 7, 20]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
