k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[15.0, 6.0]                                                                     |-2641.3632314451997445|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[15.0, 6.0]                                                                     |-2641.3632314451997445|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[14.995646357536316, 5.500018984079361]                                         |-2946.0651855468750000|      1.00000000|[8, 2, 1, 3]                                                               | | GPS sucess | actual_k=1
       3|[14.995646357536316, 5.500018984079361]                                         |-2946.0651855468750000|      0.50000000|[11, 3, 2, 5]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[14.995646357536316, 5.500018984079361]                                         |-2946.0651855468750000|      0.25000000|[15, 4, 3, 7]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[14.995646357536316, 5.500018984079361]                                         |-2946.0651855468750000|      0.12500000|[19, 5, 4, 9]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[15.113994911313057, 5.45978694036603]                                          |-2961.9780273437500000|      0.25000000|[23, 6, 4, 10]                                                             | | GPS sucess | actual_k=1
       7|[15.029757127165794, 5.22440642490983]                                          |-3120.8083496093750000|      0.50000000|[26, 7, 4, 11]                                                             | | GPS sucess | actual_k=1
       8|[15.137764945626259, 4.736211482435465]                                         |-3441.4477539062500000|      1.00000000|[29, 8, 4, 12]                                                             | | GPS sucess | actual_k=1
       9|[14.962541684508324, 3.751682762056589]                                         |-4189.4204101562500000|      2.00000000|[32, 9, 4, 13]                                                             | | GPS sucess | actual_k=1
      10|[14.962541684508324, 3.751682762056589]                                         |-4189.4204101562500000|      1.00000000|[35, 10, 5, 15]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[14.962541684508324, 3.751682762056589]                                         |-4189.4204101562500000|      0.50000000|[39, 11, 6, 17]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[14.962541684508324, 3.751682762056589]                                         |-4189.4204101562500000|      0.25000000|[43, 12, 7, 19]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[14.962541684508324, 3.751682762056589]                                         |-4189.4204101562500000|      0.12500000|[47, 13, 8, 21]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
