k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.2296261042356491, -0.0542225278913975, 0.3398198485374451, 0.4106678068637848, -0.0191486310213804, 0.1423190981149673, -0.030738539993763, 0.3671062588691711, 0.0894018262624741, -0.1092074513435364, 0.0910593271255493, -0.3515453934669495, 0.1586437672376633, -0.2970780432224274, 0.1626197099685669, 0.2028297185897827, -0.1436099857091904, -0.0744108483195305, -0.1334671527147293, 0.0319271385669708, -0.2274441421031952, 0.0681321546435356]| 13.9518337249755859|      2.00000000|[256, 36, 0, 5]                                                            | | GPS sucess | actual_k=8
       2|[0.3479774445295334, 0.128288310021162, 0.1780192255973816, 1.5709352791309357, 0.0115806590765715, 0.2313707321882248, -0.633397288620472, 0.6947635114192963, 0.4056689888238907, -0.6310845017433167, -0.1210637539625168, 0.0125011503696442, 0.6414642482995987, -0.2931108986958861, 0.3948601931333542, -0.0956859290599823, 0.2679288536310196, -0.9238329455256462, 0.2644172161817551, -0.1210052073001862, -0.1737551055848598, -0.0597079619765282]| 12.6097154617309570|      4.00000000|[511, 72, 0, 10]                                                           | | GPS sucess | actual_k=8
       3|[-0.0516787618398666, -0.0179033018648624, 0.1229723319411278, 3.157861977815628, -0.2502679694443941, 1.4589060992002487, -1.8864671662449837, 0.7135595455765724, -0.4214046448469162, -1.6205461621284485, 1.19196255505085, 0.3221805989742279, 0.0863965898752213, -0.8738552844151855, 0.4548174403607845, 1.6611056625843048, 0.9195052534341812, -0.1386983320116997, -0.6903460174798965, 0.085420623421669, 0.1755701638758183, 0.3735658302903175]| 12.1409883499145508|      8.00000000|[766, 108, 0, 15]                                                          | | GPS sucess | actual_k=8
       4|[-0.5141268223524094, -0.7417001463472843, 1.1232339963316917, 3.357314094901085, 3.1283321511000395, 0.9714858680963516, -0.6235979273915291, -0.1923498138785362, -2.831241652369499, -3.4972808957099915, -1.1435035914182663, 0.236189603805542, -1.3905507177114487, -1.7730714594945312, -1.906974170356989, 2.326056867837906, 0.8253645300865173, 0.8291971758008003, 0.6484995931386948, -1.0460852235555649, -2.028771486133337, 2.096456564962864]| 12.1401567459106445|     16.00000000|[1021, 144, 0, 20]                                                         | | GPS sucess | actual_k=8
       5|[-6.9530592411756516, 0.5551988147199154, 1.4447522088885307, 8.349400028586388, -1.8629436362534761, 1.13124780356884, 5.8852488324046135, -1.9353974089026451, -1.8864757865667343, 0.4760684370994568, -4.013541147112846, -1.4952821731567383, -2.020592376589775, 1.9390881741419435, 3.0439335368573666, -2.9630938470363617, 2.3011342883110046, -0.3815988227725029, 4.407282456755638, -1.8447919338941574, -2.895279910415411, 0.2053879871964455]| 12.1246843338012695|     32.00000000|[1276, 180, 0, 25]                                                         | | GPS sucess | actual_k=8
       6|[-17.346264883875847, 6.418754246085882, 15.705098621547222, 13.462455734610558, 2.60034610144794, 10.741363808512688, 4.143597178161144, -8.203838132321835, 1.0406944900751114, 0.577176921069622, 2.1793432980775833, -11.963175773620605, -2.8101356476545334, 5.345854111947119, -0.4997721649706364, -2.578727751970291, 4.321861922740936, 5.253932602703571, 11.48509894311428, 1.8933736830949783, -3.182998713105917, 10.04920855909586]| 12.1066951751708984|     64.00000000|[1532, 215, 0, 30]                                                         | | GPS sucess | actual_k=8
       7|[-29.891030356287956, 18.86367955431342, 10.62298821657896, 23.536739334464073, 9.582703603431582, 30.52633886039257, -25.862286992371082, -11.187894843518734, 9.049566522240639, 6.517440192401409, 9.962126329541206, -13.471929550170898, 11.748730853199959, -2.6239005839452147, -15.19321546331048, -18.176720649003983, 10.623936355113983, 8.794029600918293, 33.34076987206936, -2.9008110016584396, -15.12110048159957, 11.80697587877512]| 12.0824222564697266|    128.00000000|[1786, 252, 0, 35]                                                         | | GPS sucess | actual_k=8
       8|[-42.151351019740105, 21.97052850946784, 0.7066464349627495, 34.788214668631554, 37.30998517386615, 29.702746614813805, -39.45930904895067, -8.373778842389584, -20.38214848935604, 50.13167130202055, -16.88964979350567, 40.9112491607666, -24.11332206428051, -15.11266630049795, -24.77281293645501, -36.284876853227615, 7.426333367824554, 51.92512930184603, -11.61139763891697, 38.97109527885914, -23.250028666108847, 21.3006387129426]| 12.0672550201416016|    256.00000000|[2041, 288, 0, 40]                                                         | | GPS sucess | actual_k=8
       9|[-78.90637116134167, 85.8997429870069, -59.545085437595844, 69.65054987370968, -49.112057672813535, 62.47036670148373, -32.84157509356737, -0.7364878877997398, 10.927173867821693, 22.590590827167034, -87.45494978129864, 148.43557929992676, -108.73809318244457, -11.663650683127344, -26.766517613083124, -56.96701529622078, -78.5515108704567, 106.05095709115267, 8.058404073119164, 32.24857206642628, 8.623662892729044, 25.272556103765965]| 12.0256395339965820|    512.00000000|[2294, 326, 0, 45]                                                         | | GPS sucess | actual_k=8
      10|[-78.90637116134167, 85.8997429870069, -59.545085437595844, 69.65054987370968, -49.112057672813535, 62.47036670148373, -32.84157509356737, -0.7364878877997398, 10.927173867821693, 22.590590827167034, -87.45494978129864, 148.43557929992676, -108.73809318244457, -11.663650683127344, -26.766517613083124, -56.96701529622078, -78.5515108704567, 106.05095709115267, 8.058404073119164, 32.24857206642628, 8.623662892729044, 25.272556103765965]| 12.0256395339965820|    256.00000000|[2550, 361, 0, 50]                                                         |  | used quadratic model with 292 points | actual_k=8
      11|[-78.90637116134167, 85.8997429870069, -59.545085437595844, 69.65054987370968, -49.112057672813535, 62.47036670148373, -32.84157509356737, -0.7364878877997398, 10.927173867821693, 22.590590827167034, -87.45494978129864, 148.43557929992676, -108.73809318244457, -11.663650683127344, -26.766517613083124, -56.96701529622078, -78.5515108704567, 106.05095709115267, 8.058404073119164, 32.24857206642628, 8.623662892729044, 25.272556103765965]| 12.0256395339965820|    128.00000000|[2804, 398, 0, 55]                                                         |  | used quadratic model with 292 points | actual_k=8
