k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.229074120521545, 150.483962059021, -99.89619857817888, 0.6536049246788025, 2.2017170786857605]|85415.9140625000000000|      2.00000000|[15, 2, 0, 1]                                                              | | GPS sucess | actual_k=2
       2|[47.586955547332764, 151.2242021560669, -100.36949486285448, 0.3319215178489685, 2.855935275554657]|80662.5000000000000000|      4.00000000|[29, 4, 0, 2]                                                              | | GPS sucess | actual_k=2
       3|[45.35108494758606, 150.87910255789757, -101.8783784583211, 1.8855827450752258, 0.3677241206169128]|72532.4218750000000000|      8.00000000|[43, 6, 0, 3]                                                              | | GPS sucess | actual_k=2
       4|[40.66932797431946, 154.05829963088036, -97.45516926795244, 1.6332407891750336, 3.881328046321869]|60615.2578125000000000|     16.00000000|[57, 8, 0, 4]                                                              | | GPS sucess | actual_k=2
       5|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|     32.00000000|[71, 10, 0, 5]                                                             | | GPS sucess | actual_k=2
       6|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|     16.00000000|[97, 14, 0, 7]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      8.00000000|[124, 18, 0, 9]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      4.00000000|[150, 22, 0, 11]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      2.00000000|[177, 26, 0, 13]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      1.00000000|[203, 30, 0, 15]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.50000000|[229, 34, 0, 17]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      12|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.25000000|[254, 38, 0, 19]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      13|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.12500000|[279, 42, 0, 21]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      14|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.06250000|[304, 46, 0, 23]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      15|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.03125000|[329, 50, 0, 25]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      16|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.01562500|[354, 54, 0, 27]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      17|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.00781250|[379, 58, 0, 29]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      18|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.00390625|[404, 62, 0, 31]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      19|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.00195312|[429, 66, 0, 33]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      20|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.00097656|[454, 70, 0, 35]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      21|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.00048828|[479, 74, 0, 37]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      22|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.00024414|[504, 78, 0, 39]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      23|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.00012207|[530, 82, 0, 41]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      24|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.00006104|[556, 86, 0, 43]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      25|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.00003052|[581, 90, 0, 45]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      26|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.00001526|[606, 94, 0, 47]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      27|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.00000763|[631, 98, 0, 49]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      28|[47.55875515937805, 147.96039018034935, -103.17030913382769, -2.6716279089450836, -7.080267488956451]|-100000002004087734272.0000000000000000|      0.00000381|[656, 102, 0, 51]                                                          |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
