k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 0.0]                                                                      |416.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.4285364747047424, 0.8206274509429932]                                        | 41.6264686584472656|      2.00000000|[4, 1, 0, 1]                                                               | | GPS sucess | actual_k=1
       2|[1.4285364747047424, 0.8206274509429932]                                        | 41.6264686584472656|      1.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[0.530822217464447, 1.2612055242061615]                                         | 21.9537277221679688|      2.00000000|[11, 3, 1, 4]                                                              | | GPS sucess | actual_k=1
       4|[0.530822217464447, 1.2612055242061615]                                         | 21.9537277221679688|      1.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.530822217464447, 1.2612055242061615]                                         | 21.9537277221679688|      0.50000000|[18, 5, 3, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[1.0042164325714111, 1.1002773493528366]                                        |  0.8733783960342407|      1.00000000|[22, 6, 3, 9]                                                              | | GPS sucess | actual_k=1
       7|[1.0042164325714111, 1.1002773493528366]                                        |  0.8733783960342407|      0.50000000|[25, 7, 4, 11]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[1.0042164325714111, 1.1002773493528366]                                        |  0.8733783960342407|      0.25000000|[29, 8, 5, 13]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[1.0042164325714111, 1.1002773493528366]                                        |  0.8733783960342407|      0.12500000|[33, 9, 6, 15]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[1.0345322284847498, 0.979009248316288]                                         |  0.2023193538188934|      0.25000000|[37, 10, 6, 16]                                                            | | GPS sucess | actual_k=1
      11|[1.0345322284847498, 0.979009248316288]                                         |  0.2023193538188934|      0.12500000|[40, 11, 7, 18]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[1.0345322284847498, 0.979009248316288]                                         |  0.2023193538188934|      0.06250000|[44, 12, 8, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
