k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5489702820777893, 0.1163929924368858, 0.328338623046875, 0.7496638894081116, 0.1525867283344269, 0.4345364570617676, 0.6576316952705383, 0.4257676005363464, -0.1848170608282089, -0.505072295665741, -0.7533788084983826, -0.0325717180967331, 0.4159857630729675, -0.2395432144403458, 0.0127339018508792, -0.188658282160759, 0.1669849455356598, 0.0615657716989517, 0.7095125317573547, -0.0780480951070786, -0.7219283580780029, 0.0546883046627045]| 13.1938056945800781|      2.00000000|[243, 35, 0, 18]                                                           | | GPS sucess | actual_k=2
       2|[1.6258841156959534, 0.5463666543364525, -0.1125781238079071, 1.8142370581626892, 0.4579594135284424, 0.7840487360954285, -0.2680765390396118, 0.7487341165542603, -0.8675616830587387, 0.0664411187171936, -0.629220224916935, 1.0488075762987137, 1.2717311382293701, 1.2000635713338852, -0.9288472877815366, -0.0641544386744499, 0.3320714682340622, -2.1748472303152084, 0.1523698568344116, -1.0162641257047653, -1.055796205997467, 0.4230234026908875]| 12.1462135314941406|      4.00000000|[486, 69, 0, 36]                                                           | | GPS sucess | actual_k=2
       3|[1.061389684677124, -0.0311064496636391, 0.8387478888034821, 2.1573445200920105, 0.7397752404212952, -0.0807402729988098, -0.1878005638718605, -0.7698237895965576, -1.0629008114337921, 1.1546302437782288, 0.5907479748129845, 0.8893686383962631, 1.3376141339540482, 0.5508816093206406, -0.1596286641433835, 0.1657657101750374, 1.4698100537061691, -2.3882365822792053, -0.5845550298690796, 0.2769277840852737, 0.716440737247467, 1.2493274211883545]| 12.1436243057250977|      8.00000000|[729, 103, 0, 54]                                                          | | GPS sucess | actual_k=2
       4|[0.084504246711731, -0.8556384220719337, 2.1470181047916412, 2.81068217754364, 1.1446343958377838, 0.2772717475891113, 0.5339912995696068, 1.0364407300949097, 0.5114273726940155, 1.4755329489707947, -0.2260762229561806, 0.8100821152329445, 0.5468025952577591, 0.3012187629938126, -0.5075246142223477, 0.3476354107260704, 1.3364893198013306, -3.7016389966011047, 0.6986902952194214, -0.4293556660413742, 1.0253993570804596, 1.5160716474056244]| 12.1404905319213867|     16.00000000|[971, 138, 0, 72]                                                          | | GPS sucess | actual_k=2
       5|[-3.513846755027771, 7.414323888719082, 2.297824203968048, 4.971648097038269, 0.6001253426074982, -3.386558771133423, 0.5191468838602304, 1.5007249116897583, 2.863550156354904, -2.184535324573517, -2.333975411951542, -1.1891830787062645, -4.710801050066948, 2.4452588707208633, -2.640121345408261, -7.946994639933109, -0.6511585712432861, -2.062536895275116, -2.9168556928634644, -2.241105005145073, 1.165231242775917, 1.766065165400505]| 12.1380548477172852|     32.00000000|[1213, 173, 0, 90]                                                         | | GPS sucess | actual_k=2
       6|[-7.354135155677795, 7.836964838206768, 17.95829802751541, 5.2352816462516785, 8.302800208330154, -5.910579442977905, -7.223842179402709, 3.3849573135375977, -0.1246993839740753, 2.6439658999443054, -4.341310597956181, -2.5931994542479515, -15.58754913508892, 6.948268190026283, 0.8543471051380038, -17.424946643412113, 4.8321287631988525, -6.802440822124481, -11.88030993938446, -11.37092487514019, -9.595240101218224, -3.0982102900743484]| 12.1267185211181641|     64.00000000|[1455, 208, 0, 108]                                                        | | GPS sucess | actual_k=2
       7|[-20.663142800331116, -19.13343883305788, 26.331415474414825, 16.367673575878143, 11.911566525697708, -10.742182493209839, 9.598112547770143, -3.966000556945801, 18.293284624814987, -4.395253479480743, -13.277764417231083, 11.574722565710545, -14.484428450465202, 20.995115533471107, -17.20121014583856, -20.985922433435917, -15.581321477890015, -1.3015629649162292, 4.316513180732727, -9.462086841464043, -31.681322559714317, 11.623362585902214]| 12.1003694534301758|    128.00000000|[1697, 243, 0, 126]                                                        | | GPS sucess | actual_k=2
       8|[-50.77844774723053, -26.98680043965578, -4.771300971508026, 45.10711830854416, 31.667790204286575, 32.58326077461243, 12.17080613411963, -2.5493754148483276, 30.962325304746628, -7.065093576908112, -9.339887477457523, 6.896482743322849, 10.32068820297718, -1.3705460876226425, 29.18543231021613, 7.460597418248653, -13.554560661315918, -32.885240256786346, -27.118467211723328, 4.579401805996895, -11.853428348898888, 78.58948807418346]| 12.0668363571166992|    256.00000000|[1940, 277, 0, 144]                                                        | | GPS sucess | actual_k=2
       9|[-50.77844774723053, -26.98680043965578, -4.771300971508026, 45.10711830854416, 31.667790204286575, 32.58326077461243, 12.17080613411963, -2.5493754148483276, 30.962325304746628, -7.065093576908112, -9.339887477457523, 6.896482743322849, 10.32068820297718, -1.3705460876226425, 29.18543231021613, 7.460597418248653, -13.554560661315918, -32.885240256786346, -27.118467211723328, 4.579401805996895, -11.853428348898888, 78.58948807418346]| 12.0668363571166992|    128.00000000|[2183, 311, 0, 162]                                                        |  | used quadratic model with 278 points | actual_k=2
      10|[-78.36270868778229, 14.153435461223125, 25.287103950977325, 59.16275852918625, 26.138551026582718, 24.87607455253601, 32.744534695521, -22.082441210746765, 29.251112908124924, 28.560230672359467, -0.396750308573246, 29.10658100992441, 68.84821505844593, -5.010599836707115, 32.114714498631656, -21.645147897303104, 23.718811988830566, -11.580550849437714, -80.96462428569794, 12.52818663418293, 18.78078033030033, 85.70864920318127]| 11.9629402160644531|    256.00000000|[2424, 347, 0, 180]                                                        | | GPS sucess | actual_k=2
      11|[-78.36270868778229, 14.153435461223125, 25.287103950977325, 59.16275852918625, 26.138551026582718, 24.87607455253601, 32.744534695521, -22.082441210746765, 29.251112908124924, 28.560230672359467, -0.396750308573246, 29.10658100992441, 68.84821505844593, -5.010599836707115, 32.114714498631656, -21.645147897303104, 23.718811988830566, -11.580550849437714, -80.96462428569794, 12.52818663418293, 18.78078033030033, 85.70864920318127]| 11.9629402160644531|    128.00000000|[2667, 381, 0, 198]                                                        |  | used quadratic model with 278 points | actual_k=2
      12|[-101.19693720340729, 29.340882055461407, 40.02596312761307, 73.14007252454758, 39.78235176205635, 43.9547221660614, 39.60463019646704, -20.310914158821106, 39.45155617594719, 28.990255445241928, -19.61058697849512, 9.24036244302988, 48.67257495224476, -5.973535642027855, 51.892220373265445, -18.317089416086674, 22.345776438713074, -21.242144286632538, -92.46091258525848, 11.09925551712513, 27.685607448220253, 104.25526861846447]| 11.9610929489135742|    256.00000000|[2910, 415, 0, 216]                                                        | | GPS sucess | actual_k=2
      13|[-101.19693720340729, 29.340882055461407, 40.02596312761307, 73.14007252454758, 39.78235176205635, 43.9547221660614, 39.60463019646704, -20.310914158821106, 39.45155617594719, 28.990255445241928, -19.61058697849512, 9.24036244302988, 48.67257495224476, -5.973535642027855, 51.892220373265445, -18.317089416086674, 22.345776438713074, -21.242144286632538, -92.46091258525848, 11.09925551712513, 27.685607448220253, 104.25526861846447]| 11.9610929489135742|    128.00000000|[3152, 450, 0, 234]                                                        |  | used quadratic model with 278 points | actual_k=2
