k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-4.0, -0.1]                                                                    | 41.0311021275976984|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-4.0, -0.1]                                                                    | 41.0311021275976984|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[-4.0, -0.1]                                                                    | 41.0311021275976984|      0.25000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[-4.0, -0.1]                                                                    | 41.0311021275976984|      0.12500000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[-4.0, -0.1]                                                                    | 41.0311021275976984|      0.06250000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[-4.0, -0.1]                                                                    | 41.0311021275976984|      0.03125000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[-3.9704128615558147, -0.1100580109283328]                                      | 34.2144508361816406|      0.06250000|[24, 6, 5, 11]                                                             | | GPS sucess | actual_k=1
       7|[-3.9704128615558147, -0.1100580109283328]                                      | 34.2144508361816406|      0.03125000|[27, 7, 6, 13]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[-3.9704128615558147, -0.1100580109283328]                                      | 34.2144508361816406|      0.01562500|[31, 8, 7, 15]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[-3.9704128615558147, -0.1100580109283328]                                      | 34.2144508361816406|      0.00781250|[35, 9, 8, 17]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[-3.9704128615558147, -0.1100580109283328]                                      | 34.2144508361816406|      0.00390625|[39, 10, 9, 19]                                                            |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[-3.9704128615558147, -0.1100580109283328]                                      | 34.2144508361816406|      0.00195312|[43, 11, 10, 21]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
