k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-12.0, 10.0]                                                                   |100.9885487881180239|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-11.842158272862434, 10.385851442813873]                                       |100.9880447387695312|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[-10.271435335278511, 11.31744909286499]                                        |100.9809188842773438|      4.00000000|[9, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[-6.570938423275948, 9.86606764793396]                                          |100.8928146362304688|      8.00000000|[13, 0, 0, 3]                                                              | | GPS sucess | actual_k=0
       4|[-3.71102936565876, 13.173482418060303]                                         | 27.3143501281738281|     16.00000000|[17, 0, 0, 4]                                                              | | GPS sucess | actual_k=0
       5|[-3.71102936565876, 13.173482418060303]                                         | 27.3143501281738281|      8.00000000|[21, 0, 1, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[-3.71102936565876, 13.173482418060303]                                         | 27.3143501281738281|      4.00000000|[26, 0, 2, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[-3.71102936565876, 13.173482418060303]                                         | 27.3143501281738281|      2.00000000|[31, 0, 3, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[-3.71102936565876, 13.173482418060303]                                         | 27.3143501281738281|      1.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[-3.71102936565876, 13.173482418060303]                                         | 27.3143501281738281|      0.50000000|[41, 0, 5, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[-3.6459523513913155, 13.180947316344827]                                       |  2.1950461864471436|      1.00000000|[46, 0, 5, 15]                                                             | | GPS sucess | actual_k=0
      11|[-3.6459523513913155, 13.180947316344827]                                       |  2.1950461864471436|      0.50000000|[50, 0, 6, 17]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[-3.6459523513913155, 13.180947316344827]                                       |  2.1950461864471436|      0.25000000|[55, 0, 7, 19]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[-3.6459523513913155, 13.180947316344827]                                       |  2.1950461864471436|      0.12500000|[60, 0, 8, 21]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
