k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[200.0, 400.0, 250.0]                                                           |4515242499193466.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[199.97267040610313, 400.59445655345917, 250.80366319417953]                    |4274010539950080.0000000000000000|      2.00000000|[5, 0, 0, 1]                                                               | | GPS sucess | actual_k=0
       2|[199.22988906502724, 399.17353308200836, 251.999176800251]                      |3260869630754816.0000000000000000|      4.00000000|[9, 0, 0, 2]                                                               | | GPS sucess | actual_k=0
       3|[201.38203969597816, 397.19297218322754, 254.72784453630447]                    |2036005892784128.0000000000000000|      8.00000000|[13, 0, 0, 3]                                                              | | GPS sucess | actual_k=0
       4|[201.99066069722176, 392.47136068344116, 261.15715008974075]                    |665224466137088.0000000000000000|     16.00000000|[17, 0, 0, 4]                                                              | | GPS sucess | actual_k=0
       5|[199.5067391693592, 401.6630024909973, 274.0157611966133]                       |311386538246144.0000000000000000|     32.00000000|[21, 0, 0, 5]                                                              | | GPS sucess | actual_k=0
       6|[189.76424649357796, 385.81851530075073, 300.0548866391182]                     |7606081421312.0000000000000000|     64.00000000|[25, 0, 0, 6]                                                              | | GPS sucess | actual_k=0
       7|[168.63826420903206, 325.7654757499695, 306.6371219754219]                      |49356161024.0000000000000000|    128.00000000|[29, 0, 0, 7]                                                              | | GPS sucess | actual_k=0
       8|[95.54346898198128, 347.1931223869324, 409.5060108304024]                       |2415262976.0000000000000000|    256.00000000|[33, 0, 0, 8]                                                              | | GPS sucess | actual_k=0
       9|[11.82882359623909, 575.5498270988464, 489.38762551546097]                      |1487635200.0000000000000000|    512.00000000|[37, 0, 0, 9]                                                              | | GPS sucess | actual_k=0
      10|[11.82882359623909, 575.5498270988464, 489.38762551546097]                      |1487635200.0000000000000000|    256.00000000|[45, 0, 0, 11]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[11.82882359623909, 575.5498270988464, 489.38762551546097]                      |1487635200.0000000000000000|    128.00000000|[53, 0, 0, 13]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[11.82882359623909, 575.5498270988464, 489.38762551546097]                      |1487635200.0000000000000000|     64.00000000|[61, 0, 0, 15]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[1.9761281311511993, 636.8572916984558, 473.88539296388626]                     |1403956096.0000000000000000|    128.00000000|[65, 0, 0, 16]                                                             | | GPS sucess | actual_k=0
      14|[1.9761281311511993, 636.8572916984558, 473.88539296388626]                     |1403956096.0000000000000000|     64.00000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[1.9761281311511993, 636.8572916984558, 473.88539296388626]                     |1403956096.0000000000000000|     32.00000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      16|[1.9761281311511993, 636.8572916984558, 473.88539296388626]                     |1403956096.0000000000000000|     16.00000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      17|[1.9761281311511993, 636.8572916984558, 473.88539296388626]                     |1403956096.0000000000000000|      8.00000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      18|[1.9761281311511993, 636.8572916984558, 473.88539296388626]                     |1403956096.0000000000000000|      4.00000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      19|[1.9761281311511993, 636.8572916984558, 473.88539296388626]                     |1403956096.0000000000000000|      2.00000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      20|[1.9761281311511993, 636.8572916984558, 473.88539296388626]                     |1403956096.0000000000000000|      1.00000000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
