k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.56172212958336, 149.81316836178303, -100.1277286708355, 1.0816968530416489, 2.0041774599812925]|86320.9140625000000000|      2.00000000|[13, 4, 0, 1]                                                              | | GPS sucess | actual_k=4
       2|[48.47633311152458, 149.69109918177128, -98.48272570967674, 0.8782482147216797, 1.760039099957794]|83047.3593750000000000|      4.00000000|[25, 8, 0, 2]                                                              | | GPS sucess | actual_k=4
       3|[41.41380116343498, 150.67214812338352, -100.68222579360008, 3.1830339431762695, 0.0255808918736875]|48628.0312500000000000|      8.00000000|[37, 12, 0, 3]                                                             | | GPS sucess | actual_k=4
       4|[33.540992707014084, 161.6175989061594, -103.34535893797874, -4.664729118347168, -2.3273599059320986]|-100000002004087734272.0000000000000000|     16.00000000|[49, 16, 0, 4]                                                             | | GPS sucess | actual_k=4
       5|[33.540992707014084, 161.6175989061594, -103.34535893797874, -4.664729118347168, -2.3273599059320986]|-100000002004087734272.0000000000000000|      8.00000000|[73, 24, 0, 6]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[33.540992707014084, 161.6175989061594, -103.34535893797874, -4.664729118347168, -2.3273599059320986]|-100000002004087734272.0000000000000000|      4.00000000|[97, 32, 0, 8]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       7|[33.540992707014084, 161.6175989061594, -103.34535893797874, -4.664729118347168, -2.3273599059320986]|-100000002004087734272.0000000000000000|      2.00000000|[121, 40, 0, 10]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       8|[33.540992707014084, 161.6175989061594, -103.34535893797874, -4.664729118347168, -2.3273599059320986]|-100000002004087734272.0000000000000000|      1.00000000|[145, 48, 0, 12]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[33.540992707014084, 161.6175989061594, -103.34535893797874, -4.664729118347168, -2.3273599059320986]|-100000002004087734272.0000000000000000|      0.50000000|[169, 56, 0, 14]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      10|[33.540992707014084, 161.6175989061594, -103.34535893797874, -4.664729118347168, -2.3273599059320986]|-100000002004087734272.0000000000000000|      0.25000000|[193, 64, 0, 16]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      11|[33.540992707014084, 161.6175989061594, -103.34535893797874, -4.664729118347168, -2.3273599059320986]|-100000002004087734272.0000000000000000|      0.12500000|[217, 72, 0, 18]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      12|[33.540992707014084, 161.6175989061594, -103.34535893797874, -4.664729118347168, -2.3273599059320986]|-100000002004087734272.0000000000000000|      0.06250000|[240, 80, 0, 20]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      13|[33.540992707014084, 161.6175989061594, -103.34535893797874, -4.664729118347168, -2.3273599059320986]|-100000002004087734272.0000000000000000|      0.03125000|[264, 88, 1, 23]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=4
      14|[33.540992707014084, 161.6175989061594, -103.34535893797874, -4.664729118347168, -2.3273599059320986]|-100000002004087734272.0000000000000000|      0.01562500|[287, 96, 1, 25]                                                           |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      15|[33.540992707014084, 161.6175989061594, -103.34535893797874, -4.664729118347168, -2.3273599059320986]|-100000002004087734272.0000000000000000|      0.00781250|[310, 104, 1, 27]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      16|[33.540992707014084, 161.6175989061594, -103.34535893797874, -4.664729118347168, -2.3273599059320986]|-100000002004087734272.0000000000000000|      0.00390625|[333, 112, 1, 29]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      17|[33.540992707014084, 161.6175989061594, -103.34535893797874, -4.664729118347168, -2.3273599059320986]|-100000002004087734272.0000000000000000|      0.00195312|[356, 120, 1, 31]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      18|[33.540992707014084, 161.6175989061594, -103.34535893797874, -4.664729118347168, -2.3273599059320986]|-100000002004087734272.0000000000000000|      0.00097656|[380, 128, 2, 34]                                                          |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=4
      19|[33.540992707014084, 161.6175989061594, -103.34535893797874, -4.664729118347168, -2.3273599059320986]|-100000002004087734272.0000000000000000|      0.00048828|[403, 136, 2, 36]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      20|[33.540992707014084, 161.6175989061594, -103.34535893797874, -4.664729118347168, -2.3273599059320986]|-100000002004087734272.0000000000000000|      0.00024414|[426, 144, 2, 38]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      21|[33.540992707014084, 161.6175989061594, -103.34535893797874, -4.664729118347168, -2.3273599059320986]|-100000002004087734272.0000000000000000|      0.00012207|[450, 152, 3, 41]                                                          |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=4
      22|[33.540992707014084, 161.6175989061594, -103.34535893797874, -4.664729118347168, -2.3273599059320986]|-100000002004087734272.0000000000000000|      0.00006104|[473, 160, 3, 43]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      23|[33.540992707014084, 161.6175989061594, -103.34535893797874, -4.664729118347168, -2.3273599059320986]|-100000002004087734272.0000000000000000|      0.00003052|[496, 168, 3, 45]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      24|[33.540992707014084, 161.6175989061594, -103.34535893797874, -4.664729118347168, -2.3273599059320986]|-100000002004087734272.0000000000000000|      0.00001526|[519, 176, 3, 47]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      25|[33.540992707014084, 161.6175989061594, -103.34535893797874, -4.664729118347168, -2.3273599059320986]|-100000002004087734272.0000000000000000|      0.00000763|[542, 184, 3, 49]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      26|[33.540992707014084, 161.6175989061594, -103.34535893797874, -4.664729118347168, -2.3273599059320986]|-100000002004087734272.0000000000000000|      0.00000381|[566, 192, 4, 52]                                                          |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=4
