k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]|110181.7759999999834690|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.0046916780993342, -0.9861387219280005, -0.818820595741272, -0.9030079022049904, -0.9332435056567192, -0.8436636924743652, -0.8459686040878296, -0.8564839214086533, -0.9505963213741779, -1.0814191699028015, -1.3382440507411957, -1.0579432435333729, -1.0554557666182518, -0.8374128192663193, -0.9378599338233471, -0.8622040450572968, -0.8546217381954193, -0.9106906279921532, -0.9405037760734558, -1.1190676167607307, -1.1227796599268913, -1.0896679013967514, -0.8301167488098145, -1.255111575126648, -0.9031142815947533, -0.8364162594079971, -1.0670389831066132, -0.8990127444267273, -0.9675498232245445, -0.8622398376464844, -0.7689951062202454, -0.9542794898152351, -0.9394886717200279, -0.8501519560813904, -1.058372050523758, -1.050325583666563, -0.7913632839918137, -0.939096212387085, -1.305198848247528, -0.795285627245903, -1.020838487893343, -1.2161296755075455, -1.0722350478172302, -1.2263663858175278, -1.037788514047861, -0.963192768394947, -0.9230865240097046, -0.8150016665458679, -0.8550656735897064, -1.18178191781044]|94535.0078125000000000|      2.00000000|[15, 2, 0, 1]                                                              | | GPS sucess | actual_k=2
       2|[-0.428474741987884, -0.7226527836173773, -0.6699505299329758, -0.484474278986454, -0.9609687551856041, -0.9887298196554184, -0.7066208124160767, -0.7841751724481583, -1.0262218154966831, -1.6180313229560852, -1.1931573152542114, -1.4543160386383533, -0.9330406188964844, -1.2465374916791916, -0.8368582539260387, -0.7720180749893188, -0.9700391888618469, -0.4983508214354515, -0.6861891150474548, -0.5190423205494881, -1.2495960220694542, -0.7561671882867813, -0.7629677057266235, -0.8181965351104736, -1.277053914964199, -0.7045579105615616, -1.097376026213169, -1.2015101909637451, -1.1808029189705849, -0.8095600977540016, -1.0997301936149597, -0.6895788684487343, -0.6266830787062645, -0.613237202167511, -1.0245918594300747, -1.224596630781889, -1.0013587325811386, -0.8375018909573555, -1.5158547759056091, -0.59356889128685, -0.3702336438000202, -0.9838754385709763, -1.2174309194087982, -0.7491489797830582, -0.7798074223101139, -0.7662476524710655, -1.1198351979255676, -0.5532107055187225, -0.9570700600743294, -1.1716353818774223]|89813.7421875000000000|      4.00000000|[29, 4, 0, 2]                                                              | | GPS sucess | actual_k=2
       3|[-0.4265614702392734, -0.4638639565726626, 0.4882332570689165, -0.4768313382832362, -1.169145067600125, -0.7443534344646557, -0.4280633360090411, -0.4851176266914196, -1.2670301741414218, -2.2398035592288186, -1.0422994130309722, -0.6192618611980067, -0.4318997174110999, -1.2517864017568245, -0.221350181353791, -0.6439751964711941, -0.3210050788911029, -0.4768927621446389, 0.1487911795955917, -0.741008729532217, -1.2105966893571647, -1.2165845672756797, -0.2087254709457973, -0.0579484220083873, -0.0289557344632303, 0.4647740813726107, -1.2431215683506545, -1.0822382718452963, -0.7145499661945152, 0.100672487298016, -1.2011769493409645, -1.273993430387298, -1.5161598112484316, -0.4312175610713334, -0.3504932066135205, -1.4481543845228357, -2.181445509478981, -0.0639090435822083, -1.0656378408938991, 0.1474305533251513, -0.6069307363961802, -0.8538483805123704, -1.4846872796208543, -0.416605684362087, 0.0842047822098562, -0.4985364299636508, -0.8628801982640852, 0.0162471425868357, -0.7206474401337002, -0.6290210739117195]|81436.0390625000000000|      8.00000000|[55, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
       4|[-0.4265614702392734, -0.4638639565726626, 0.4882332570689165, -0.4768313382832362, -1.169145067600125, -0.7443534344646557, -0.4280633360090411, -0.4851176266914196, -1.2670301741414218, -2.2398035592288186, -1.0422994130309722, -0.6192618611980067, -0.4318997174110999, -1.2517864017568245, -0.221350181353791, -0.6439751964711941, -0.3210050788911029, -0.4768927621446389, 0.1487911795955917, -0.741008729532217, -1.2105966893571647, -1.2165845672756797, -0.2087254709457973, -0.0579484220083873, -0.0289557344632303, 0.4647740813726107, -1.2431215683506545, -1.0822382718452963, -0.7145499661945152, 0.100672487298016, -1.2011769493409645, -1.273993430387298, -1.5161598112484316, -0.4312175610713334, -0.3504932066135205, -1.4481543845228357, -2.181445509478981, -0.0639090435822083, -1.0656378408938991, 0.1474305533251513, -0.6069307363961802, -0.8538483805123704, -1.4846872796208543, -0.416605684362087, 0.0842047822098562, -0.4985364299636508, -0.8628801982640852, 0.0162471425868357, -0.7206474401337002, -0.6290210739117195]|81436.0390625000000000|      4.00000000|[119, 18, 0, 9]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 41 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 53 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[-0.6771183157573127, -1.2669633330366898, -0.3126358857043161, -0.0451558283455595, -1.0327624884754794, 0.5352598059783217, 0.067639439651349, -0.7463760344185338, -0.9202331071373715, -2.093316075867946, -0.8705745182797495, -1.0527837052201094, -0.385209976787919, -1.426408694686275, -0.1432280198506342, -1.821812784371669, -0.0819212822502314, -0.4891506850159129, -0.6989210833773037, -1.2211765683126197, -1.1746221531469434, -1.2798404682561735, 0.1869628121383565, 0.7138748743805484, 0.467174130604225, -0.095137934119276, -0.8345396282234968, -0.4082850785792734, -0.7369558987997106, -0.0400627130964245, -0.4488952113379509, -1.6874439637424083, -0.8974825169341036, 0.4611732113234779, -1.3406743115458113, -0.7298886969766151, -1.9407100891281335, -0.4722705325359361, -0.7292138325955451, 0.0253889053982115, -1.1612140217036804, -1.6482003311597384, -0.3379630567161571, -0.7411705976633298, 0.511681694451395, -0.0676746325280602, -1.8117096457332966, 0.5678077275401083, -0.6685127129324014, -0.4172588953029993]|80319.9140625000000000|      8.00000000|[145, 22, 0, 11]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
       6|[-0.6771183157573127, -1.2669633330366898, -0.3126358857043161, -0.0451558283455595, -1.0327624884754794, 0.5352598059783217, 0.067639439651349, -0.7463760344185338, -0.9202331071373715, -2.093316075867946, -0.8705745182797495, -1.0527837052201094, -0.385209976787919, -1.426408694686275, -0.1432280198506342, -1.821812784371669, -0.0819212822502314, -0.4891506850159129, -0.6989210833773037, -1.2211765683126197, -1.1746221531469434, -1.2798404682561735, 0.1869628121383565, 0.7138748743805484, 0.467174130604225, -0.095137934119276, -0.8345396282234968, -0.4082850785792734, -0.7369558987997106, -0.0400627130964245, -0.4488952113379509, -1.6874439637424083, -0.8974825169341036, 0.4611732113234779, -1.3406743115458113, -0.7298886969766151, -1.9407100891281335, -0.4722705325359361, -0.7292138325955451, 0.0253889053982115, -1.1612140217036804, -1.6482003311597384, -0.3379630567161571, -0.7411705976633298, 0.511681694451395, -0.0676746325280602, -1.8117096457332966, 0.5678077275401083, -0.6685127129324014, -0.4172588953029993]|80319.9140625000000000|      4.00000000|[209, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 53 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[-0.900653194275322, -1.5938761476546028, 0.8591462778236787, 0.1860782423681911, -1.1037743396427184, 1.0798287079181865, 0.4270662657838267, -0.9664728003106257, -1.3123410017952444, -2.3287354791806645, -0.900206051558453, -1.3767061185155147, 0.3127141026242005, -0.4948281562467715, 0.5886648380470867, -0.5742700223524335, 0.6126249122328137, -0.8728613019008193, -1.7040339622891776, -1.6760347695828508, -0.9027564419149705, -2.160371143268063, -0.0940849192564404, 0.2371246133121294, 0.7724566121809695, 0.9565496206392912, -0.9280191874096071, -0.5400169269556977, -1.3613381029800573, 0.6686737470473803, -0.7599647163258132, -1.474068577009022, -0.7905304249325286, -0.1280523534448009, -0.7724084678848395, -0.6548167330832881, -1.0705920711353005, -0.7191128300071016, -0.8591520920691299, -0.5407800337040825, -0.7056633610652141, -1.6729944604801592, -1.4183861264758264, -0.588599191003974, -0.0468395117109204, -0.1101593693741837, -0.847997949102984, 0.5729307589080511, -0.0383024856909249, -0.237581265069559]|77688.2656250000000000|      8.00000000|[247, 38, 0, 19]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
       8|[-0.900653194275322, -1.5938761476546028, 0.8591462778236787, 0.1860782423681911, -1.1037743396427184, 1.0798287079181865, 0.4270662657838267, -0.9664728003106257, -1.3123410017952444, -2.3287354791806645, -0.900206051558453, -1.3767061185155147, 0.3127141026242005, -0.4948281562467715, 0.5886648380470867, -0.5742700223524335, 0.6126249122328137, -0.8728613019008193, -1.7040339622891776, -1.6760347695828508, -0.9027564419149705, -2.160371143268063, -0.0940849192564404, 0.2371246133121294, 0.7724566121809695, 0.9565496206392912, -0.9280191874096071, -0.5400169269556977, -1.3613381029800573, 0.6686737470473803, -0.7599647163258132, -1.474068577009022, -0.7905304249325286, -0.1280523534448009, -0.7724084678848395, -0.6548167330832881, -1.0705920711353005, -0.7191128300071016, -0.8591520920691299, -0.5407800337040825, -0.7056633610652141, -1.6729944604801592, -1.4183861264758264, -0.588599191003974, -0.0468395117109204, -0.1101593693741837, -0.847997949102984, 0.5729307589080511, -0.0383024856909249, -0.237581265069559]|77688.2656250000000000|      4.00000000|[311, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[-0.900653194275322, -1.5938761476546028, 0.8591462778236787, 0.1860782423681911, -1.1037743396427184, 1.0798287079181865, 0.4270662657838267, -0.9664728003106257, -1.3123410017952444, -2.3287354791806645, -0.900206051558453, -1.3767061185155147, 0.3127141026242005, -0.4948281562467715, 0.5886648380470867, -0.5742700223524335, 0.6126249122328137, -0.8728613019008193, -1.7040339622891776, -1.6760347695828508, -0.9027564419149705, -2.160371143268063, -0.0940849192564404, 0.2371246133121294, 0.7724566121809695, 0.9565496206392912, -0.9280191874096071, -0.5400169269556977, -1.3613381029800573, 0.6686737470473803, -0.7599647163258132, -1.474068577009022, -0.7905304249325286, -0.1280523534448009, -0.7724084678848395, -0.6548167330832881, -1.0705920711353005, -0.7191128300071016, -0.8591520920691299, -0.5407800337040825, -0.7056633610652141, -1.6729944604801592, -1.4183861264758264, -0.588599191003974, -0.0468395117109204, -0.1101593693741837, -0.847997949102984, 0.5729307589080511, -0.0383024856909249, -0.237581265069559]|77688.2656250000000000|      2.00000000|[375, 58, 0, 29]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[-0.8456218201784516, -1.195152545359681, 0.6570151256706636, -0.302553393536121, -0.9690305597450286, 0.8977508381452755, 0.4281171601653052, -0.6673471289239069, -1.477871459887934, -2.673566856448502, -0.9328131375612797, -1.0107780348572963, 0.1860551563484895, -0.5701132631441256, 0.6429072999668712, -0.6883052413065198, 0.7464817154116009, -0.6013604164142166, -1.3839054320252768, -1.8658582480431627, -1.0012787995576211, -2.1773401982054255, 0.0747777812059009, 0.3570487786206049, 1.1628586312048648, 0.5201177060713438, -0.8852813048252737, -0.885462172460077, -0.7956369759277502, 0.7577270724024332, -0.1236066340313491, -1.4182028012152312, -0.3932725604572783, 0.4452061657278675, -0.2074284378250251, -0.8330786985965175, -1.2161076173379601, -0.920391129100348, -1.0200408086476136, -0.1667809745037956, -0.6500152130053691, -1.2935130852627215, -0.9852047810130273, -0.5396089972495394, -0.0643844071214581, -0.0127110501774826, -0.575348064879046, 0.2666693982627569, -0.1816888645752404, -0.3602119804397372]|69596.9062500000000000|      4.00000000|[389, 60, 0, 30]                                                           | | GPS sucess | actual_k=2
      11|[-0.8967147298338071, -0.525474482766912, 0.0457709955652109, -0.5376048120038581, -0.410453995521049, 0.3646099288185906, -1.0074701559591366, -0.4190726799277686, -1.8287881109642254, -2.3679483973914306, -1.9013784322739724, -1.1121511954072456, -0.5785988493970913, -1.1015174915805739, 0.6412451304601865, -1.0724278331122064, -0.1708514522084255, -0.5136541026254798, -1.6407986290863847, -1.3028844951965706, -0.3522026318164072, -1.7007006586342928, 0.4947720165868887, 0.6688869980379735, 0.619233101729376, 0.1422992087023566, -0.9910996883930283, -0.4250987186512893, -0.6867312774242108, -0.3836520765568805, 0.662411200317021, -1.033295899772267, 0.6321586939240099, -0.687718420467088, -0.2174499835309398, -0.5027987800919533, -0.9170135696521198, -0.6364663707275119, -0.8207652421209489, 0.3136828423371689, -0.4190376512001167, -0.8195567097821124, -1.48220702574422, 0.001981211473351, -0.3646125969187827, 0.8208674052900866, 0.1278349308307967, -0.2735364543471742, -0.3193626825006989, -0.5392224893107544]|63987.6562500000000000|      8.00000000|[452, 70, 0, 35]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=2
      12|[-0.8967147298338071, -0.525474482766912, 0.0457709955652109, -0.5376048120038581, -0.410453995521049, 0.3646099288185906, -1.0074701559591366, -0.4190726799277686, -1.8287881109642254, -2.3679483973914306, -1.9013784322739724, -1.1121511954072456, -0.5785988493970913, -1.1015174915805739, 0.6412451304601865, -1.0724278331122064, -0.1708514522084255, -0.5136541026254798, -1.6407986290863847, -1.3028844951965706, -0.3522026318164072, -1.7007006586342928, 0.4947720165868887, 0.6688869980379735, 0.619233101729376, 0.1422992087023566, -0.9910996883930283, -0.4250987186512893, -0.6867312774242108, -0.3836520765568805, 0.662411200317021, -1.033295899772267, 0.6321586939240099, -0.687718420467088, -0.2174499835309398, -0.5027987800919533, -0.9170135696521198, -0.6364663707275119, -0.8207652421209489, 0.3136828423371689, -0.4190376512001167, -0.8195567097821124, -1.48220702574422, 0.001981211473351, -0.3646125969187827, 0.8208674052900866, 0.1278349308307967, -0.2735364543471742, -0.3193626825006989, -0.5392224893107544]|63987.6562500000000000|      4.00000000|[527, 82, 0, 41]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 64 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
